reward_type_1,reward_num_1,reward_id_2,reward_num_3,rank_to,rank_from,reward_type_3,id,reward_type_2,reward_type_5,reward_id_1,reward_num_2,reward_id_4,reward_id_5,reward_num_4,reward_num_5,reward_type_4,reward_id_3
8,500,0,0,10,1,0,1,0,0,91002,0,0,0,0,0,0,0
8,50,0,0,100,11,0,2,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,200,101,0,3,0,0,91002,0,0,0,0,0,0,0
8,10,0,0,500,201,0,4,0,0,91002,0,0,0,0,0,0,0
8,5,0,0,1000,501,0,5,0,0,91002,0,0,0,0,0,0,0
8,3,0,0,2000,1001,0,6,0,0,91002,0,0,0,0,0,0,0
8,2,0,0,4000,2001,0,7,0,0,91002,0,0,0,0,0,0,0
8,1,0,0,7999,4001,0,8,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,8000,8000,0,9,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,8100,8100,0,10,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,8200,8200,0,11,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,8300,8300,0,12,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,8400,8400,0,13,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,8500,8500,0,14,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,8600,8600,0,15,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,8700,8700,0,16,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,8800,8800,0,17,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,8900,8900,0,18,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,9000,9000,0,19,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,9100,9100,0,20,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,9200,9200,0,21,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,9300,9300,0,22,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,9400,9400,0,23,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,9500,9500,0,24,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,9600,9600,0,25,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,9700,9700,0,26,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,9800,9800,0,27,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,9900,9900,0,28,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,10000,10000,0,29,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,10100,10100,0,30,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,10200,10200,0,31,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,10300,10300,0,32,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,10400,10400,0,33,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,10500,10500,0,34,0,0,91002,0,0,0,0,0,0,0
