object_id,quest_id_5,quest_id_8,system_id_4,quest_id_9,quest_id_7,system_id_3,system_id_2,system_id_1,system_id_5,quest_id_6,quest_id_1,quest_id_10,quest_id_4,quest_id_2,quest_id_3
25101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31001,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0
31002,0,0,0,0,0,0,0,0,0,0,12002002,0,0,12006001,12015001
31003,0,0,0,0,0,0,0,0,0,0,12002001,0,0,12008001,12018001
31004,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0
31005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31006,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0
31007,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0
31008,0,0,0,0,0,0,0,0,0,0,12008002,0,0,12013002,0
31009,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0
31010,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0
31011,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0
31012,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0
31015,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0
31016,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0
31017,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0
31018,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0
31020,0,0,0,0,0,0,0,0,0,0,12003003,0,0,12009002,12015002
31021,0,0,0,0,0,0,0,0,0,0,12001002,0,0,12005001,12014001
31022,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0
31023,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0
31025,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0
31026,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0
31027,0,0,0,0,0,0,0,0,0,0,12007002,0,0,12011002,12017002
