category,icon_id,count_from,count_to,description,type,id,effect_id
1,1,0,0,"【요리】주사위가 2개로 늘어난다",1,1,52001
1,1,0,0,"【요리】주사위 숫자가 반드시 「1」이 나온다",1,2,52002
3,2,0,0,"【요리】다음 턴 수 카운트를 스킵한다",1,3,52002
1,1,0,0,"【요리】주사위 숫자가 반드시 「4」가 나온다",1,4,52004
1,1,0,0,"【요리】주사위 숫자가\n「4ㆍ5ㆍ6」만 나온다",1,5,52006
1,1,0,0,"【요리】주사위 숫자가 첫 번째는 반드시 「3」, 두 번째는 반드시 「6」이 나온다",1,6,52007
1,1,0,0,"【요리】주사위 숫자가 반드시 「5」가 나온다",1,7,52003
2,7,0,0,"【요리】마일 칸의 획득 마일이 200% 증가한다",1,8,52008
3,2,0,0,"【이벤트】다음 턴 수 카운트를 스킵한다",2,9,4
2,3,0,0,"【이벤트】마일 칸의 획득 마일이 100% 증가한다",2,10,5
2,5,0,0,"【이벤트】미니 게임의 획득 마일이 100% 증가한다",2,11,6
3,4,0,0,"【이벤트】마일 상점의 모든 상품이 20% 이상 할인된다",2,12,7
1,1,0,0,"【요리】주사위 숫자가 첫 번째는 반드시 「8」, 두 번째는 반드시 「1」이 나온다",1,13,52009
2,6,0,0,"【요리】「마일 칸」, 「트레저\n칸」, 「상점 칸」의 RANK가 1씩 상승한다",1,14,52010
1,1,0,0,"【요리】주사위 숫자가 첫 번째는 반드시 「2」, 두 번째는 반드시 「7」이 나온다",1,15,52011
1,1,0,0,"【요리】주사위 숫자가\n「1ㆍ2ㆍ3」만 나온다",1,16,52012
3,2,0,0,"【요리】다음 턴 수 카운트를 스킵한다",1,17,52012
1,8,0,0,"【요리】이동할 때에 「마일 칸」을 스킵할 수 있다",1,18,52014
1,1,0,0,"【요리】다음 이동 시에 1칸 더 많이 나아간다",1,19,52005
1,1,2,2,"【요리】다음 이동 시에 1칸 더 많이 나아간다",1,20,52014
1,1,0,0,"【요리】주사위가 2개로 늘어난다",1,21,52015
1,1,0,0,"【요리】다음 이동 시에 1칸 더 많이 나아간다",1,22,52015
1,1,0,0,"【요리】주사위 숫자가 반드시 「6」이 나온다",1,23,52016
1,9,0,0,"【요리】이동 계열 카테고리의 요리를 먹을 수 없게 된다",1,24,52017
1,1,0,0,"【요리】주사위 숫자가 반드시 「3」이 나온다",1,25,52018
1,1,0,0,"【요리】주사위 숫자가 반드시 「8」이 나온다",1,26,52019
3,2,0,0,"【이벤트】다음 턴 수 카운트를 스킵한다",2,27,98011
3,2,0,0,"【이벤트】다음 턴 수 카운트를 스킵한다",2,28,98012
2,10,0,0,"【요리】이동할 때에 「마일 칸」을 스킵할 수 있다",1,29,52020
1,1,2,2,"【요리】다음 이동 시에 1칸 더 많이 나아간다",1,30,52020
2,10,0,0,"【요리】이동할 때에 「트레저 칸」을 스킵할 수 있다",1,31,52021
1,1,0,0,"【요리】주사위를 던질 때 「5와 6」\n이 나올 확률이 3배가 된다",1,32,52022
1,1,0,0,"【요리】주사위 숫자가 첫 번째는 반드시 「6」, 두 번째는 반드시 「3」이 나온다",1,33,52023
1,1,0,0,"【요리】다음 이동 시에 3칸 더 많이 나아간다",1,34,52024
2,10,0,0,"【요리】이동할 때에 「마일 칸」, 「트레저 칸」을 스킵할 수 있다",1,35,52025
1,1,0,0,"【요리】주사위 숫자가 반드시 「5」가 나온다",1,36,52027
1,1,0,0,"【요리】주사위 숫자가\n「1ㆍ2」만 나온다",1,37,52028
1,1,0,0,"【요리】주사위 숫자가 반드시 「2」가 나온다",1,38,52029
3,2,0,0,"【요리】다음 턴 수 카운트를 스킵한다",1,39,52029
3,4,0,0,"【이벤트】마일 상점의 모든 상품이 20% 이상 할인된다",2,40,8
3,11,0,0,"【요리】「마일 칸」을 「트레저 칸」으로 바꾼다",1,41,52030
1,1,0,0,"【요리】주사위 숫자가\n「1・6・6・6・8・8」이 된다",1,42,52031
