promotion_level,unit_id,accuracy,physical_penetrate,hp_recovery_rate,physical_critical,magic_critical,magic_def,hp,wave_energy_recovery,dodge,life_steal,energy_reduce_rate,def,wave_hp_recovery,energy_recovery_rate,magic_str,magic_penetrate,atk
2,100101,0.0,0.0,0.0,0.0,0.0,0.0,65.0,10.0,1.0,0.0,0.0,1.0,75.0,0.0,0.0,0.0,16.0
3,100101,0.0,0.0,0.0,0.0,0.0,0.0,185.0,30.0,2.0,0.0,0.0,3.0,125.0,0.0,0.0,0.0,68.0
4,100101,0.0,0.0,0.0,0.0,0.0,3.0,420.0,60.0,4.0,0.0,0.0,7.0,260.0,0.0,0.0,0.0,158.0
5,100101,0.0,0.0,0.0,0.0,0.0,7.0,810.0,100.0,7.0,0.0,0.0,12.0,420.0,0.0,0.0,0.0,293.0
6,100101,0.0,0.0,0.0,0.0,0.0,11.0,1340.0,130.0,11.0,3.0,0.0,17.0,630.0,0.0,0.0,0.0,486.0
7,100101,0.0,0.0,0.0,0.0,0.0,17.0,1660.0,155.0,15.0,6.0,0.0,26.0,1235.0,0.0,0.0,0.0,731.0
8,100101,0.0,0.0,0.0,10.0,0.0,24.0,2290.0,180.0,15.0,9.0,0.0,35.0,1795.0,9.0,0.0,0.0,1030.0
9,100101,0.0,0.0,0.0,40.0,0.0,27.0,2540.0,205.0,16.0,9.0,5.0,46.0,1795.0,23.0,0.0,0.0,1459.0
10,100101,0.0,0.0,10.0,100.0,0.0,35.0,2740.0,205.0,16.0,9.0,10.0,51.0,1795.0,37.0,0.0,0.0,1941.0
11,100101,3.0,0.0,20.0,158.0,0.0,44.0,3100.0,205.0,16.0,9.0,15.0,55.0,1795.0,37.0,0.0,0.0,2439.0
12,100101,36.0,0.0,20.0,198.0,0.0,46.0,3470.0,205.0,18.0,9.0,15.0,66.0,2045.0,37.0,0.0,0.0,2871.0
13,100101,56.0,0.0,20.0,251.0,0.0,54.0,3720.0,230.0,18.0,9.0,15.0,79.0,2045.0,37.0,0.0,0.0,3345.0
14,100101,56.0,0.0,20.0,328.0,0.0,68.0,3880.0,255.0,20.0,9.0,15.0,97.0,2045.0,37.0,0.0,0.0,3840.0
15,100101,56.0,0.0,20.0,448.0,0.0,82.0,3880.0,255.0,20.0,9.0,15.0,111.0,2045.0,37.0,0.0,0.0,4412.0
16,100101,59.0,0.0,20.0,586.0,0.0,94.0,3880.0,255.0,20.0,9.0,15.0,124.0,2045.0,37.0,0.0,0.0,5015.0
17,100101,62.0,0.0,20.0,711.0,0.0,103.0,3930.0,255.0,20.0,9.0,15.0,142.0,2045.0,37.0,0.0,0.0,5656.0
18,100101,62.0,0.0,20.0,856.0,0.0,119.0,3980.0,255.0,20.0,9.0,15.0,157.0,2045.0,37.0,0.0,0.0,6351.0
19,100101,62.0,0.0,20.0,984.0,0.0,135.0,4075.0,255.0,20.0,9.0,15.0,173.0,2045.0,37.0,0.0,0.0,7154.0
20,100101,62.0,0.0,20.0,1065.0,0.0,147.0,4270.0,255.0,20.0,9.0,15.0,203.0,2045.0,37.0,0.0,0.0,8017.0
21,100101,62.0,0.0,20.0,1160.0,0.0,157.0,4580.0,255.0,20.0,9.0,15.0,232.0,2045.0,37.0,0.0,0.0,8971.0
22,100101,62.0,0.0,20.0,1262.0,0.0,176.0,4790.0,255.0,20.0,9.0,15.0,259.0,2045.0,37.0,0.0,0.0,10078.0
23,100101,62.0,0.0,20.0,1343.0,0.0,199.0,4880.0,255.0,20.0,9.0,15.0,287.0,2045.0,37.0,0.0,0.0,11352.0
24,100101,62.0,0.0,20.0,1416.0,0.0,221.0,4970.0,255.0,20.0,9.0,15.0,308.0,2045.0,37.0,0.0,0.0,12783.0
25,100101,62.0,0.0,20.0,1471.0,0.0,247.0,5230.0,255.0,20.0,9.0,15.0,331.0,2045.0,37.0,0.0,0.0,14334.0
26,100101,62.0,0.0,20.0,1495.0,0.0,280.0,6835.0,255.0,20.0,9.0,15.0,359.0,2045.0,37.0,0.0,0.0,15835.0
