release_quest_id,team_exp,wave_group_id,quest_name,limit_time,abyss_id,unit_exp,difficulty,drop_gold,drop_reward_group,quest_id,stamina,condition_quest_id,clear_reward_group,love
92407020,8,924070100,"전초 퀘스트",90,92407,96,1,0,924073001,92407010,25,0,924072001,6
92407030,8,924070200,"전초 퀘스트",90,92407,96,2,0,924073002,92407020,25,92407010,924072002,6
0,8,924070300,"전초 퀘스트",90,92407,96,3,0,924073003,92407030,25,92407020,924072003,6
92408020,25,924080100,"전초 퀘스트",90,92408,540,1,0,924083001,92408010,25,0,924082001,25
92408030,25,924080200,"전초 퀘스트",90,92408,540,2,0,924083002,92408020,25,92408010,924082002,25
0,25,924080300,"전초 퀘스트",90,92408,540,3,0,924083003,92408030,25,92408020,924082003,25
92409020,25,924090100,"전초 퀘스트",90,92409,540,1,0,924093001,92409010,25,0,924092001,25
92409030,25,924090200,"전초 퀘스트",90,92409,540,2,0,924093002,92409020,25,92409010,924092002,25
0,25,924090300,"전초 퀘스트",90,92409,540,3,0,924093003,92409030,25,92409020,924092003,25
92410020,25,924100100,"전초 퀘스트",90,92410,540,1,0,924103001,92410010,25,0,924102001,25
92410030,25,924100200,"전초 퀘스트",90,92410,540,2,0,924103002,92410020,25,92410010,924102002,25
0,25,924100300,"전초 퀘스트",90,92410,540,3,0,924103003,92410030,25,92410020,924102003,25
92411020,25,924110100,"전초 퀘스트",90,92411,540,1,0,924113001,92411010,25,0,924112001,25
92411030,25,924110200,"전초 퀘스트",90,92411,540,2,0,924113002,92411020,25,92411010,924112002,25
0,25,924110300,"전초 퀘스트",90,92411,540,3,0,924113003,92411030,25,92411020,924112003,25
92412020,25,924120100,"전초 퀘스트",90,92412,540,1,0,924123001,92412010,25,0,924122001,25
92412030,25,924120200,"전초 퀘스트",90,92412,540,2,0,924123002,92412020,25,92412010,924122002,25
0,25,924120300,"전초 퀘스트",90,92412,540,3,0,924123003,92412030,25,92412020,924122003,25
92414020,25,924140100,"전초 퀘스트",90,92414,540,1,0,924143001,92414010,25,0,924142001,25
92414030,25,924140200,"전초 퀘스트",90,92414,540,2,0,924143002,92414020,25,92414010,924142002,25
0,25,924140300,"전초 퀘스트",90,92414,540,3,0,924143003,92414030,25,92414020,924142003,25
92501020,25,925010100,"전초 퀘스트",90,92413,540,1,0,925013001,92501010,25,0,925012001,25
92501030,25,925010200,"전초 퀘스트",90,92413,540,2,0,925013002,92501020,25,92501010,925012002,25
0,25,925010300,"전초 퀘스트",90,92413,540,3,0,925013003,92501030,25,92501020,925012003,25
