equipment_slot_2,rarity,max_level,equipment_slot_3,equipment_slot_6,equipment_slot_1,enhance_id,equipment_slot_4,min_level,unique_equipment_level_2,unique_equipment_level_1,promotion_level,id,equipment_slot_5
1,6,30,1,1,1,1,1,4,-1,30,7,1001,1
1,6,60,1,1,1,1,1,31,-1,60,11,1002,1
1,6,90,1,1,1,1,1,61,-1,90,15,1003,1
1,6,120,1,1,1,1,1,91,-1,120,19,1004,1
1,6,150,1,1,1,1,1,121,-1,150,23,1005,1
1,6,180,1,1,1,1,1,151,-1,180,27,1006,1
1,6,210,1,1,1,1,1,181,-1,210,29,1007,1
1,6,240,1,1,1,1,1,211,-1,240,31,1008,1
1,6,270,1,1,1,1,1,241,-1,270,31,1009,1
1,6,300,1,1,1,1,1,271,-1,300,31,1010,1
1,6,-1,1,1,1,1,1,301,-1,310,31,1011,1
1,5,30,1,1,1,2,1,4,-1,30,7,1101,1
1,5,60,1,1,1,2,1,31,-1,60,11,1102,1
1,5,90,1,1,1,2,1,61,-1,90,15,1103,1
1,5,120,1,1,1,2,1,91,-1,120,19,1104,1
1,5,150,1,1,1,2,1,121,-1,150,23,1105,1
1,5,180,1,1,1,2,1,151,-1,180,27,1106,1
1,5,210,1,1,1,2,1,181,-1,210,29,1107,1
1,5,240,1,1,1,2,1,211,-1,240,31,1108,1
1,5,270,1,1,1,2,1,241,-1,270,31,1109,1
1,5,300,1,1,1,2,1,271,-1,300,31,1110,1
1,5,-1,1,1,1,2,1,301,-1,310,31,1111,1
1,5,30,1,1,1,3,1,4,-1,-1,7,1201,1
1,5,60,1,1,1,3,1,31,-1,-1,11,1202,1
1,5,90,1,1,1,3,1,61,-1,-1,15,1203,1
1,5,120,1,1,1,3,1,91,-1,-1,19,1204,1
1,5,150,1,1,1,3,1,121,-1,-1,23,1205,1
1,5,180,1,1,1,3,1,151,-1,-1,27,1206,1
1,5,210,1,1,1,3,1,181,-1,-1,29,1207,1
1,5,240,1,1,1,3,1,211,-1,-1,31,1208,1
1,5,270,1,1,1,3,1,241,-1,-1,31,1209,1
1,5,300,1,1,1,3,1,271,-1,-1,31,1210,1
1,5,-1,1,1,1,3,1,301,-1,-1,31,1211,1
1,5,30,1,1,1,4,1,4,-1,30,7,1301,1
1,5,60,1,1,1,4,1,31,-1,60,10,1302,1
1,5,90,1,1,1,4,1,61,-1,90,13,1303,1
1,5,120,1,1,1,4,1,91,-1,120,16,1304,1
1,5,150,1,1,1,4,1,121,-1,150,19,1305,1
1,5,180,1,1,1,4,1,151,-1,180,22,1306,1
1,5,210,1,1,1,4,1,181,-1,210,25,1307,1
1,5,240,1,1,1,4,1,211,-1,240,28,1308,1
1,5,270,1,1,1,4,1,241,-1,270,28,1309,1
1,5,300,1,1,1,4,1,271,-1,300,28,1310,1
1,5,-1,1,1,1,4,1,301,-1,310,28,1311,1
1,5,30,1,1,1,5,1,4,-1,-1,7,1401,1
1,5,60,1,1,1,5,1,31,-1,-1,10,1402,1
1,5,90,1,1,1,5,1,61,-1,-1,13,1403,1
1,5,120,1,1,1,5,1,91,-1,-1,16,1404,1
1,5,150,1,1,1,5,1,121,-1,-1,19,1405,1
1,5,180,1,1,1,5,1,151,-1,-1,22,1406,1
1,5,210,1,1,1,5,1,181,-1,-1,25,1407,1
1,5,240,1,1,1,5,1,211,-1,-1,28,1408,1
1,5,270,1,1,1,5,1,241,-1,-1,28,1409,1
1,5,300,1,1,1,5,1,271,-1,-1,28,1410,1
1,5,-1,1,1,1,5,1,301,-1,-1,28,1411,1
1,3,30,1,1,1,6,1,4,-1,-1,7,1501,1
1,3,60,1,1,1,6,1,31,-1,-1,10,1502,1
1,3,90,1,1,1,6,1,61,-1,-1,13,1503,1
1,3,120,1,1,1,6,1,91,-1,-1,16,1504,1
1,3,150,1,1,1,6,1,121,-1,-1,19,1505,1
1,3,180,1,1,1,6,1,151,-1,-1,22,1506,1
1,3,210,1,1,1,6,1,181,-1,-1,22,1507,1
1,3,240,1,1,1,6,1,211,-1,-1,22,1508,1
1,3,270,1,1,1,6,1,241,-1,-1,22,1509,1
1,3,-1,1,1,1,6,1,271,-1,-1,22,1510,1
1,6,30,1,1,1,7,1,4,5,30,7,1601,1
1,6,60,1,1,1,7,1,31,5,60,11,1602,1
1,6,90,1,1,1,7,1,61,5,90,15,1603,1
1,6,120,1,1,1,7,1,91,5,120,19,1604,1
1,6,150,1,1,1,7,1,121,5,150,23,1605,1
1,6,180,1,1,1,7,1,151,5,180,27,1606,1
1,6,210,1,1,1,7,1,181,5,210,29,1607,1
1,6,240,1,1,1,7,1,211,5,240,31,1608,1
1,6,270,1,1,1,7,1,241,5,270,31,1609,1
1,6,300,1,1,1,7,1,271,5,300,31,1610,1
1,6,-1,1,1,1,7,1,301,5,310,31,1611,1
1,5,30,1,1,1,8,1,4,5,30,7,1701,1
1,5,60,1,1,1,8,1,31,5,60,11,1702,1
1,5,90,1,1,1,8,1,61,5,90,15,1703,1
1,5,120,1,1,1,8,1,91,5,120,19,1704,1
1,5,150,1,1,1,8,1,121,5,150,23,1705,1
1,5,180,1,1,1,8,1,151,5,180,27,1706,1
1,5,210,1,1,1,8,1,181,5,210,29,1707,1
1,5,240,1,1,1,8,1,211,5,240,31,1708,1
1,5,270,1,1,1,8,1,241,5,270,31,1709,1
1,5,300,1,1,1,8,1,271,5,300,31,1710,1
1,5,-1,1,1,1,8,1,301,5,310,31,1711,1
