main_skill_lv_9,promotion_level,main_skill_lv_8,rarity,resist_variation_id,main_skill_lv_7,ex_skill_lv_4,atk,ex_skill_lv_2,main_skill_lv_2,main_skill_lv_4,magic_str,magic_penetrate,magic_def,enemy_id,life_steal,magic_critical,main_skill_lv_6,wave_energy_recovery,energy_reduce_rate,ex_skill_lv_1,break_durability,virtual_hp,level,unit_id,hp,unique_equipment_flag_1,physical_critical,main_skill_lv_3,energy_recovery_rate,accuracy,resist_status_id,main_skill_lv_5,name,union_burst_level,main_skill_lv_10,wave_hp_recovery,ex_skill_lv_3,hp_recovery_rate,ex_skill_lv_5,physical_penetrate,main_skill_lv_1,dodge,def
50,1,0,1,0,100,0,100,0,50,50,100,0,50,803100201,0,0,100,0,0,0,0,0,100,316800,6500000,0,0,50,10,50,300000008,100,"흑의 왕 재버워크",50,50,0,0,0,0,0,50,0,50
100,1,100,1,0,100,0,1000,0,100,100,1000,0,400,803100202,0,0,100,0,0,0,0,0,100,316800,600000,0,0,100,50,50,300000008,100,"부위A",100,100,0,0,0,0,0,100,0,400
100,1,100,1,0,100,0,1000,0,100,100,1000,0,200,803100203,0,0,100,0,0,0,0,0,100,316800,400000,0,0,100,50,50,300000008,100,"부위B",100,100,0,0,0,0,0,100,0,200
100,1,100,1,0,100,0,1000,0,100,100,1000,0,100,803100204,0,0,100,0,0,0,0,0,100,316800,200000,0,0,100,50,50,300000008,100,"부위C",100,100,0,0,0,0,0,100,0,100
300,1,0,1,0,200,0,5000,0,300,300,5000,0,200,803100205,0,0,200,0,0,0,0,0,300,316800,13000000,0,0,300,30,50,300000008,200,"흑의 왕 재버워크",300,300,0,0,0,0,0,300,0,200
100,1,100,1,0,100,0,1000,0,100,100,1000,0,800,803100206,0,0,100,0,0,0,0,0,100,316800,1200000,0,0,100,50,50,300000008,100,"부위A",100,100,0,0,0,0,0,100,0,800
100,1,100,1,0,100,0,1000,0,100,100,1000,0,400,803100207,0,0,100,0,0,0,0,0,100,316800,800000,0,0,100,50,50,300000008,100,"부위B",100,100,0,0,0,0,0,100,0,400
100,1,100,1,0,100,0,1000,0,100,100,1000,0,200,803100208,0,0,100,0,0,0,0,0,100,316800,400000,0,0,100,50,50,300000008,100,"부위C",100,100,0,0,0,0,0,100,0,200
500,1,50,1,0,300,0,15000,0,500,500,15000,0,300,803100209,0,0,300,0,0,0,0,0,500,316800,20000000,0,0,500,50,50,300000008,300,"흑의 왕 재버워크",500,500,0,0,0,0,0,500,0,300
100,1,100,1,0,100,0,1000,0,100,100,1000,0,1600,803100210,0,0,100,0,0,0,0,0,100,316800,2400000,0,0,100,50,50,300000008,100,"부위A",100,100,0,0,0,0,0,100,0,900
100,1,100,1,0,100,0,1000,0,100,100,1000,0,800,803100211,0,0,100,0,0,0,0,0,100,316800,1600000,0,0,100,50,50,300000008,100,"부위B",100,100,0,0,0,0,0,100,0,600
100,1,100,1,0,100,0,1000,0,100,100,1000,0,400,803100212,0,0,100,0,0,0,0,0,100,316800,800000,0,0,100,50,50,300000008,100,"부위C",100,100,0,0,0,0,0,100,0,300
50,1,50,1,0,50,0,100,0,50,50,100,0,50,803100213,0,0,50,0,0,0,0,0,140,316900,8000000,0,0,50,10,50,300000008,0,"폭주한 이노센트 보우",50,50,0,0,0,0,0,50,0,50
300,1,300,1,0,300,0,1500,0,300,300,1500,0,200,803100214,0,0,300,0,0,0,0,0,340,316900,16000000,0,0,300,30,50,300000008,0,"폭주한 이노센트 보우",300,300,0,0,0,0,0,300,0,200
500,1,500,1,0,500,0,3000,0,500,500,3000,0,300,803100215,0,0,500,0,0,0,0,0,540,316900,24000000,0,0,500,50,50,300000008,25,"폭주한 이노센트 보우",500,500,0,0,0,0,0,500,0,250
50,1,50,1,0,50,0,500,0,50,50,500,0,0,803100216,0,0,50,0,0,0,0,0,120,317000,6500000,0,0,50,10,50,300000008,0,"팬텀바론",50,50,0,0,0,0,0,50,0,0
300,1,300,1,0,300,0,5000,0,300,300,5000,0,100,803100217,0,0,300,0,0,0,0,0,320,317000,13000000,0,0,300,30,50,300000008,0,"팬텀바론",300,300,0,0,0,0,0,300,0,100
500,1,500,1,0,500,0,10000,0,500,500,10000,0,400,803100218,0,0,500,0,0,0,0,0,520,317000,20000000,0,0,500,50,50,300000008,50,"팬텀바론",500,500,0,0,0,0,0,500,0,300
50,1,50,1,0,50,0,500,0,50,50,500,0,100,803100219,0,0,50,0,0,0,0,0,160,317100,8000000,0,0,50,10,50,300000008,0,"텐타퍼스",50,50,0,0,0,0,0,50,0,100
300,1,300,1,0,300,0,10000,0,300,300,10000,0,300,803100220,0,0,300,0,0,0,0,0,360,317100,16000000,0,0,300,30,50,300000008,0,"텐타퍼스",300,300,0,0,0,0,0,300,0,300
500,1,500,1,0,500,0,30000,0,500,500,30000,0,600,803100221,0,0,500,0,0,0,0,0,560,317100,24000000,0,0,500,50,50,300000008,50,"텐타퍼스",500,500,0,0,0,0,0,500,0,450
50,1,50,1,0,50,0,250,0,50,50,250,0,50,803100222,0,0,50,0,0,0,0,0,200,317200,7000000,0,0,50,10,50,300000008,0,"고우신",50,50,0,0,0,0,0,50,0,50
300,1,300,1,0,300,0,2500,0,300,300,2500,0,200,803100223,0,0,300,0,0,0,0,0,400,317200,15000000,0,0,300,30,50,300000008,0,"고우신",300,300,0,0,0,0,0,300,0,200
500,1,500,1,0,500,0,10000,0,500,500,10000,0,300,803100224,0,0,500,0,0,0,0,0,600,317200,22000000,0,0,500,50,50,300000008,25,"고우신",500,500,0,0,0,0,0,500,0,300
50,1,50,1,0,50,0,200,0,50,50,200,0,20,803100225,0,0,50,0,0,0,0,0,180,317300,3250000,0,0,50,10,50,300000008,0,"알마",50,50,0,0,0,0,0,50,0,80
50,1,50,1,0,50,0,200,0,50,50,200,0,60,803100226,0,0,50,0,0,0,0,0,180,317400,3250000,0,0,50,10,50,300000008,0,"올램",50,50,0,0,0,0,0,50,0,240
300,1,300,1,0,300,0,3000,0,300,300,3000,0,50,803100227,0,0,300,0,0,0,0,0,380,317300,6500000,0,0,300,30,50,300000008,0,"알마",300,300,0,0,0,0,0,300,0,150
300,1,300,1,0,300,0,3000,0,300,300,3000,0,150,803100228,0,0,300,0,0,0,0,0,380,317400,6500000,0,0,300,30,50,300000008,0,"올램",300,300,0,0,0,0,0,300,0,450
500,1,500,1,0,500,0,4000,0,500,500,4000,0,150,803100229,0,0,500,0,0,0,0,0,580,317300,10000000,0,0,500,50,50,300000008,25,"알마",500,500,0,0,0,0,0,500,0,200
500,1,500,1,0,500,0,4000,0,500,500,4000,0,450,803100230,0,0,500,0,0,0,0,0,580,317400,10000000,0,0,500,50,50,300000008,25,"올램",500,500,0,0,0,0,0,500,0,600
50,1,50,1,0,50,0,150,0,50,50,150,0,50,803100231,0,0,50,0,0,0,0,0,200,317500,4000000,0,0,50,10,50,300000008,0,"단짝X",50,50,0,0,0,0,0,50,0,50
50,1,50,1,0,50,0,150,0,50,0,150,0,50,803100232,0,0,50,0,0,0,0,0,200,317600,4000000,0,0,50,14,50,300000008,50,"이름도 없는 예술",50,50,0,0,0,0,0,50,0,50
300,1,300,1,0,300,0,2000,0,300,300,2000,0,200,803100233,0,0,300,0,0,0,0,0,400,317500,8000000,0,0,300,25,50,300000008,0,"단짝X",300,300,0,0,0,0,0,300,0,200
300,1,300,1,0,300,0,2000,0,300,0,2000,0,200,803100234,0,0,300,0,0,0,0,0,400,317600,8000000,0,0,300,35,50,300000008,300,"이름도 없는 예술",300,300,0,0,0,0,0,300,0,200
