condition_param_3,face_change_time,face_change_effect_id,id,condition_param_1,face_id,mode,cue_name,change_face_id,reaction_type,unit_id,condition_param_2,message
0,0.0,0,11120101,0,8,1,vo_minigame_1012_correct_107,8,1201,1,0,"그거면 돼!"
0,0.0,0,11120102,0,8,1,vo_minigame_1012_correct_108,8,1201,1,0,"응, OK!"
0,0.0,0,11120103,0,1,1,vo_minigame_1012_correct_109,1,1201,1,0,"컨디션 좋네!"
0,0.0,0,11120201,-1,1,1,vo_minigame_1012_correct_115,1,1202,1,13333,"차분히 해도 돼!"
0,0.0,0,11120202,-1,9,1,vo_minigame_1012_correct_117,9,1202,1,13333,"맞히면 괜찮아!"
0,0.0,0,11120301,0,1,1,vo_minigame_1012_correct_118,1,1203,1,0,"대단하네!"
0,0.01,8,11120302,0,5,1,vo_minigame_1012_correct_119,5,1203,1,0,"이걸 알아!?"
0,0.0,0,11120401,0,1,1,vo_minigame_1012_correct_125,1,1204,1,0,"이건 문제없네!"
0,0.01,4,11120501,0,7,1,vo_minigame_1012_correct_123,7,1205,1,0,"복습 완벽하네!"
0,0.0,0,11120601,-1,8,1,vo_minigame_1012_correct_128,8,1206,1,3,"연속으로 정답이야!"
0,0.0,0,11120701,-1,2,1,vo_minigame_1012_correct_131,2,1207,1,3,"만회하는 거야!"
0,0.0,0,11130101,0,2,1,vo_minigame_1012_incorrect_107,2,1301,1,0,"마음 다잡아!"
0,0.0,0,11130102,0,9,1,vo_minigame_1012_incorrect_108,9,1301,1,0,"이런 일도 있어!"
0,0.0,0,11130103,0,4,1,vo_minigame_1012_incorrect_109,4,1301,1,0,"그러면 안 돼!"
0,0.0,0,11130201,-1,4,1,vo_minigame_1012_incorrect_116,4,1302,1,20000,"타임 오버야!"
0,0.0,0,11130202,-1,5,1,vo_minigame_1012_incorrect_117,5,1302,1,20000,"아니, 대답하라고!"
0,0.01,6,11130301,0,3,1,vo_minigame_1012_incorrect_118,3,1303,1,0,"어렵네…"
0,0.0,0,11130302,0,4,1,vo_minigame_1012_incorrect_119,4,1303,1,0,"난도가 너무 높네…"
0,0.0,0,11130401,0,2,1,vo_minigame_1012_incorrect_123,2,1304,1,0,"잊어버리면 안 된다?"
0,0.0,0,11130501,0,1,1,vo_minigame_1012_incorrect_126,1,1305,1,0,"전부 틀리진 않았어!"
1,3.18,4,11300101,10,7,1,vo_minigame_1012_result_1000,8,3001,1,10,"후후, 전부 정답이야!\n제대로 공부하고 있는 것 같아서\n기특하네♪"
1,3.33,10,11300102,10,8,1,vo_minigame_1012_result_1001,7,3001,1,10,"대단해… 전부 정답이야!\n뭐, 당연하다면 당연하지~\n왜냐면 내가\n가르쳐 주고 있으니까♪"
1,5.41,10,11300103,10,8,1,vo_minigame_1012_result_1002,1,3001,1,10,"전부 정답! 짝짝짝~♪\n이 난이도는 이제 완벽한 거 아냐?\n다음에는 더 어려운 문제에 도전해!\n너라면 할 수 있다고!"
2,8.11,10,11300104,10,5,1,vo_minigame_1012_result_1003,8,3001,1,10,"오… 어려운 문제를 골랐는데\n전부 다 맞혔잖아!!\n너 좀 많이 대단하네…!\n퍼펙트야, 퍼펙트!"
2,1.31,0,11300105,10,10,1,vo_minigame_1012_result_1004,5,3001,1,10,"동그라미… 동그라미… 전부 동그라미!\n어려운 문제인데 전부 정답이야…!\n놀랐어… 너, 언제\n이렇게 공부한 거야!"
2,4.93,0,11300106,10,9,1,vo_minigame_1012_result_1005,8,3001,1,10,"이렇게까지 완벽하게 맞히니\n조금 분하네…!\n그래도 솔직하게 칭찬해 줄게!\n잘했어, 잘했어, 잘했어~!"
3,2.99,4,11300107,10,5,1,vo_minigame_1012_result_1006,8,3001,1,10,"대단해… 너, 퍼펙트야!\n이대로 가면 다음 시험에서\n학년 1위 하는 것도 꿈이 아닐지도 몰라!\n기대되네~♪"
