event_id,tutorial_story_id,tutorial_quest_id,tutorial_chara_index,system_name
10053,6017101,10053102,1,"신뢰도"
10141,6114101,10141107,1,"신뢰도"
10144,6144101,10144102,1,"신뢰도"
10151,6124101,10151110,1,"신뢰도"
20015,0,0,1,"신뢰도"
20017,0,0,1,"신뢰도"
20018,0,0,1,"신뢰도"
20019,0,0,1,"신뢰도"
20020,0,0,1,"신뢰도"
20022,0,0,1,"신뢰도"
20023,0,0,1,"신뢰도"
20024,0,0,1,"신뢰도"
20025,0,0,1,"신뢰도"
20026,0,0,1,"신뢰도"
20028,0,0,1,"신뢰도"
20029,0,0,1,"신뢰도"
20030,0,0,1,"신뢰도"
20031,0,0,1,"신뢰도"
20032,0,0,1,"신뢰도"
20035,0,0,1,"신뢰도"
20037,0,0,1,"신뢰도"
20038,0,0,1,"신뢰도"
20042,0,0,1,"신뢰도"
20043,0,0,1,"신뢰도"
20048,0,0,1,"신뢰도"
20049,0,0,1,"신뢰도"
20051,0,0,1,"신뢰도"
20054,0,0,1,"신뢰도"
20055,0,0,1,"신뢰도"
20056,0,0,1,"신뢰도"
