reward_num_1,reward_type_2,reward_type_3,reward_id_1,reward_group_id,reward_id_3,reward_id_2,reward_num_2,id,reward_num_3,reward_type_1
10,2,2,91002,281001001,25011,25021,8,1,31,8
10,2,2,91002,281001002,25011,25021,8,2,31,8
10,2,2,91002,281001003,25011,25021,8,3,32,8
10,2,2,91002,281001004,25011,25021,8,4,32,8
10,2,2,91002,281001005,25011,25021,8,5,33,8
10,2,2,91002,281001006,25011,25021,9,6,33,8
10,2,2,91002,281001007,25011,25021,9,7,34,8
10,2,2,91002,281001008,25011,25021,9,8,35,8
10,2,2,91002,281001009,25011,25021,9,9,35,8
30,2,2,91002,281001010,25011,25021,10,10,37,8
10,2,2,91002,281001011,25011,25021,10,11,41,8
10,2,2,91002,281001012,25011,25021,11,12,43,8
10,2,2,91002,281001013,25011,25021,11,13,46,8
10,2,2,91002,281001014,25011,25021,12,14,48,8
10,2,2,91002,281001015,25011,25021,12,15,50,8
10,2,2,91002,281001016,25011,25021,13,16,53,8
10,2,2,91002,281001017,25011,25021,14,17,55,8
10,2,2,91002,281001018,25011,25021,14,18,58,8
10,2,2,91002,281001019,25011,25021,15,19,60,8
30,2,2,91002,281001020,25011,25021,15,20,62,8
10,2,2,91002,281001021,25011,25021,16,21,68,8
10,2,2,91002,281001022,25011,25021,16,22,70,8
10,2,2,91002,281001023,25011,25021,16,23,72,8
10,2,2,91002,281001024,25011,25021,17,24,75,8
10,2,2,91002,281001025,25011,25021,18,25,77,8
10,2,2,91002,281001026,25011,25021,18,26,79,8
10,2,2,91002,281001027,25011,25021,19,27,82,8
10,2,2,91002,281001028,25011,25021,19,28,84,8
10,2,2,91002,281001029,25011,25021,19,29,86,8
30,2,2,91002,281001030,25011,25021,20,30,89,8
10,2,2,91002,281001031,25011,25021,20,31,94,8
10,2,2,91002,281001032,25011,25021,21,32,96,8
10,2,2,91002,281001033,25011,25021,21,33,99,8
10,2,2,91002,281001034,25011,25021,22,34,101,8
10,2,2,91002,281001035,25011,25021,22,35,103,8
10,2,2,91002,281001036,25011,25021,23,36,106,8
10,2,2,91002,281001037,25011,25021,23,37,108,8
10,2,2,91002,281001038,25011,25021,24,38,111,8
10,2,2,91002,281001039,25011,25021,25,39,113,8
30,2,2,91002,281001040,25011,25021,25,40,115,8
10,2,2,91002,281001041,25011,25021,26,41,121,8
10,2,2,91002,281001042,25011,25021,27,42,123,8
10,2,2,91002,281001043,25011,25021,28,43,125,8
10,2,2,91002,281001044,25011,25021,28,44,128,8
10,2,2,91002,281001045,25011,25021,29,45,130,8
10,2,2,91002,281001046,25011,25021,30,46,132,8
10,2,2,91002,281001047,25011,25021,30,47,135,8
10,2,2,91002,281001048,25011,25021,31,48,137,8
10,2,2,91002,281001049,25011,25021,31,49,139,8
30,2,2,91002,281001050,25011,25021,31,50,142,8
10,2,2,91002,281001051,25011,25021,32,51,144,8
10,2,2,91002,281001052,25011,25021,32,52,146,8
10,2,2,91002,281001053,25011,25021,32,53,149,8
10,2,2,91002,281001054,25011,25021,33,54,152,8
10,2,2,91002,281001055,25011,25021,33,55,155,8
10,2,2,91002,281001056,25011,25021,33,56,157,8
10,2,2,91002,281001057,25011,25021,34,57,160,8
10,2,2,91002,281001058,25011,25021,34,58,163,8
10,2,2,91002,281001059,25011,25021,34,59,166,8
30,2,2,91002,281001060,25011,25021,35,60,169,8
10,2,2,91002,281001061,25011,25021,35,61,171,8
10,2,2,91002,281001062,25011,25021,35,62,174,8
10,2,2,91002,281001063,25011,25021,36,63,177,8
10,2,2,91002,281001064,25011,25021,36,64,180,8
10,2,2,91002,281001065,25011,25021,36,65,182,8
10,2,2,91002,281001066,25011,25021,37,66,185,8
10,2,2,91002,281001067,25011,25021,37,67,187,8
10,2,2,91002,281001068,25011,25021,37,68,190,8
10,2,2,91002,281001069,25011,25021,38,69,193,8
30,2,2,91002,281001070,25011,25021,38,70,196,8
