ex_skill_lv_2,hp,resist_variation_id,main_skill_lv_9,main_skill_lv_6,main_skill_lv_8,def,magic_penetrate,wave_hp_recovery,main_skill_lv_4,ex_skill_lv_1,magic_critical,unique_equipment_flag_1,resist_status_id,ex_skill_lv_5,main_skill_lv_2,main_skill_lv_5,unit_id,wave_energy_recovery,ex_skill_lv_3,energy_reduce_rate,main_skill_lv_10,union_burst_level,ex_skill_lv_4,dodge,virtual_hp,physical_penetrate,name,accuracy,level,hp_recovery_rate,physical_critical,main_skill_lv_3,main_skill_lv_1,energy_recovery_rate,enemy_id,atk,promotion_level,main_skill_lv_7,rarity,magic_def,life_steal,break_durability,magic_str
0,105000000,0,0,0,0,1200,0,0,0,0,0,0,300000019,0,10000,0,309401,0,0,0,0,10000,0,0,0,0,"서번트 브레드(물리)",60,350,0,0,10000,10000,70,750000101,50000,1,0,1,1200,0,0,0
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000008,0,100,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,100,0,0,750000102,0,1,150,1,0,0,0,0
0,100000000,0,10000,10000,0,300,0,0,0,0,0,0,300000008,0,0,10000,322800,0,0,0,0,10000,0,0,0,0,"마지문",60,353,0,0,0,10000,70,750000201,27000,1,10000,1,300,0,0,27000
0,70000,0,0,0,0,1600,0,0,10000,0,0,0,300000008,0,10000,10000,208014,0,0,0,0,0,0,0,0,0,"작은 마지문",60,353,0,0,10000,10000,0,750000202,20000,1,0,1,1600,0,0,0
0,70000,0,0,0,0,1600,0,0,10000,0,0,0,300000008,0,10000,10000,208015,0,0,0,0,0,0,0,0,0,"작은 마지문",60,353,0,0,10000,10000,0,750000203,20000,1,0,1,1600,0,0,0
0,70000,0,0,0,0,1600,0,0,10000,0,0,0,300000008,0,10000,10000,208016,0,0,0,0,0,0,0,0,0,"작은 마지문",60,353,0,0,10000,10000,0,750000204,20000,1,0,1,1600,0,0,0
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000008,0,100,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,100,0,0,750000205,0,1,150,1,0,0,0,0
0,109000000,0,0,0,0,1200,0,0,0,0,0,0,300000008,0,10000,0,309501,0,0,0,0,10000,0,0,0,0,"서번트 마기(마법)",60,356,0,0,10000,10000,90,750000301,0,1,0,1,1200,0,0,46000
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000008,0,100,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,100,0,0,750000302,0,1,150,1,0,0,0,0
0,143000000,0,0,0,0,700,0,0,10000,0,0,0,300000001,0,10000,0,308409,0,0,0,0,10000,0,0,0,0,"팬텀바론",60,359,0,0,10000,10000,90,750000401,21000,1,0,1,700,0,0,42000
