season_id,reward_type,currency_id,reward_id,price,slot_id,stock,reward_count
1,2,96001,21952,20000,1,1,1
1,2,96001,21904,10000,2,1,1
1,2,96001,41000,10000,3,1,1
1,2,96001,31803,2000,4,5,5
1,2,96001,31215,1500,5,5,5
1,2,96001,31210,1500,6,5,5
1,2,96001,31211,1500,7,5,5
1,2,96001,90005,1250,8,10,5
1,4,96001,140001,500,9,20,10
1,2,96001,25001,500,10,10,5
1,4,96001,150003,100,11,5,5
1,4,96001,150004,130,12,5,5
1,4,96001,150005,150,13,5,5
1,4,96001,150006,180,14,5,5
1,4,96001,150007,200,15,5,5
1,4,96001,150008,230,16,5,5
1,2,96001,20004,500,17,5,100
1,2,96001,22003,200,18,5,100
1,2,96001,20004,1000,19,0,100
1,2,96001,22003,400,20,0,100
2,2,96002,21952,20000,21,1,1
2,2,96002,21904,10000,22,1,1
2,2,96002,41000,10000,23,1,1
2,2,96002,31233,1500,24,5,5
2,2,96002,31229,1500,25,5,5
2,2,96002,31225,1500,26,5,5
2,2,96002,90005,1250,27,10,5
2,4,96002,140001,500,28,20,10
2,2,96002,25001,500,29,10,5
2,4,96002,150003,100,30,5,5
2,4,96002,150004,130,31,5,5
2,4,96002,150005,150,32,5,5
2,4,96002,150006,180,33,5,5
2,4,96002,150007,200,34,5,5
2,4,96002,150008,230,35,5,5
2,2,96002,20004,500,36,5,100
2,2,96002,22003,200,37,5,100
2,2,96002,20004,1000,38,0,100
2,2,96002,22003,400,39,0,100
3,2,96003,21952,20000,40,1,1
3,2,96003,21905,10000,41,1,1
3,2,96003,41000,10000,42,1,1
3,2,96003,31805,2000,43,5,5
3,2,96003,31240,1500,44,5,5
3,2,96003,31238,1500,45,5,5
3,2,96003,31236,1500,46,5,5
3,2,96003,90005,2500,47,5,10
3,4,96003,140001,2500,48,5,50
3,2,96003,25001,500,49,5,5
3,4,96003,150003,500,50,5,30
3,4,96003,150004,650,51,5,30
3,4,96003,150005,750,52,5,30
3,4,96003,150006,900,53,5,30
3,4,96003,150007,1000,54,5,30
3,4,96003,150008,1150,55,5,30
3,2,96003,20004,2500,56,5,500
3,2,96003,22003,1000,57,5,500
3,2,96003,20004,1000,58,0,100
3,2,96003,22003,400,59,0,100
4,2,96004,21952,20000,60,1,1
4,2,96004,21905,10000,61,1,1
4,2,96004,41000,10000,62,2,1
4,2,96004,31807,2000,63,5,5
4,2,96004,31245,1500,64,5,5
4,2,96004,31248,1500,65,5,5
4,2,96004,31250,1500,66,5,5
4,2,96004,31091,1500,67,5,5
4,2,96004,90005,2500,68,5,10
4,4,96004,140001,2500,69,10,50
4,2,96004,25001,1000,70,10,10
4,4,96004,150003,500,71,5,30
4,4,96004,150004,650,72,5,30
4,4,96004,150005,750,73,5,30
4,4,96004,150006,900,74,5,30
4,4,96004,150007,1000,75,5,30
4,4,96004,150008,1150,76,5,30
4,4,96004,150009,1300,77,5,30
4,2,96004,20004,2500,78,5,500
4,2,96004,22003,1000,79,5,500
4,2,96004,20004,1000,80,0,100
4,2,96004,22003,400,81,0,100
5,2,96005,25101,20000,82,1,1
5,2,96005,21952,20000,83,1,1
5,2,96005,21905,10000,84,1,1
5,2,96005,41000,10000,85,2,1
5,2,96005,31200,1500,86,5,5
5,2,96005,31253,1500,87,5,5
5,2,96005,31255,1500,88,5,5
5,2,96005,31256,1500,89,5,5
5,2,96005,90005,2500,90,5,10
5,4,96005,140001,2500,91,10,50
5,2,96005,25001,1000,92,10,10
5,4,96005,150003,500,93,5,30
5,4,96005,150004,650,94,5,30
5,4,96005,150005,750,95,5,30
5,4,96005,150006,900,96,5,30
5,4,96005,150007,1000,97,5,30
5,4,96005,150008,1150,98,5,30
5,4,96005,150009,1300,99,5,30
5,2,96005,20004,2500,100,5,500
5,2,96005,22003,1000,101,5,500
5,2,96005,20004,1000,102,0,100
5,2,96005,22003,400,103,0,100
6,2,96006,25101,20000,104,1,1
6,2,96006,21952,20000,105,1,1
6,2,96006,21905,10000,106,1,1
6,2,96006,41000,10000,107,2,1
6,2,96006,31262,1500,108,5,5
6,2,96006,31266,1500,109,5,5
6,2,96006,31269,1500,110,5,5
6,2,96006,31271,1500,111,5,5
6,2,96006,90005,2500,112,5,10
6,4,96006,140001,2500,113,10,50
6,2,96006,25001,1000,114,10,10
6,4,96006,150003,500,115,5,30
6,4,96006,150004,650,116,5,30
6,4,96006,150005,750,117,5,30
6,4,96006,150006,900,118,5,30
6,4,96006,150007,1000,119,5,30
6,4,96006,150008,1150,120,5,30
6,4,96006,150009,1300,121,5,30
6,2,96006,20004,2500,122,5,500
6,2,96006,22003,1000,123,5,500
6,2,96006,20004,1000,124,0,100
6,2,96006,22003,400,125,0,100
7,2,96007,25101,20000,126,1,1
7,2,96007,21952,20000,127,1,1
7,2,96007,21905,10000,128,1,1
7,2,96007,41000,10000,129,2,1
7,2,96007,31272,1500,130,5,5
7,2,96007,31808,2000,131,5,5
7,2,96007,31275,1500,132,5,5
7,2,96007,90005,2500,133,5,10
7,4,96007,140001,2500,134,10,50
7,2,96007,25001,1000,135,10,10
7,4,96007,150003,500,136,5,30
7,4,96007,150004,650,137,5,30
7,4,96007,150005,750,138,5,30
7,4,96007,150006,900,139,5,30
7,4,96007,150007,1000,140,5,30
7,4,96007,150008,1150,141,5,30
7,4,96007,150009,1300,142,5,30
7,2,96007,20004,2500,143,5,500
7,2,96007,22003,1000,144,5,500
7,2,96007,20004,1000,145,0,100
7,2,96007,22003,400,146,0,100
