reward_num_1,reward_type_1,reward_id_1,reward_num_3,id,reward_group_id,reward_id_2,reward_id_3,reward_type_2,reward_num_2,reward_type_3
10,8,91002,31,1,284001001,25021,25014,2,8,2
10,8,91002,31,2,284001002,25021,25014,2,8,2
10,8,91002,32,3,284001003,25021,25014,2,8,2
10,8,91002,32,4,284001004,25021,25014,2,8,2
10,8,91002,33,5,284001005,25021,25014,2,8,2
10,8,91002,33,6,284001006,25021,25014,2,9,2
10,8,91002,34,7,284001007,25021,25014,2,9,2
10,8,91002,35,8,284001008,25021,25014,2,9,2
10,8,91002,35,9,284001009,25021,25014,2,9,2
30,8,91002,37,10,284001010,25021,25014,2,10,2
10,8,91002,41,11,284001011,25021,25014,2,10,2
10,8,91002,43,12,284001012,25021,25014,2,11,2
10,8,91002,46,13,284001013,25021,25014,2,11,2
10,8,91002,48,14,284001014,25021,25014,2,12,2
10,8,91002,50,15,284001015,25021,25014,2,12,2
10,8,91002,53,16,284001016,25021,25014,2,13,2
10,8,91002,55,17,284001017,25021,25014,2,14,2
10,8,91002,58,18,284001018,25021,25014,2,14,2
10,8,91002,60,19,284001019,25021,25014,2,15,2
30,8,91002,62,20,284001020,25021,25014,2,15,2
10,8,91002,68,21,284001021,25021,25014,2,16,2
10,8,91002,70,22,284001022,25021,25014,2,16,2
10,8,91002,72,23,284001023,25021,25014,2,16,2
10,8,91002,75,24,284001024,25021,25014,2,17,2
10,8,91002,77,25,284001025,25021,25014,2,18,2
10,8,91002,79,26,284001026,25021,25014,2,18,2
10,8,91002,82,27,284001027,25021,25014,2,19,2
10,8,91002,84,28,284001028,25021,25014,2,19,2
10,8,91002,86,29,284001029,25021,25014,2,19,2
30,8,91002,89,30,284001030,25021,25014,2,20,2
10,8,91002,94,31,284001031,25021,25014,2,20,2
10,8,91002,96,32,284001032,25021,25014,2,21,2
10,8,91002,99,33,284001033,25021,25014,2,21,2
10,8,91002,101,34,284001034,25021,25014,2,22,2
10,8,91002,103,35,284001035,25021,25014,2,22,2
10,8,91002,106,36,284001036,25021,25014,2,23,2
10,8,91002,108,37,284001037,25021,25014,2,23,2
10,8,91002,111,38,284001038,25021,25014,2,24,2
10,8,91002,113,39,284001039,25021,25014,2,25,2
30,8,91002,115,40,284001040,25021,25014,2,25,2
10,8,91002,121,41,284001041,25021,25014,2,26,2
10,8,91002,123,42,284001042,25021,25014,2,27,2
10,8,91002,125,43,284001043,25021,25014,2,28,2
10,8,91002,128,44,284001044,25021,25014,2,28,2
10,8,91002,130,45,284001045,25021,25014,2,29,2
10,8,91002,132,46,284001046,25021,25014,2,30,2
10,8,91002,135,47,284001047,25021,25014,2,30,2
10,8,91002,137,48,284001048,25021,25014,2,31,2
10,8,91002,139,49,284001049,25021,25014,2,31,2
30,8,91002,142,50,284001050,25021,25014,2,31,2
10,8,91002,144,51,284001051,25021,25014,2,32,2
10,8,91002,146,52,284001052,25021,25014,2,32,2
10,8,91002,149,53,284001053,25021,25014,2,32,2
10,8,91002,152,54,284001054,25021,25014,2,33,2
10,8,91002,155,55,284001055,25021,25014,2,33,2
10,8,91002,157,56,284001056,25021,25014,2,33,2
10,8,91002,160,57,284001057,25021,25014,2,34,2
10,8,91002,163,58,284001058,25021,25014,2,34,2
10,8,91002,166,59,284001059,25021,25014,2,34,2
30,8,91002,169,60,284001060,25021,25014,2,35,2
10,8,91002,171,61,284001061,25021,25014,2,35,2
10,8,91002,174,62,284001062,25021,25014,2,35,2
10,8,91002,177,63,284001063,25021,25014,2,36,2
10,8,91002,180,64,284001064,25021,25014,2,36,2
10,8,91002,182,65,284001065,25021,25014,2,36,2
10,8,91002,185,66,284001066,25021,25014,2,37,2
10,8,91002,187,67,284001067,25021,25014,2,37,2
10,8,91002,190,68,284001068,25021,25014,2,37,2
10,8,91002,193,69,284001069,25021,25014,2,38,2
30,8,91002,196,70,284001070,25021,25014,2,38,2
