condition_boss_id,condition_quest_id,condition_story_id_2,condition_story_id_1,sequel_event_id,condition_event_id
0,0,5035005,5035004,10036,0
0,0,5058005,5058004,10059,0
1006201,10062115,0,0,10063,10062
1008401,10084115,0,0,10085,10084
1008601,10086115,0,0,10087,10086
1011001,10110115,0,0,10111,10110
1011201,10112115,0,0,10113,10112
1013601,10136110,0,0,10137,10136
1013801,10138115,0,0,10139,10138
1016401,10164110,0,0,10165,10164
2003301,20033115,0,0,20034,20033
2004601,20046115,0,0,20047,20046
2005901,20059115,0,0,20060,20059
