fix_reward_id,reward_type_1,reward_id_1,reward_type_2,reward_id_2,reward_id_4,reward_num_5,reward_id_3,reward_num_1,reward_num_3,reward_type_3,reward_num_4,reward_type_4,reward_id_5,reward_type_5,reward_num_2
1001101,8,91002,2,90006,0,0,22002,40,1,2,0,0,0,0,40
1001102,8,91002,2,90006,0,0,22002,60,2,2,0,0,0,0,50
1001103,8,91002,2,90006,0,0,22002,80,3,2,0,0,0,0,60
1001104,8,91002,2,90006,0,0,22002,100,4,2,0,0,0,0,80
1001105,8,91002,2,90006,0,0,22003,200,2,2,0,0,0,0,150
1001106,2,90006,2,22002,0,0,0,20,0,0,0,0,0,0,1
1001107,2,90006,2,22002,0,0,0,20,0,0,0,0,0,0,1
1001108,2,90006,2,22002,0,0,0,20,0,0,0,0,0,0,1
1001109,2,90006,2,22002,0,0,0,20,0,0,0,0,0,0,1
1001110,2,90006,2,22003,0,0,0,20,0,0,0,0,0,0,1
1002101,8,91002,2,90006,0,0,22002,40,1,2,0,0,0,0,40
1002102,8,91002,2,90006,0,0,22002,60,2,2,0,0,0,0,50
1002103,8,91002,2,90006,0,0,22002,80,3,2,0,0,0,0,60
1002104,8,91002,2,90006,0,0,22002,100,4,2,0,0,0,0,80
1002105,8,91002,2,90006,0,0,22003,200,2,2,0,0,0,0,150
1002106,2,90006,2,22002,0,0,0,40,0,0,0,0,0,0,1
1002107,2,90006,2,22002,0,0,0,40,0,0,0,0,0,0,1
1002108,2,90006,2,22002,0,0,0,40,0,0,0,0,0,0,1
1002109,2,90006,2,22002,0,0,0,40,0,0,0,0,0,0,1
1002110,2,90006,2,22003,0,0,0,40,0,0,0,0,0,0,1
1003101,8,91002,2,90006,0,0,22002,40,1,2,0,0,0,0,40
1003102,8,91002,2,90006,0,0,22002,60,2,2,0,0,0,0,50
1003103,8,91002,2,90006,0,0,22002,80,3,2,0,0,0,0,60
1003104,8,91002,2,90006,0,0,22002,100,4,2,0,0,0,0,80
1003105,8,91002,2,90006,0,0,22003,200,2,2,0,0,0,0,150
1003106,2,90006,2,22002,0,0,0,40,0,0,0,0,0,0,1
1003107,2,90006,2,22002,0,0,0,40,0,0,0,0,0,0,1
1003108,2,90006,2,22002,0,0,0,40,0,0,0,0,0,0,1
1003109,2,90006,2,22002,0,0,0,40,0,0,0,0,0,0,1
1003110,2,90006,2,22003,0,0,0,40,0,0,0,0,0,0,1
1004101,8,91002,2,90006,0,0,0,40,0,2,0,0,0,0,20
1004102,8,91002,2,90006,0,0,0,50,0,2,0,0,0,0,30
1004103,8,91002,2,90006,0,0,0,75,0,2,0,0,0,0,40
1004104,8,91002,2,90006,0,0,0,100,0,2,0,0,0,0,50
1004105,8,91002,2,90006,0,0,31018,150,2,2,0,0,0,0,100
1004106,8,91002,2,90006,0,0,0,20,0,2,0,0,0,0,20
1004107,8,91002,2,90006,0,0,0,25,0,2,0,0,0,0,30
1004108,8,91002,2,90006,0,0,0,30,0,2,0,0,0,0,40
1004109,8,91002,2,90006,0,0,0,40,0,2,0,0,0,0,50
1004110,8,91002,2,90006,0,0,31018,80,1,2,0,0,0,0,100
1004111,8,91002,2,90006,0,0,0,20,0,2,0,0,0,0,30
1004112,8,91002,2,90006,0,0,0,25,0,2,0,0,0,0,40
1004113,8,91002,2,90006,0,0,0,30,0,2,0,0,0,0,50
1004114,8,91002,2,90006,0,0,0,40,0,2,0,0,0,0,60
1004115,8,91002,2,90006,0,0,31018,80,1,2,0,0,0,0,100
1004116,12,94002,0,0,0,0,0,25000,0,0,0,0,0,0,0
1005101,8,91002,2,90006,0,0,0,40,0,2,0,0,0,0,20
1005102,8,91002,2,90006,0,0,0,50,0,2,0,0,0,0,30
1005103,8,91002,2,90006,0,0,0,75,0,2,0,0,0,0,40
1005104,8,91002,2,90006,0,0,0,100,0,2,0,0,0,0,50
1005105,8,91002,2,90006,0,0,31042,150,2,2,0,0,0,0,100
1005106,8,91002,2,90006,0,0,0,20,0,2,0,0,0,0,20
1005107,8,91002,2,90006,0,0,0,25,0,2,0,0,0,0,30
1005108,8,91002,2,90006,0,0,0,30,0,2,0,0,0,0,40
1005109,8,91002,2,90006,0,0,0,40,0,2,0,0,0,0,50
1005110,8,91002,2,90006,0,0,31042,80,1,2,0,0,0,0,100
1005111,8,91002,2,90006,0,0,0,20,0,2,0,0,0,0,30
