is_puzzle_piece,original_event_id,is_last,reward_count,sub_story_id,reward_type,title,sub_title,reward_id,condition_quest_id
0,10110,0,0,5110601,0,"오프닝","그리운 과거의 결정",0,20059104
1,10110,0,30,5110602,8,"오쿠토의 추억 1","리더는 누구냐!",91002,20059104
1,10110,0,30,5110603,8,"오쿠토의 추억 2","이기고 싶은 이유",91002,20059105
1,10110,0,30,5110604,8,"크리스티나의 추억 1","경청하는 서약여군",91002,20059108
1,10110,0,30,5110605,8,"다이고의 추억 1","숨겨둔 진짜 실력……?",91002,20059109
1,10110,0,30,5110606,8,"라비리스타의 추억 1","친구라 쓰고 라이벌이라 읽는다",91002,20059110
1,10110,0,30,5110607,8,"마사키의 추억","악과 정의의 드높은 웃음소리",91002,20059112
1,10110,0,30,5110608,8,"라지라지의 추억 1","프린세스 나이트란",91002,20059113
1,10110,0,30,5110609,8,"오쿠토의 추억 3","아직 오지 않은 날을 상상하며",91002,20059114
1,10111,0,30,5111602,8,"라지라지의 추억 2","도약왕의 벌",91002,20060103
1,10111,0,30,5111603,8,"크리스티나의 추억 2","둘이라면 절대라고 할지라도",91002,20060105
1,10111,0,30,5111604,8,"다이고의 추억 2","호랑이 꼬리 밟기",91002,20060108
1,10111,0,30,5111605,8,"라비리스타의 추억 2","가장 수상한 칠관은 누구",91002,20060109
1,10111,0,30,5111606,8,"네네카의 추억","너무 간단한 문제",91002,20060110
1,10111,0,30,5111607,8,"오쿠토의 추억 4","마물 조련사는 말한다",91002,20060113
1,10111,0,30,5111608,8,"오쿠토의 추억 5","악당들이 목표로 하는 미래",91002,20060113
0,10111,1,1,5111609,16,"엔딩","과거를 뛰어넘는 추억을",9000222,0
