wave_energy_recovery,life_steal_growth,wave_energy_recovery_growth,dodge,unit_material_id,unit_id,wave_hp_recovery_growth,atk,life_steal,energy_recovery_rate_growth,physical_penetrate_growth,energy_reduce_rate_growth,hp_growth,physical_critical_growth,physical_penetrate,magic_def,magic_penetrate,magic_critical,def,consume_num,wave_hp_recovery,accuracy_growth,accuracy,magic_critical_growth,consume_gold,atk_growth,hp_recovery_rate_growth,magic_def_growth,magic_str_growth,magic_penetrate_growth,physical_critical,dodge_growth,def_growth,energy_recovery_rate,magic_str,energy_reduce_rate,rarity,hp,hp_recovery_rate
0.0,0.0,0.0,0.0,31001,100101,0.0,51.04,0.0,0.0,0.0,0.0,41.77,0.0,0.0,2.28,0.0,0.0,2.73,15,0.0,0.0,0.0,0.0,10000,5.67,0.0,0.25,0.0,0.0,20.0,0.0,0.3,0.0,0.0,0.0,1,376.0,0.0
0.0,0.0,0.0,0.0,31001,100101,0.0,61.24,0.0,0.0,0.0,0.0,62.65,0.0,0.0,2.73,0.0,0.0,3.27,30,0.0,0.0,0.0,0.0,20000,8.5,0.0,0.37,0.0,0.0,20.0,0.0,0.45,0.0,0.0,0.0,2,451.2,0.0
0.0,0.0,0.0,0.0,31001,100101,0.0,71.45,0.0,0.0,0.0,0.0,83.54,0.0,0.0,3.19,0.0,0.0,3.82,100,0.0,0.0,0.0,0.0,30000,11.34,0.0,0.5,0.0,0.0,20.0,0.0,0.6,0.0,0.0,0.0,3,526.4,0.0
0.0,0.0,0.0,0.0,31001,100101,0.0,81.66,0.0,0.0,0.0,0.0,104.5,0.0,0.0,3.64,0.0,0.0,4.36,120,0.0,0.0,0.0,0.0,40000,14.17,0.0,0.62,0.0,0.0,20.0,0.0,0.75,0.0,0.0,0.0,4,601.6,0.0
0.0,0.0,0.0,0.0,31001,100101,0.0,91.87,0.0,0.0,0.0,0.0,125.4,0.0,0.0,4.1,0.0,0.0,4.91,150,0.0,0.0,0.0,0.0,50000,17.01,0.0,0.75,0.0,0.0,20.0,0.0,0.9,0.0,0.0,0.0,5,676.8,0.0
0.0,0.0,0.0,0.0,31001,100101,0.0,1847.2,2.0,0.0,0.0,0.0,167.1,0.0,0.0,4.79,0.0,0.0,5.73,0,0.0,0.0,0.0,0.0,0,22.68,0.0,1.0,0.0,0.0,120.0,0.0,1.2,10.0,0.0,0.0,6,789.5,0.0
0.0,0.0,0.0,0.0,31002,100201,0.0,0.0,0.0,0.0,0.0,0.0,36.75,0.0,0.0,1.94,0.0,0.0,2.28,15,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.22,4.68,0.0,0.0,0.0,0.25,0.0,42.15,0.0,1,330.8,0.0
0.0,0.0,0.0,0.0,31002,100201,0.0,0.0,0.0,0.0,0.0,0.0,55.12,0.0,0.0,2.32,0.0,0.0,2.73,30,0.0,0.0,0.0,0.0,20000,0.0,0.0,0.33,7.02,0.0,0.0,0.0,0.37,0.0,50.58,0.0,2,396.9,0.0
0.0,0.0,0.0,0.0,31002,100201,0.0,0.0,0.0,0.0,0.0,0.0,73.5,0.0,0.0,2.71,0.0,0.0,3.19,100,0.0,0.0,0.0,0.0,30000,0.0,0.0,0.44,9.36,0.0,0.0,0.0,0.5,0.0,59.01,0.0,3,463.0,0.0
0.0,0.0,0.0,0.0,31002,100201,0.0,0.0,0.0,0.0,0.0,0.0,91.87,0.0,0.0,3.1,0.0,0.0,3.64,120,0.0,0.0,0.0,0.0,40000,0.0,0.0,0.55,11.7,0.0,0.0,0.0,0.62,0.0,67.44,0.0,4,529.2,0.0
