comment,notif_type,unit_id
"스태미나 완전 회복! 나도 기력 만땅이야! 준비됐으면 모험하러 레츠고~!",1,100101
"길드 하우스의 스킵 티켓이 꽉 찼대! 순식간에 해치우자~!",2,100101
"기사 군! 길드 하우스의 스태미나가 가득 찼어! 곤란한 사람을 도우려면 체력이 중요하지!",3,100101
"길드 하우스의 EXP 포션이 가득이야! 잔뜩 마셔서 더욱더 강해질 거야~!",4,100101
"길드 하우스의 마나가 가득 찼어! 어디에 쓸지 고민된다! 기사 군은 벌써 정했어?",5,100101
"야호~! 길드 하우스의 아이템이 전부 가득 찼어! …혹시 기사 군, 바빠?",6,100101
"기사 군, 스태미나가 완전히 회복됐어. …모험을 떠난다면 나도 데려갔으면 좋겠어",1,100201
"길드 하우스의 스킵 티켓가 가득 찼어. 이게 있으면 싸우지 않아도 되니 좋은 거지?",2,100201
"길드 하우스의 스태미나가 가득 찼어. …기사 군. 괜찮으면 같이 외출하지 않을래?",3,100201
"길드 하우스의 EXP 포션이 가득 찼어. 조금이라도 마법을 잘 썼으면 좋겠다…",4,100201
"길드 하우스의 마나가 가득 찼어. 나도 조금은 강해질 수 있을까…?",5,100201
"기사 군. 길드 하우스의 아이템이 가득 찼으니… 함께 가지러 가지 않을래?",6,100201
"스태미나가 완전히 회복했구나. 강해지려면 실전에서 경험을 쌓는 게 제일이야. 자, 가자!",1,100301
"길드 하우스의 스킵 티켓이 가득 찼어. 편하게 적을 쓰러뜨릴 수 있는 건 우리가 강해졌다는 증거지",2,100301
"길드 하우스의 스태미나가 가득 찼어. 체력이 남는다면 함께 수행하면 좋겠어",3,100301
"길드 하우스의 EXP 포션이 가득 찼어. 자신을 끊임없이 갈고닦는것이 다음 승리의 지름길이야",4,100301
"길드 하우스의 마나가 가득 찼어. 이걸로 검술을 더욱 연마할 수 있어. 아직 더 강해질 것 같군",5,100301
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼어. 빨리 받도록 해. 알았지?",6,100301
"오빠, 스태미나가 전부 회복됐어! 이걸로 미소기랑 놀러갈 수 있겠다!",1,100401
"길드 하우스의 스킵 티켓이 꽉 찬 거 같아! 좋았어~ 오빠랑 탐험하러 출발~!",2,100401
"길드 하우스의 스태미나가 가득 차 있었어! 빨리 와, 오빠!",3,100401
"길드 하우스의 EXP 포션이 가득이야~! 미소기, 오빠보다 클 수 있을지도!?",4,100401
"길드 하우스의 마나가 가득이야! 미소기, 새로운 장난 굿즈가 갖고 싶다~",5,100401
"길드 하우스의 아이템이 가득이야! 빨리 받지 않으면 미소기가 가질 거야~♪",6,100401
"스태미나가 전부 회복했슴다! 이제부터 슈퍼 히어로 타임 시작이네요!",1,100501
"길드 하우스의 스킵 티켓이 가득 찬 것 같슴다! 이걸로 모험도 순조롭겠네요!",2,100501
"길드 하우스의 스태미나가 가득 찼슴다! 자, 세계의 평화를 지키러 출발임다!",3,100501
"길드 하우스의 EXP 포션이 가득 찼슴다! 절대 무적 히어로를 향한 지름길이네요!",4,100501
"길드 하우스의 마나가 가득 찼슴다… 히, 히어로 인형 같은 건 안 삽니까!?",5,100501
"길드 하우스에서 받을 수 있는 아이템이 가득 찼슴다! 회수해서 모험 준비를 하는 검다!",6,100501
"스태미나가 회복됐어요. 아카리, 또 오빠랑 하고 싶다~♪",1,100601
"길드 하우스의 스킵 티켓이 가득이에요. 아카리랑 함께 가요~ 전투하러♪",2,100601
"길드 하우스의 스태미나가 가득 찬 것 같아요. 아카리, 더는 기다릴 수 없어요♪",3,100601
"길드 하우스의 EXP 포션이 가득이에요. 아카리, 더욱더 성장할 거예요~♪",4,100601
"길드 하우스의 마나가 가득 찼어요~ 아카리, 너무 갖고 싶어요~",5,100601
"오빠, 가득 찼어요. 길드 하우스에서 받을 수 있는 아이템이 전부♪",6,100601
"스태미나가 전부 회복된 거야~ 빨리 푸딩을 사러 가는 거야~",1,100701
"길드 하우스의 스킵 티켓이 가득 찼다! 푸딩 찾기 여행을 떠나는 거야~!",2,100701
"길드 하우스의 스태미나가 가득 찬 거야~ 전부 푸딩에 쓰는 거야~",3,100701
"길드 하우스의 EXP 포션이 가득 찬 거야~ 푸딩이랑 같이 미야코에게 주는 거야~",4,100701
"길드 하우스의 마나가 가득 찬 거야~ ! 이제 푸딩을 잔뜩 살 수 있는 거야~!",5,100701
"길드 하우스에서 받을 수 있는 아이템이 가득 찬 거야~ 빨리 받고 미야코에게 푸딩을 바치는 거야!",6,100701
"스태미나가 회복된 것 같네. 컨디션 최고인 나… 즉, 완벽한 미모라는 거지!",1,100801
"길드 하우스의 스킵 티켓이 가득 찼어. 전투를 스킵하고 나를 유심히 보도록 해♪",2,100801
"길드 하우스의 스태미나가 가득 찬 것 같아. 이걸로 아름다운 나를 완전한 상태에서 볼 수 있겠구나♪",3,100801
"길드 하우스의 EXP 포션이 가득 찼다고 해. 나의 미모도 더욱 진화할 것 같아♪",4,100801
"길드 하우스의 마나가 가득 찼다고 해. 내게 줄 선물을 사는데 써도 좋아♪",5,100801
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찬 것 같아. 그거 전부 나한테 줄 거야?",6,100801
"시구르드여, 우리의 스태미나가 전부 회복됐다! 지금이야말로 전진의 때! 이 질풍의 명희가 적을 유린해 주마!",1,100901
"우리 근거지의 스킵 티켓 저장고가 한계에 도달했다! 사양 말고 받도록 해라!",2,100901
"우리 본거지의 스태미나가 지금이라도 넘칠 것만 같다! 기력을 낭비하지 마라, 시구르드!",3,100901
"길드 하우스의 EXP 포션이 보충되었다! 보다 강한 힘을 얻어, 어서 빨리 최강이 되자!",4,100901
"우리 길드 하우스의 마나가 가득 찼다!시구르드여, 물론 나에게도 나눠줄 거지?",5,100901
"길드 하우스에서 받을 수 있는 아이템이 한계까지 채워졌다! 네가 받지 않겠다면 내가 갖는다?",6,100901
"스태미나가 전부 회복된 것 같사옵니다. 함께 외출해요♪",1,101001
"길드 하우스의 스킵 티켓이 가득 찼사옵니다. 편해서 좋은 것이 옵니다.",2,101001
"길드 하우스의 스태미나가 가득이옵니다. 왕자님만 좋다면 함께 순찰하겠사옵니까?",3,101001
"길드 하우스의 EXP 포션이 남았사옵니다. 마시면 마법을 성공하기 쉬워질까요?",4,101001
"길드 하우스의 마나가 가득이옵니다. 마나는 보석 같아서 아름답사옵니다♪",5,101001
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼사옵니다. 왕자님은 느긋하시네요♪",6,101001
"스태미나가 회복된 것 같아요! 모험 준비는 간단하네요!",1,101101
"길드 하우스의 스킵 티켓이 가득 찼어요! 급할수록 돌아가라… 전투를 선회해요!",2,101101
"길드 하우스의 스태미나가 가득 찬 것 같아요! 준비가 되면 기쁘다! 맞죠~",3,101101
"길드 하우스의 EXP 포션이 가득 찼어요! 좋은 약에 입에 쓰다… 어라? 무슨 뜻이지?",4,101101
"길드 하우스의 마나가 가득 찼어요! 돈은 하늘에서 준 선물…이죠!",5,101101
"길드 하우스에서 받을 수 있는 아이템이 가득이에요! 이대로 두면 돼지가 홀딱 먹어버릴 거예요!",6,101101
"반짝~☆ 스태미나 전부 회복～! 함께 곤란에 처한 사람을 구하러 가자~!",1,101201
"와앗! 길드 하우스의 스킵 티켓이 가득 찼어! 낮잠 자기 전에 산책하러 가자~",2,101201
"으으! 하츠네, 느껴져! 길드 하우스의 스태미나가… 가득 찼어!",3,101201
"길드 하우스의 EXP 포션이 가득이야! 이걸로 내 초능… 마, 마법이 더 강해지겠다!",4,101201
"길드 하우스의 마나가 가득이야~! 저기, 저기 나한테도 나눠줘~",5,101201
"새근새근… 길드 하우스의 아이템… 전부… 가득… 쿠울",6,101201
"스태미나가 전부 회복한 것 같구려! 자, 정기 순회를 합시다!",1,101301
"길드 하우스의 스킵 티켓이 가득이네! 좋았어~ 전설의 마도서를 찾으러 가자~",2,101301
"길드 하우스의 스태미나가 가득 찼다고!? 이건 마법 소녀로서 움직여야 할 때!?",3,101301
"길드 하우스의 EXP 포션이 MAX라고!! 마법 소녀의 성장에는 꼭 필요하지!",4,101301
"길드 하우스의 마나가 가득!? 좋았어~ 마도서 잔뜩 사겠어~! …뭐, 안 된다고?",5,101301
"길드 하우스에서 받을 수 있는 아이템이 가득 찼다고 해! 아이템은 말이지! 빨리 받으라고!",6,101301
"스태미나가 전부 회복된 것 같군. 자, 즐거운 추리 시간의 시작이다! 가자, 조수!",1,101401
"길드 하우스의 스킵 티켓이 가득 찼구나. 효율적인 추리를 위해 쓰도록 하자!",2,101401
"길드 하우스의 스태미나가 가득 찼구나. 조수, 이걸로 오랜 시간 조사해도 문제없어!",3,101401
"길드 하우스의 EXP 포션이 가득 찼구나. 레벨을 올려서 난해한 수수께끼에 도전하자!",4,101401
"길드 하우스의 마나가 가득 찬 것 같아. 고마워라, 조사 비용으로 쓰도록 하지!",5,101401
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찬 것 같아. 이걸로 추리를 순조롭게 할 수 있어!",6,101401
"스태미나가 전부 회복된 것 같네~ 선생님이랑 힘께 놀러 갈까♪",1,101501
"어머 어머, 길드 하우스의 스킵 티켓이 가득이네. 너와 여러 곳에 갈 수 있었어~",2,101501
"길드 하우스의 스태미나가 가득 찬 것 같아. 자, 그럼 선생님을 어디로 데려가 줄래~?",3,101501
"길드 하우스의 EXP 포션이 가득이야. 모두의 성장이 나에게는 가장 큰 행복이야",4,101501
"어머! 길드 하우스의 마나가 한가득! 후훗, 낭비하지 않도록 해?",5,101501
"길드 하우스에서 받을 수 있는 아이템이 전~부 가득 찬 것 같네~ 잊지 말고 회수하도록 하렴~",6,101501
"스태미나가 전부 회복한 것 같아! 텐션 최고다!",1,101601
"길드 하우스의 스킵 티켓이 가득 찬 것 같아! 공부 스킵 티켓은 없는 걸까?",2,101601
"길드 하우스의 스태미나가 가득이야! 오늘은 파티~ 파티다~☆",3,101601
"길드 하우스의 EXP 포션이 가득이래! 이걸로 내 성적도 안 오르려나~",4,101601
"길드 하우스의 마나가 가득이야! 둘이서 쇼핑하러 레츠고~!",5,101601
"길드 하우스에서 받을 수 있는 아이템이 전부 가득이래! 자~! 하이 텐션으로 모험하자!",6,101601
"안녀~엉! 스태미나도 전부 회복됐고, 나랑 순찰하러 가자~♪",1,101701
"길드 하우스의 스킵 티켓이 가득 찼어~ 공수도에도 모험에도 재빠른 움직임은 중요해~!",2,101701
"길드 하우스의 스태미나가 가득 찼으니, 같이 춤추고 노래하자~!",3,101701
"길드 하우스의 EXP 포션이 가득 찼다고 해~ 이걸 마시면 모두 검은 띠야~!",4,101701
"길드 하우스의 마나가 가득 찼어~ 공수도 기술을 연마할 수도 있어~!",5,101701
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼어~ 받는 거 도와줄까~?",6,101701
"스태미나가 전부 회복한 것 같네. 지금이라면 보충 수업도 잔뜩 할 수 있을 거 같아… 후후, 열심히 하자♪",1,101801
"길드 하우스의 스킵 티켓이 가득 찬 것 같아! 하지만 보충 수업은 스킵 할 수 없단다♪",2,101801
"길드 하우스의 스태미나가 가득 찬 것 같네. 자, 그럼 수업을 시작할까♪",3,101801
"길드 하우스의 EXP 포션이 가득 찬 것 같아. 너도 쑥쑥 성장하겠다~",4,101801
"길드 하우스의 마나가 가득이야! 방과 후에 함께 쇼핑이라도 할래?",5,101801
"길드 하우스에서 받을 수 있는 아이템이 전부 가득이야. 완벽한 상태로 열심히 공부하자♪",6,101801
"에헤헤, 스태미나 완전 회복~♪ 오빠, 미미랑 놀자?",1,102001
"와~ 길드 하우스의 스킵 티켓이 가득이야! 미미는 말이지, 오빠랑 산책하러 가고 싶다~",2,102001
"룰루랄라~ 룰루랄라~♪ 길드 하우스의 스태미나 가득~♪ 손잡고 외출하자~?",3,102001
"길드 하우스의 EXP 포션이 가득이야! 미미, 언니가 될 수 있을까?",4,102001
"음~ 뭐에 쓸까~ 아, 오빠. 길드 하우스의 마나가 가득 찼어~",5,102001
"길드 하우스의 아이템을 전부 받을 수 있어~ 굉장하다, 미미도 갖고 싶어~",6,102001
"스, 스태미나가 전부 회복한 것 같아요오… 노, 놀아주면 좋겠다…",1,102101
"길드 하우스의 스킵 티켓이 가득 찼어요오… 무척 편리하다고 들었는데…",2,102101
"길드 하우스의 스태미나가 가득이에요오… 오, 오빠, 모험하러 갈래요…?",3,102101
"길드 하우스의 EXP 포션이 가득… 좀 더 요리를 잘 만들 수 있을까…?",4,102101
"길드 하우스의 마나가 가득이에요오… 낭비하면 안 돼요…?",5,102101
