system_id,condition_value_2,start_time,condition_value_1,mission_condition,description,visible_flag,end_time,condition_num,mission_reward_id,category_icon,mission_id,condition_value_3,disp_group
101,0,"2015/04/01 15:00:00",11001010,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001001,0,402001
101,0,"2015/04/01 15:00:00",11002012,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001002,0,402001
101,0,"2015/04/01 15:00:00",11003012,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001003,0,402001
101,0,"2015/04/01 15:00:00",11004013,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001004,0,402001
101,0,"2015/04/01 15:00:00",11005013,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001005,0,402001
101,0,"2015/04/01 15:00:00",11006014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001006,0,402001
101,0,"2015/04/01 15:00:00",11007014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001007,0,402001
101,0,"2015/04/01 15:00:00",11008015,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001008,0,402001
101,0,"2015/04/01 15:00:00",11009015,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001009,0,402001
101,0,"2015/04/01 15:00:00",11010017,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001010,0,402001
101,0,"2015/04/01 15:00:00",11011017,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001011,0,402001
101,0,"2015/04/01 15:00:00",11012017,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001012,0,402001
101,0,"2015/04/01 15:00:00",11013017,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001013,0,402001
101,0,"2015/04/01 15:00:00",11014014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001014,0,402001
101,0,"2015/04/01 15:00:00",11015014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001015,0,402001
101,0,"2015/04/01 15:00:00",11016014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001016,0,402001
101,0,"2015/04/01 15:00:00",11017014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001017,0,402001
101,0,"2015/04/01 15:00:00",11018014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001018,0,402001
101,0,"2015/04/01 15:00:00",11019014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001019,0,402001
101,0,"2015/04/01 15:00:00",11020014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001020,0,402001
101,0,"2015/04/01 15:00:00",11021014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001021,0,402001
101,0,"2015/04/01 15:00:00",11022014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001022,0,402001
101,0,"2015/04/01 15:00:00",11023014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001023,0,402001
101,0,"2015/04/01 15:00:00",11024014,1001,"",0,"2030/04/01 14:59:59",1,0,201,51001024,0,402001
102,0,"2015/04/01 15:00:00",12001003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003001,0,403001
102,0,"2015/04/01 15:00:00",12002003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003002,0,403001
102,0,"2015/04/01 15:00:00",12003003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003003,0,403001
102,0,"2015/04/01 15:00:00",12004003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003004,0,403001
102,0,"2015/04/01 15:00:00",12005003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003005,0,403001
102,0,"2015/04/01 15:00:00",12006003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003006,0,403001
102,0,"2015/04/01 15:00:00",12007003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003007,0,403001
102,0,"2015/04/01 15:00:00",12008003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003008,0,403001
102,0,"2015/04/01 15:00:00",12009003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003009,0,403001
102,0,"2015/04/01 15:00:00",12010003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003010,0,403001
102,0,"2015/04/01 15:00:00",12011003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003011,0,403001
102,0,"2015/04/01 15:00:00",12012003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003012,0,403001
102,0,"2015/04/01 15:00:00",12013003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003013,0,403001
102,0,"2015/04/01 15:00:00",12014003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003014,0,403001
102,0,"2015/04/01 15:00:00",12015003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003015,0,403001
102,0,"2015/04/01 15:00:00",12016003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003016,0,403001
102,0,"2015/04/01 15:00:00",12017003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003017,0,403001
102,0,"2015/04/01 15:00:00",12018003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003018,0,403001
102,0,"2015/04/01 15:00:00",12019003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003019,0,403001
102,0,"2015/04/01 15:00:00",12020003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003020,0,403001
102,0,"2015/04/01 15:00:00",12021003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003021,0,403001
102,0,"2015/04/01 15:00:00",12022003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003022,0,403001
102,0,"2015/04/01 15:00:00",12023003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003023,0,403001
102,0,"2015/04/01 15:00:00",12024003,1003,"",0,"2030/04/01 14:59:59",1,0,201,51003024,0,403001
104,0,"2015/04/01 15:00:00",31001,1010,"",0,"2030/04/01 14:59:59",1,0,204,51010001,0,701001
104,0,"2015/04/01 15:00:00",31002,1010,"",0,"2030/04/01 14:59:59",1,0,204,51010002,0,701001
104,0,"2015/04/01 15:00:00",31003,1010,"",0,"2030/04/01 14:59:59",1,0,204,51010003,0,701001
104,0,"2015/04/01 15:00:00",31004,1010,"",0,"2030/04/01 14:59:59",1,0,204,51010004,0,701001
104,0,"2015/04/01 15:00:00",31005,1010,"",0,"2030/04/01 14:59:59",1,0,204,51010005,0,701001
108,0,"2015/04/01 15:00:00",71010070,1102,"",0,"2030/04/01 14:59:59",1,0,208,51102001,0,801001
108,0,"2015/04/01 15:00:00",71020110,1102,"",0,"2030/04/01 14:59:59",1,0,208,51102002,0,801001
108,0,"2015/04/01 15:00:00",71030130,1102,"",0,"2030/04/01 14:59:59",1,0,208,51102003,0,801001
