talent_2,talent_5,talent_1,resist_id,talent_4,talent_3
100,100,100,1000000,100,100
100,100,150,2000000,100,100
150,100,100,2000001,100,100
100,100,100,2000002,100,150
100,100,100,2000003,150,100
100,150,100,2000004,100,100
100,100,300,2000005,100,100
300,100,100,2000006,100,100
100,300,100,2000009,100,100
100,100,250,2000010,100,100
250,100,100,2000011,100,100
100,100,100,2000012,100,250
100,100,100,2000013,250,100
100,250,100,2000014,100,100
150,100,150,3000000,100,100
100,100,150,3000001,100,150
100,100,150,3000002,150,100
100,150,150,3000003,100,100
150,100,100,3000004,100,150
150,100,100,3000005,150,100
150,150,100,3000006,100,100
100,100,100,3000007,150,150
100,150,100,3000008,100,150
100,150,100,3000009,150,100
250,100,250,3000010,100,100
100,100,250,3000011,100,250
100,100,250,3000012,250,100
100,250,250,3000013,100,100
250,100,100,3000014,100,250
250,100,100,3000015,250,100
250,250,100,3000016,100,100
100,100,100,3000017,250,250
100,250,100,3000018,100,250
100,250,100,3000019,250,100
150,100,150,4000000,100,150
150,100,150,4000001,150,100
150,150,150,4000002,100,100
100,100,150,4000003,150,150
100,150,150,4000004,100,150
100,150,150,4000005,150,100
150,100,100,4000006,150,150
150,150,100,4000007,100,150
150,150,100,4000008,150,100
100,150,100,4000009,150,150
250,100,250,4000010,100,250
250,100,250,4000011,250,100
250,250,250,4000012,100,100
100,100,250,4000013,250,250
100,250,250,4000014,100,250
100,250,250,4000015,250,100
250,100,100,4000016,250,250
250,250,100,4000017,100,250
250,250,100,4000018,250,100
100,250,100,4000019,250,250
150,100,150,5000000,150,150
150,150,150,5000001,100,150
150,150,150,5000002,150,100
100,150,150,5000003,150,150
150,150,100,5000004,150,150
250,100,250,5000010,250,250
250,250,250,5000011,100,250
250,250,250,5000012,250,100
100,250,250,5000013,250,250
250,250,100,5000014,250,250
