end_time,description,character_id,start_time,comment_id,where_type,motion_type,voice_id
"2030-04-01 14:00:00","다양한 미니 게임이\n준비되어 있습니다!\n어떤 미니 게임을 해 보시겠어요?",190801,"2020-02-15 15:00:00",1000001,1000,13,0
"2030-04-01 14:00:00","즐거운 미니 게임 소개!\n당신은 어떤 미니 게임을\n하실 건가요?",190801,"2020-02-15 15:00:00",1000002,1000,13,0
"2030-04-01 14:00:00","이건 {0}루피로 판매 중!\n꼭 구입해서 즐겨 보세요!",190801,"2020-02-15 15:00:00",1001001,1001,13,0
"2030-04-01 14:00:00","움직이는 하트에 맞춰 터치!\n시즈루 씨와 에리코 씨의\n초콜릿 케이크 만들기를\n도와주세요!",190801,"2020-02-15 15:00:00",1002001,1002,12,0
"2030-04-01 14:00:00","쿠우카 씨를 당겨서\n더 멀리 날려 주세요!\n다양한 해프닝으로 쿠우카 씨에게\n엑스터시를 선사하세요!",190801,"2020-02-15 15:00:00",1003001,1003,11,0
"2030-04-01 14:00:00","좌우를 터치하여 마지문을\n쓰러뜨리세요!\n발사! 류큐견 어라운드 슛!",190801,"2020-02-15 15:00:00",1004001,1004,3,0
"2030-04-01 14:00:00","패널을 터치하여 드래곤즈 네스트 일행과 함께 끝말잇기 대결을 해보지 않으시겠어요?\n끝말에 「한방 단어」는 금지예요",190801,"2020-02-15 15:00:00",1005001,1005,7,0
"2030-04-01 14:00:00","재빠른 쥐의 움직임에 맞춰\n터치하여 퇴치!\n의욕이 가득한 린 씨와 함께\n소중한 치즈를 지키세요!",190801,"2021-07-01 15:00:00",1006001,1006,2,0
"2030-04-01 14:00:00","미사토 씨나 부원 여러분과\n타격 훈련을 해요!\n홈런을 목표로, 공을\n적절한 타이밍에 되받아쳐 보세요",190801,"2021-09-29 15:00:00",1007001,1007,4,0
"2030-04-01 14:00:00","카르미나 메달을 사용해\n응원 굿즈를 입수합시다!\n메달은 루피를 사용해\n교환할 수 있어요.",190801,"2022-09-29 15:00:00",1008001,1008,6,0
"2030-04-01 14:00:00","먹은 푸딩은 푸딩 노트\n에서 확인해 보세요!\n푸딩의 재료는 루피를 사용해서\n구입할 수 있어요.",190801,"2023-01-16 15:00:00",1009001,1009,13,0
"2030-04-01 14:00:00","팀으로 퀴즈에 도전해 보세요!\n혼자서 자신의 실력을 시험할지,\n멀티로 동료와 함께 놀지,\n원하는 모드를 골라주세요♪",190801,"2023-03-16 15:00:00",1010001,1010,4,0
"2030-04-01 14:00:00","3개의 라운드를 달려 나가\n종합 1위를 노려보세요!\n참가자 여러분의 특징이나\nGP의 특징에도 주목해 주세요♪",190801,"2023-08-30 15:00:00",1011001,1011,6,0
"2030-04-01 14:00:00","캬루 씨, 스즈나 씨와 함께\n퀴즈로 공부합시다!\n방과 후 교실에서 단둘이라니…\n어쩐지 두근두근하네요♪",190801,"2024-10-16 15:00:00",1012001,1012,6,0
"2030-04-01 14:00:00","마물 토벌 임무에 자 행군!\n에리코 씨, 마코토 씨의\n믿음직한 뒷모습은\n신병분들의 동경이네요♪",190801,"2025-05-15 15:00:00",1013001,1013,6,0
"2030-04-01 14:00:00","밴디 시스터즈 여러분\n과 전차 배틀에 도전합니다!\n부품과 멤버 조합에 따라\n머신의 특징이 바뀐답니다♪",190801,"2025-12-19 15:00:00",1014001,1014,6,0
