param_02,drama_id,param_05,param_07,command_id,param_06,command_type,param_04,param_03,param_08,param_01
se_travel_start_1pt,111,"","",101110001,"",23,"",0,"",se_travel
10010,111,1,"",101110002,1,31,0,0,"",10010
10011,111,1,"",101110003,1,31,0,0,"",10011
10020,111,1,"",101110004,0,31,0,0,"",10020
1001001,111,-150,0,101110005,0.68,1,-150,62,<weapon>_idle,2
1001002,111,-75,0,101110006,0.68,1,-250,61,<weapon>_idle,2
1001003,111,-180,0,101110007,0.68,1,-350,63,<weapon>_idle,2
1001004,111,-75,0,101110008,0.68,1,-450,61,<weapon>_idle,2
1001005,111,-150,0,101110009,0.68,1,-550,62,<weapon>_idle,2
1001001,111,0.68,0,101110010,1,31,-150,-150,"",10012
1001002,111,0.68,0,101110011,1,31,-75,-250,"",10012
1001003,111,0.68,0,101110012,1,31,-180,-350,"",10012
1001004,111,0.68,0,101110013,1,31,-75,-450,"",10012
1001005,111,0.68,0,101110014,1,31,-150,-550,"",10012
10030,111,1,"",101110015,0,31,0,0,"",10030
10031,111,1,"",101110016,0,31,0,0,"",10031
0,111,"","",101110017,"",91,"","","",""
1,111,"","",101110018,"",32,"","","",10030
0,111,"","",101110019,"",91,"","","",0
<weapon>_run,111,0,"",101110020,0,3,"",1,"",1001001
<weapon>_run,111,0,"",101110021,0,3,"",1,"",1001002
<weapon>_run,111,0,"",101110022,0,3,"",1,"",1001003
<weapon>_run,111,0,"",101110023,0,3,"",1,"",1001004
<weapon>_run,111,0,"",101110024,0,3,"",1,"",1001005
800,111,0,"",101110025,"",2,3,-150,"",1001001
700,111,0,"",101110026,"",2,3,-75,"",1001002
600,111,0,"",101110027,"",2,3,-180,"",1001003
500,111,0,"",101110028,"",2,3,-75,"",1001004
400,111,0,"",101110029,"",2,3,-150,"",1001005
800,111,0,"",101110030,"",33,3,-150,"",1001001
700,111,0,"",101110031,"",33,3,-75,"",1001002
600,111,0,"",101110032,"",33,3,-180,"",1001003
500,111,0,"",101110033,"",33,3,-75,"",1001004
400,111,0,"",101110034,"",33,3,-150,"",1001005
1,111,"","",101110035,"",32,"","","",10020
0,111,"","",101110036,"",93,"","","",2.5
1,111,"","",101110037,"",32,"","","",10031
0,111,"","",101110038,"",93,"","","",0.4
0,111,"","",101110039,"",91,"","","",0
se_travel_start_2pt,211,"","",102110001,"",23,"",0,"",se_travel
10010,211,1,"",102110002,1,31,0,0,"",10010
10011,211,1,"",102110003,1,31,0,0,"",10011
10020,211,1,"",102110004,0,31,0,0,"",10020
1001001,211,-90,0,102110005,0.68,1,-100,62,<weapon>_idle,2
1001002,211,-15,0,102110006,0.68,1,-170,61,<weapon>_idle,2
1001003,211,-105,0,102110007,0.68,1,-240,63,<weapon>_idle,2
1001004,211,-15,0,102110008,0.68,1,-310,61,<weapon>_idle,2
1001005,211,-90,0,102110009,0.68,1,-380,62,<weapon>_idle,2
1001001,211,0.68,0,102110010,1,31,-90,-100,"",10012
1001002,211,0.68,0,102110011,1,31,-15,-170,"",10012
1001003,211,0.68,0,102110012,1,31,-105,-240,"",10012
1001004,211,0.68,0,102110013,1,31,-15,-310,"",10012
1001005,211,0.68,0,102110014,1,31,-90,-380,"",10012
1002001,211,-240,0,102110015,0.68,1,-500,52,<weapon>_idle,2
1002002,211,-165,0,102110016,0.68,1,-570,51,<weapon>_idle,2
1002003,211,-255,0,102110017,0.68,1,-640,53,<weapon>_idle,2
1002004,211,-165,0,102110018,0.68,1,-710,51,<weapon>_idle,2
1002005,211,-240,0,102110019,0.68,1,-780,52,<weapon>_idle,2
1002001,211,0.68,0,102110020,1,31,-240,-500,"",10012
1002002,211,0.68,0,102110021,1,31,-165,-570,"",10012
1002003,211,0.68,0,102110022,1,31,-255,-640,"",10012
1002004,211,0.68,0,102110023,1,31,-165,-710,"",10012
1002005,211,0.68,0,102110024,1,31,-240,-780,"",10012
10030,211,1,"",102110025,0,31,0,0,"",10030
10031,211,1,"",102110026,0,31,0,0,"",10031
0,211,"","",102110027,"",91,"","","",""
1,211,"","",102110028,"",32,"","","",10030
0,211,"","",102110029,"",91,"","","",0
<weapon>_run,211,0,"",102110030,0,3,"",1,"",1001001
<weapon>_run,211,0,"",102110031,0,3,"",1,"",1001002
<weapon>_run,211,0,"",102110032,0,3,"",1,"",1001003
<weapon>_run,211,0,"",102110033,0,3,"",1,"",1001004
<weapon>_run,211,0,"",102110034,0,3,"",1,"",1001005
850,211,0,"",102110035,"",2,3,-90,"",1001001
780,211,0,"",102110036,"",2,3,-15,"",1001002
710,211,0,"",102110037,"",2,3,-105,"",1001003
640,211,0,"",102110038,"",2,3,-15,"",1001004
570,211,0,"",102110039,"",2,3,-90,"",1001005
850,211,0,"",102110040,"",33,3,-90,"",1001001
780,211,0,"",102110041,"",33,3,-15,"",1001002
710,211,0,"",102110042,"",33,3,-105,"",1001003
640,211,0,"",102110043,"",33,3,-15,"",1001004
570,211,0,"",102110044,"",33,3,-90,"",1001005
