id,drop_gold_1,drop_reward_id_1,drop_reward_id_5,drop_reward_id_3,drop_gold_3,drop_gold_5,odds,enemy_id_1,guest_lane,drop_gold_2,drop_gold_4,drop_reward_id_4,drop_reward_id_2,enemy_id_3,enemy_id_5,guest_enemy_id,enemy_id_2,enemy_id_4,wave_group_id
803100201,0,0,0,0,0,0,100,803100201,0,0,0,0,0,803100252,803100263,0,803100251,803100253,803100201
803100202,0,0,0,0,0,0,100,803100205,0,0,0,0,0,803100252,803100263,0,803100251,803100253,803100202
803100203,0,0,0,0,0,0,100,803100209,0,0,0,0,0,803100252,803100263,0,803100251,803100253,803100203
803100204,0,0,0,0,0,0,100,803100213,0,0,0,0,0,803100255,803100263,0,803100254,803100256,803100204
803100205,0,0,0,0,0,0,100,803100214,0,0,0,0,0,803100255,803100263,0,803100254,803100256,803100205
803100206,0,0,0,0,0,0,100,803100215,0,0,0,0,0,803100255,803100263,0,803100254,803100256,803100206
803100207,0,0,0,0,0,0,100,803100216,0,0,0,0,0,803100258,803100263,0,803100257,803100259,803100207
803100208,0,0,0,0,0,0,100,803100217,0,0,0,0,0,803100258,803100263,0,803100257,803100259,803100208
803100209,0,0,0,0,0,0,100,803100218,0,0,0,0,0,803100258,803100263,0,803100257,803100259,803100209
803100210,0,0,0,0,0,0,100,803100219,0,0,0,0,0,803100261,803100263,0,803100260,803100262,803100210
803100211,0,0,0,0,0,0,100,803100220,0,0,0,0,0,803100261,803100263,0,803100260,803100262,803100211
803100212,0,0,0,0,0,0,100,803100221,0,0,0,0,0,803100261,803100263,0,803100260,803100262,803100212
803100213,0,0,0,0,0,0,100,803100222,0,0,0,0,0,803100265,803100267,0,803100264,803100266,803100213
803100214,0,0,0,0,0,0,100,803100223,0,0,0,0,0,803100265,803100267,0,803100264,803100266,803100214
803100215,0,0,0,0,0,0,100,803100224,0,0,0,0,0,803100265,803100267,0,803100264,803100266,803100215
803100216,0,0,0,0,0,0,100,803100225,0,0,0,0,0,803100268,803100272,0,803100226,803100269,803100216
803100217,0,0,0,0,0,0,100,803100227,0,0,0,0,0,803100268,803100272,0,803100228,803100269,803100217
803100218,0,0,0,0,0,0,100,803100229,0,0,0,0,0,803100268,803100272,0,803100230,803100269,803100218
803100219,0,0,0,0,0,0,100,803100231,0,0,0,0,0,803100270,803100272,0,803100232,803100271,803100219
803100220,0,0,0,0,0,0,100,803100233,0,0,0,0,0,803100270,803100272,0,803100234,803100271,803100220
803100221,0,0,0,0,0,0,100,803100235,0,0,0,0,0,803100270,803100272,0,803100236,803100271,803100221
803100222,0,0,0,0,0,0,100,803100237,0,0,0,0,0,0,0,0,0,0,803100222
803100223,0,0,0,0,0,0,100,803100238,0,0,0,0,0,0,0,0,0,0,803100223
803100224,0,0,0,0,0,0,100,803100239,0,0,0,0,0,0,0,0,0,0,803100224
