enhance_id_3,reward_type,enhance_id_5,item_id,enhance_id_1,enhance_id_2,enhance_level_id,consume_num,enhance_id_4,consume_gold
0,2,0,25101,111,0,101,3,0,5000000
0,2,0,25101,211,0,201,3,0,5000000
0,2,0,25101,311,0,301,2,0,5500000
0,2,0,25101,411,0,401,2,0,5500000
0,2,0,25101,511,0,501,3,0,6000000
0,2,0,25101,611,0,601,2,0,6000000
0,2,0,25101,711,0,701,2,0,6500000
0,2,0,25101,811,0,801,2,0,6500000
0,2,0,25101,911,0,901,3,0,7000000
0,2,0,25101,1011,0,1001,2,0,7000000
0,2,0,25101,1111,1112,1101,2,0,7500000
0,2,0,25101,1211,1212,1201,2,0,7500000
0,2,0,25101,1311,0,1301,3,0,8000000
0,2,0,25101,1411,0,1401,2,0,8000000
0,2,0,25101,1511,0,1501,2,0,8500000
0,2,0,25101,1611,0,1601,2,0,8500000
0,2,0,25101,1711,0,1701,3,0,9000000
0,2,0,25101,1811,1812,1801,2,0,9000000
0,2,0,25101,1911,0,1901,2,0,9500000
0,2,0,25101,2011,0,2001,2,0,9500000
0,2,0,25101,2111,0,2101,3,0,10000000
0,2,0,25101,2211,0,2201,2,0,10000000
0,2,0,25101,2311,0,2301,2,0,10500000
0,2,0,25101,2411,0,2401,2,0,10500000
0,2,0,25101,2511,0,2501,3,0,11000000
0,2,0,25101,2611,2612,2601,2,0,11000000
0,2,0,25101,2711,2712,2701,2,0,11500000
0,2,0,25101,2811,2812,2801,2,0,11500000
0,2,0,25101,2911,0,2901,3,0,12000000
0,2,0,25101,3011,3012,3001,2,0,12000000
0,2,0,25101,3111,0,3101,2,0,12500000
0,2,0,25101,3211,0,3201,2,0,12500000
0,2,0,25101,3311,0,3301,3,0,13000000
0,2,0,25101,3411,0,3401,3,0,13000000
0,2,0,25101,3511,0,3501,3,0,13500000
0,2,0,25101,3611,0,3601,3,0,13500000
0,2,0,25101,3711,0,3701,3,0,13500000
0,2,0,25101,3811,3812,3801,3,0,14000000
0,2,0,25101,3911,0,3901,3,0,14000000
0,2,0,25101,4011,0,4001,3,0,14000000
0,2,0,25101,4111,0,4101,3,0,14500000
0,2,0,25101,4211,4212,4201,3,0,14500000
0,2,0,25101,4311,0,4301,3,0,14500000
0,2,0,25101,4411,0,4401,3,0,15000000
0,2,0,25101,4511,0,4501,3,0,15000000
0,2,0,25101,4611,0,4601,3,0,15000000
0,2,0,25101,4711,0,4701,3,0,15500000
0,2,0,25101,4811,0,4801,3,0,15500000
0,2,0,25101,4911,0,4901,3,0,15500000
0,2,0,25101,5011,0,5001,3,0,16000000
0,2,0,25101,5111,0,5101,3,0,16000000
0,2,0,25101,5211,0,5201,3,0,16000000
0,2,0,25101,5311,0,5301,3,0,16500000
0,2,0,25101,5411,5412,5401,3,0,16500000
0,2,0,25101,5511,0,5501,3,0,16500000
0,2,0,25101,5611,0,5601,3,0,17000000
0,2,0,25101,5711,0,5701,3,0,17000000
0,2,0,25101,5811,0,5801,3,0,17000000
0,2,0,25101,5911,0,5901,3,0,17500000
0,2,0,25101,6011,0,6001,3,0,17500000
0,2,0,25101,6111,0,6101,3,0,17500000
0,2,0,25101,6211,6212,6201,3,0,18000000
0,2,0,25101,6311,0,6301,3,0,18000000
0,2,0,25101,6411,0,6401,3,0,18000000
0,2,0,25101,6511,0,6501,3,0,18500000
0,2,0,25101,6611,0,6601,3,0,18500000
