command_type,param_05,drama_id,param_02,param_08,command_id,param_04,param_06,param_03,param_01,param_07
1,-220,1001501,100111,cmn_talk_def_N,1001501001,400,1.5,850,1,1
31,1,1001501,8,"",1001501002,0,1,0,8,""
31,1,1001501,7,"",1001501003,0,1,0,7,""
31,1,1001501,47,"",1001501004,0,1,0,47,""
31,1,1001501,3,"",1001501005,0,1,0,3,""
31,1,1001501,2,"",1001501006,0,1,0,2,""
31,1,1001501,1,"",1001501007,0,1,0,1,""
31,1,1001501,12,"",1001501008,0,0,0,12,""
3,"",1001501,blb_run_01,"",1001501009,"",0.3,1,100111,""
2,0,1001501,90,"",1001501010,1.3,"",-220,100111,""
25,"",1001501,bgm_M321_2C,"",1001501011,0,"",0,bgm_M321,""
121,0,1001501,0,"",1001501012,1.25,0,1.25,0,""
32,1,1001501,1,"",1001501013,0,1,0,12,""
23,"",1001501,se_sys_login_birthday_new_01,"",1001501014,0,"",0,se_common,""
93,"",1001501,"","",1001501015,"","","",1.3,""
3,0,1001501,blb_stop,"",1001501016,blb_idle,0.05,0,100111,0.3
2,0,1001501,80,"",1001501017,0.25,"",-220,100111,""
93,"",1001501,"","",1001501018,"","","",1.4,""
121,1,1001501,0,"",1001501019,1.4,3,1.4,0,""
131,"",1001501,"","",1001501020,"","","",1,""
3,1,1001501,blb_blowout_02,"",1001501021,blb_idle,0.3,0,100111,0.3
93,"",1001501,"","",1001501022,"","","",0.7,""
32,1,1001501,0,"",1001501023,0,1,0,12,""
31,1,1001501,13,"",1001501024,0,1,0,13,""
93,"",1001501,"","",1001501025,"","","",0.2,""
23,"",1001501,se_sys_login_birthday_blow_candle,"",1001501026,0,"",0,se_common,""
93,"",1001501,"","",1001501027,"","","",1.2,""
23,"",1001501,se_adv_tickle_02,"",1001501028,0,"",0,se_adv_tickle_02,""
31,1,1001501,4,"",1001501029,0,1,0,4,""
93,"",1001501,"","",1001501030,"","","",1,""
23,"",1001501,se_sys_login_birthday_02,"",1001501031,0,"",0,se_common,""
3,0,1001501,blb_idle,"",1001501032,"",0.3,1,100111,""
93,"",1001501,"","",1001501033,"","","",1.05,""
23,"",1001501,se_sys_login_birthday_cracker,"",1001501034,0,"",0,se_common,""
31,1,1001501,6,"",1001501035,0,1,0,6,""
3,1,1001501,blb_joy_02,"",1001501036,blb_wish_02,0,0,100111,""
93,"",1001501,"","",1001501037,"","","",2,""
21,"",1001501,vo_adv_1001501_000,"",1001501038,0,"",0,vo_adv_1001501,""
13,"",1001501,870,"",1001501039,"","","",100111,""
11,1,1001501,"고마워~ 기사 군~!\n생일 축하를 해주다니\n엄청, 어~엄청 기뻐~!","",1001501040,1,0,5,100111,0
91,"",1001501,"","",1001501041,"","","",0,""
21,"",1001501,vo_adv_1001501_001,"",1001501042,0,"",0,vo_adv_1001501,""
11,1,1001501,"나를 놀라게 하려고\n몰래 준비한 거야?\n엄청 깜짝 놀랐어!","",1001501043,1,0,6,100111,0
91,"",1001501,"","",1001501044,"","","",0,""
21,"",1001501,vo_adv_1001501_002,"",1001501045,0,"",0,vo_adv_1001501,""
11,1,1001501,"준비하는 거 힘들지 않았어?\n다음엔 나도 불러줘!\n전력을 다해서 도와줄 테니까!","",1001501046,1,0,7,100111,0
91,"",1001501,"","",1001501047,"","","",0,""
21,"",1001501,vo_adv_1001501_003,"",1001501048,0,"",0,vo_adv_1001501,""
11,1,1001501,"……내 생일이니까,\n그러면 서프라이즈가 안 된다고?\n그렇구나! 정말 그렇네! 에헤헤……","",1001501049,1,0,5,100111,0
91,"",1001501,"","",1001501050,"","","",0,""
21,"",1001501,vo_adv_1001501_004,"",1001501051,0,"",0,vo_adv_1001501,""
11,1,1001501,"오늘은 기사 군 덕분에\n최고의 하루가 됐어!\n왠지 두근거림이 안 멈추네……\n자자, 얼른 케이크 먹자~!","",1001501052,1,0,6,100111,0
91,"",1001501,"","",1001501053,"","","",0,""
31,1,1001501,9,"",1001501054,0,1,0,9,""
131,"",1001501,"","",1001501055,"","","",0,""
22,"",1001501,1,"",1001501056,0,"",0,0,""
111,"",1001501,"","",1001501057,"","","","",""
91,"",1001501,"","",1001501058,"","","",0,""
1,-220,1002501,100211,cmn_talk_def_N,1002501001,400,1.5,850,1,1
31,1,1002501,8,"",1002501002,0,1,0,8,""
31,1,1002501,7,"",1002501003,0,1,0,7,""
31,1,1002501,22,"",1002501004,0,1,0,22,""
31,1,1002501,3,"",1002501005,0,1,0,3,""
31,1,1002501,2,"",1002501006,0,1,0,2,""
31,1,1002501,1,"",1002501007,0,1,0,1,""
31,1,1002501,12,"",1002501008,0,0,0,12,""
3,"",1002501,blb_run_01,"",1002501009,"",0.3,1,100211,""
2,0,1002501,90,"",1002501010,1.3,"",-220,100211,""
25,"",1002501,bgm_M321_2C,"",1002501011,0,"",0,bgm_M321,""
121,0,1002501,0,"",1002501012,1.25,0,1.25,0,""
32,1,1002501,1,"",1002501013,0,1,0,12,""
23,"",1002501,se_sys_login_birthday_new_01,"",1002501014,0,"",0,se_common,""
93,"",1002501,"","",1002501015,"","","",1.3,""
3,0,1002501,blb_stop,"",1002501016,blb_idle,0.05,0,100211,0.3
2,0,1002501,80,"",1002501017,0.25,"",-220,100211,""
93,"",1002501,"","",1002501018,"","","",1.4,""
121,1,1002501,0,"",1002501019,1.4,3,1.4,0,""
131,"",1002501,"","",1002501020,"","","",1,""
3,1,1002501,blb_blowout_01,"",1002501021,blb_idle,0.3,0,100211,0.3
93,"",1002501,"","",1002501022,"","","",0.7,""
32,1,1002501,0,"",1002501023,0,1,0,12,""
31,1,1002501,13,"",1002501024,0,1,0,13,""
93,"",1002501,"","",1002501025,"","","",0.2,""
23,"",1002501,se_sys_login_birthday_blow_candle,"",1002501026,0,"",0,se_common,""
93,"",1002501,"","",1002501027,"","","",1.2,""
23,"",1002501,se_adv_tickle_02,"",1002501028,0,"",0,se_adv_tickle_02,""
31,1,1002501,4,"",1002501029,0,1,0,4,""
93,"",1002501,"","",1002501030,"","","",1,""
23,"",1002501,se_sys_login_birthday_02,"",1002501031,0,"",0,se_common,""
3,0,1002501,blb_idle,"",1002501032,"",0.3,1,100211,""
93,"",1002501,"","",1002501033,"","","",1.05,""
23,"",1002501,se_sys_login_birthday_cracker,"",1002501034,0,"",0,se_common,""
31,1,1002501,6,"",1002501035,0,1,0,6,""
3,1,1002501,blb_joy_01,"",1002501036,blb_wish_01,0,0,100211,""
93,"",1002501,"","",1002501037,"","","",2,""
21,"",1002501,vo_adv_1002501_000,"",1002501038,0,"",0,vo_adv_1002501,""
13,"",1002501,870,"",1002501039,"","","",100211,""
11,1,1002501,"기사 군에게 생일\n축하를 받다니.\n너무 기뻐.","",1002501040,1,0,7,100211,0
91,"",1002501,"","",1002501041,"","","",0,""
21,"",1002501,vo_adv_1002501_001,"",1002501042,0,"",0,vo_adv_1002501,""
11,1,1002501,"어? 항상 고맙다고……?","",1002501043,1,0,6,100211,0
91,"",1002501,"","",1002501044,"","","",0,""
21,"",1002501,vo_adv_1002501_002,"",1002501045,0,"",0,vo_adv_1002501,""
11,1,1002501,"아니, 항상 도움을 받는 건\n나야!\n나야말로 항상 고마워.","",1002501046,1,0,6,100211,0
91,"",1002501,"","",1002501047,"","","",0,""
21,"",1002501,vo_adv_1002501_003,"",1002501048,0,"",0,vo_adv_1002501,""
11,1,1002501,"기사 군이 준 선물,\n소중히 간직할게!","",1002501049,1,0,7,100211,0
91,"",1002501,"","",1002501050,"","","",0,""
21,"",1002501,vo_adv_1002501_004,"",1002501051,0,"",0,vo_adv_1002501,""
11,1,1002501,"……아, 그렇구나!\n먹을 것이니까,\n간직해 두면 안 되겠네……","",1002501052,1,0,6,100211,0
91,"",1002501,"","",1002501053,"","","",0,""
21,"",1002501,vo_adv_1002501_005,"",1002501054,0,"",0,vo_adv_1002501,""
11,1,1002501,"……그렇지!\n양도 많겠다, 저기, 기사 군도……\n가, 같이 먹어 주지 않을래?","",1002501055,1,0,4,100211,0
91,"",1002501,"","",1002501056,"","","",0,""
21,"",1002501,vo_adv_1002501_006,"",1002501057,0,"",0,vo_adv_1002501,""
11,1,1002501,"어? 괘, 괜찮아?\n고마워!\n굉장히 기뻐~~!","",1002501058,1,0,6,100211,0
91,"",1002501,"","",1002501059,"","","",0,""
31,1,1002501,9,"",1002501060,0,1,0,9,""
131,"",1002501,"","",1002501061,"","","",0,""
22,"",1002501,1,"",1002501062,0,"",0,0,""
111,"",1002501,"","",1002501063,"","","","",""
91,"",1002501,"","",1002501064,"","","",0,""
1,-220,1003501,100311,cmn_talk_def_N,1003501001,400,1.5,850,1,1
31,1,1003501,8,"",1003501002,0,1,0,8,""
31,1,1003501,7,"",1003501003,0,1,0,7,""
31,1,1003501,72,"",1003501004,0,1,0,72,""
31,1,1003501,3,"",1003501005,0,1,0,3,""
31,1,1003501,2,"",1003501006,0,1,0,2,""
31,1,1003501,1,"",1003501007,0,1,0,1,""
31,1,1003501,12,"",1003501008,0,0,0,12,""
3,"",1003501,blb_run_01,"",1003501009,"",0.3,1,100311,""
2,0,1003501,90,"",1003501010,1.3,"",-220,100311,""
25,"",1003501,bgm_M321_2C,"",1003501011,0,"",0,bgm_M321,""
121,0,1003501,0,"",1003501012,1.25,0,1.25,0,""
32,1,1003501,1,"",1003501013,0,1,0,12,""
23,"",1003501,se_sys_login_birthday_new_01,"",1003501014,0,"",0,se_common,""
93,"",1003501,"","",1003501015,"","","",1.3,""
3,0,1003501,blb_stop,"",1003501016,blb_idle,0.05,0,100311,0.3
2,0,1003501,80,"",1003501017,0.25,"",-220,100311,""
93,"",1003501,"","",1003501018,"","","",1.4,""
121,1,1003501,0,"",1003501019,1.4,3,1.4,0,""
131,"",1003501,"","",1003501020,"","","",1,""
3,1,1003501,blb_blowout_03,"",1003501021,blb_idle_02,0.3,0,100311,0.3
93,"",1003501,"","",1003501022,"","","",0.7,""
32,1,1003501,0,"",1003501023,0,1,0,12,""
31,1,1003501,13,"",1003501024,0,1,0,13,""
93,"",1003501,"","",1003501025,"","","",0.2,""
23,"",1003501,se_sys_login_birthday_blow_candle,"",1003501026,0,"",0,se_common,""
93,"",1003501,"","",1003501027,"","","",1.2,""
23,"",1003501,se_adv_tickle_02,"",1003501028,0,"",0,se_adv_tickle_02,""
31,1,1003501,4,"",1003501029,0,1,0,4,""
93,"",1003501,"","",1003501030,"","","",1,""
23,"",1003501,se_sys_login_birthday_02,"",1003501031,0,"",0,se_common,""
3,0,1003501,blb_idle_02,"",1003501032,"",0.3,1,100311,""
93,"",1003501,"","",1003501033,"","","",1.05,""
23,"",1003501,se_sys_login_birthday_cracker,"",1003501034,0,"",0,se_common,""
31,1,1003501,6,"",1003501035,0,1,0,6,""
3,1,1003501,blb_joy_04,"",1003501036,blb_wish_04,0,0,100311,""
93,"",1003501,"","",1003501037,"","","",2,""
21,"",1003501,vo_adv_1003501_000,"",1003501038,0,"",0,vo_adv_1003501,""
13,"",1003501,870,"",1003501039,"","","",100311,""
11,1,1003501,"후후, 갑자기 데리고 오길래 뭔가\n했더니, 설마 이렇게 기쁜 일이\n기다리고 있었을 줄은.","",1003501040,1,0,6,100311,0
91,"",1003501,"","",1003501041,"","","",0,""
21,"",1003501,vo_adv_1003501_001,"",1003501042,0,"",0,vo_adv_1003501,""
11,1,1003501,"내 생일을 기억해 줬을 뿐 아니라\n케이크까지 준비해 주고……\n어, 이거 네가 직접 만든 거야!?","",1003501043,1,0,5,100311,0
91,"",1003501,"","",1003501044,"","","",0,""
21,"",1003501,vo_adv_1003501_002,"",1003501045,0,"",0,vo_adv_1003501,""
11,1,1003501,"이래 봬도 네 스승인데,\n이런 섬세한 배려에 관해서는\n네가 더 잘 갖추고 있는 것 같네……\n후후, 왠지 자랑스러움까지 느껴져.","",1003501046,1,0,6,100311,0
91,"",1003501,"","",1003501047,"","","",0,""
21,"",1003501,vo_adv_1003501_003,"",1003501048,0,"",0,vo_adv_1003501,""
11,1,1003501,"설마 생일에 이런 기분을 맛보게 될 거라곤\n생각도 못 했네.\n그럼, 함께 축하할까?\n아아, 즐거운 하루가 될 것 같아……!","",1003501049,1,0,4,100311,0
91,"",1003501,"","",1003501050,"","","",0,""
31,1,1003501,9,"",1003501051,0,1,0,9,""
131,"",1003501,"","",1003501052,"","","",0,""
22,"",1003501,1,"",1003501053,0,"",0,0,""
111,"",1003501,"","",1003501054,"","","","",""
91,"",1003501,"","",1003501055,"","","",0,""
1,-220,1004501,100411,cmn_talk_def_N,1004501001,400,1.5,850,1,1
31,1,1004501,8,"",1004501002,0,1,0,8,""
31,1,1004501,7,"",1004501003,0,1,0,7,""
31,1,1004501,41,"",1004501004,0,1,0,41,""
31,1,1004501,3,"",1004501005,0,1,0,3,""
31,1,1004501,2,"",1004501006,0,1,0,2,""
31,1,1004501,1,"",1004501007,0,1,0,1,""
31,1,1004501,12,"",1004501008,0,0,0,12,""
3,"",1004501,blb_run_01,"",1004501009,"",0.3,1,100411,""
2,0,1004501,90,"",1004501010,1.3,"",-220,100411,""
25,"",1004501,bgm_M321_2C,"",1004501011,0,"",0,bgm_M321,""
121,0,1004501,0,"",1004501012,1.25,0,1.25,0,""
32,1,1004501,1,"",1004501013,0,1,0,12,""
23,"",1004501,se_sys_login_birthday_new_01,"",1004501014,0,"",0,se_common,""
93,"",1004501,"","",1004501015,"","","",1.3,""
3,0,1004501,blb_stop,"",1004501016,blb_idle,0.05,0,100411,0.3
2,0,1004501,80,"",1004501017,0.25,"",-220,100411,""
