condition_quest_id,sub_story_id,read_condition,title,contents_type,condition_boss_id,original_event_id
20036104,1006401,0,"개회식",4,0,10064
20036104,1006402,0,"개회식",3,0,10064
20036104,1006403,1006402,"달리기 경주",1,0,10064
20036104,1006404,1006402,"달리기 경주",4,0,10064
20036104,1006405,1006402,"달리기 경주",2,0,10064
20036104,1006406,1006405,"기마전",2,0,10064
20036104,1006407,1006405,"기마전",4,0,10064
20036106,1006408,1006406,"점심시간",3,0,10064
20036106,1006409,1006406,"점심시간",4,0,10064
20036106,1006410,1006408,"각종 학술 문화 박람회",3,0,10064
20036106,1006411,1006408,"각종 학술 문화 박람회",4,0,10064
20036106,1006412,1006408,"각종 학술 문화 박람회",1,0,10064
20036108,1006413,1006410,"메이드풍 카페",4,0,10064
20036108,1006414,1006410,"메이드풍 카페",3,0,10064
20036113,1006415,1006414,"종합 릴레이",3,0,10064
20036113,1006416,1006414,"종합 릴레이",4,0,10064
0,1006417,1006415,"세리머니 스테이지",1,2003601,10064
0,1006418,1006415,"세리머니 스테이지",4,2003601,10064
0,1006419,1006415,"세리머니 스테이지",2,2003601,10064
0,1006420,1006419,"폐회식",3,2003601,10064
0,1006421,1006419,"폐회식",4,2003601,10064
0,1006422,1006420,"컴플리트 연출",4,2003601,10064
