reward_num_4,clear_reward_group_id,reward_type_5,reward_type_3,reward_num_5,reward_type_2,reward_id_2,reward_num_1,reward_id_1,reward_num_3,reward_id_3,reward_id_5,reward_type_1,reward_num_2,reward_id_4,reward_type_4
0,275000001,0,0,0,0,0,80000,26202,0,0,0,2,0,0,0
0,275000002,0,0,0,0,0,85000,26202,0,0,0,2,0,0,0
0,275000003,0,0,0,0,0,90000,26202,0,0,0,2,0,0,0
0,275000004,0,0,0,0,0,95000,26202,0,0,0,2,0,0,0
0,275000005,0,0,0,0,0,100000,26202,0,0,0,2,0,0,0
0,275000006,0,0,0,0,0,105000,26202,0,0,0,2,0,0,0
0,275000007,0,0,0,0,0,110000,26202,0,0,0,2,0,0,0
0,275000008,0,0,0,0,0,115000,26202,0,0,0,2,0,0,0
0,275000009,0,0,0,0,0,120000,26202,0,0,0,2,0,0,0
0,275000010,0,0,0,0,0,125000,26202,0,0,0,2,0,0,0
0,275000011,0,0,0,0,0,130000,26202,0,0,0,2,0,0,0
0,275000012,0,0,0,0,0,135000,26202,0,0,0,2,0,0,0
0,276010001,0,18,0,2,90013,50000,26202,1,4109501,0,2,400,0,0
0,276010002,0,0,0,2,90013,50000,26202,0,0,0,2,425,0,0
0,276010003,0,0,0,2,90013,50000,26202,0,0,0,2,450,0,0
0,276010004,0,0,0,2,90013,100000,26202,0,0,0,2,475,0,0
0,276010005,0,2,0,2,90013,100000,26202,1,26203,0,2,500,0,0
0,276020001,0,18,0,2,90013,50000,26202,1,4101501,0,2,400,0,0
0,276020002,0,0,0,2,90013,50000,26202,0,0,0,2,425,0,0
0,276020003,0,0,0,2,90013,50000,26202,0,0,0,2,450,0,0
0,276020004,0,0,0,2,90013,100000,26202,0,0,0,2,475,0,0
0,276020005,0,2,0,2,90013,100000,26202,1,26203,0,2,500,0,0
