promotion_level,item_name,gojuon_order,sell_check_disp,price,value,start_time,item_id,limit_num,end_time,description,item_type
2,"랜덤 EXP 포션 BOX",0,0,0,0,"2015/12/17 15:00:00",20000,1,"2030/08/01 14:59:59","랜덤 EXP 포션을 획득할 수 있다.",6
1,"미니 EXP 포션",0,0,80,60,"2015/12/17 15:00:00",20001,999999,"2030/08/01 14:59:59","캐릭터 Lv 강화에 사용하면 캐릭터 EXP가 60 추가된다",1
2,"EXP 포션",0,0,400,300,"2015/12/17 15:00:00",20002,999999,"2030/08/01 14:59:59","캐릭터 Lv 강화에 사용하면 캐릭터 EXP가 300 추가된다",1
3,"EXP 하이 포션",0,0,2000,1500,"2015/12/17 15:00:00",20003,999999,"2030/08/01 14:59:59","캐릭터 Lv 강화에 사용하면 캐릭터 EXP가 1500 추가된다",1
4,"EXP 메가 포션",0,0,10000,7500,"2015/12/17 15:00:00",20004,999999,"2030/08/01 14:59:59","캐릭터 Lv 강화에 사용하면 캐릭터 EXP가 7500 추가된다",1
5,"EXP 기가 포션",0,0,50000,37500,"2022/09/13 15:00:00",20005,999999,"2030/08/01 14:59:59","캐릭터 Lv 강화에 사용하면 캐릭터 EXP가 37500 추가된다",1
1,"유카리(크리스마스) 전용 스피어 / Lv 180",0,0,0,1,"2021/12/30 15:00:00",21001,999,"2030/08/01 14:59:59","유카리(크리스마스) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 180/RANK 19까지 강화 가능",21
1,"무이미(새해) 전용 스피어 / Lv 180",0,0,0,2,"2022/01/28 15:00:00",21002,999,"2030/08/01 14:59:59","무이미(새해) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 180/RANK 19까지 강화 가능",21
1,"유이(의장복) 전용 스피어 / Lv 180",0,0,0,3,"2022/02/28 15:00:00",21003,999,"2030/08/01 14:59:59","유이(의장복) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 180/RANK 19까지 강화 가능",21
1,"리마(신데렐라) 전용 스피어 / Lv 180",0,0,0,5,"2022/03/28 15:00:00",21004,999,"2030/08/01 14:59:59","리마(신데렐라) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 180/RANK 19까지 강화 가능",21
1,"타마키(작업복) 전용 스피어 / Lv 180",0,0,0,6,"2022/06/30 15:00:00",21005,999,"2030/08/01 14:59:59","타마키(작업복) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 180/RANK 19까지 강화 가능",21
1,"츠무기(여름) 전용 스피어 / Lv 180",0,0,0,7,"2022/08/29 15:00:00",21006,999,"2030/08/01 14:59:59","츠무기(여름) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 180/RANK 19까지 강화 가능",21
1,"니논(할로윈) 전용 스피어 / Lv 180",0,0,0,8,"2022/10/31 15:00:00",21007,999,"2030/08/01 14:59:59","니논(할로윈) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 180/RANK 19까지 강화 가능",21
1,"마히루(크리스마스) 전용 스피어 / Lv 215",0,0,0,9,"2022/12/29 15:00:00",21008,999,"2030/08/01 14:59:59","마히루(크리스마스) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 215/RANK 23까지 강화 가능",21
1,"루카(새해) 전용 스피어 / Lv 215",0,0,0,10,"2023/01/30 15:00:00",21009,999,"2030/08/01 14:59:59","루카(새해) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 215/RANK 23까지 강화 가능",21
1,"라비리스타(오버로드) 전용 스피어 / Lv 215",0,0,0,12,"2023/03/09 15:00:00",21010,999,"2030/08/01 14:59:59","라비리스타(오버로드) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 215/RANK 23까지 강화 가능",21
1,"아오이(캠프) 전용 스피어 / Lv 215",0,0,0,13,"2023/06/29 15:00:00",21011,999,"2030/08/01 14:59:59","아오이(캠프) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 215/RANK 23까지 강화 가능",21
1,"히요리(여름) 전용 스피어 / Lv 215",0,0,0,14,"2023/08/01 15:00:00",21012,999,"2030/08/01 14:59:59","히요리(여름) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 215/RANK 23까지 강화 가능",21
1,"미소기(여름) 전용 스피어 / Lv 215",0,0,0,15,"2023/08/30 15:00:00",21013,999,"2030/08/01 14:59:59","미소기(여름) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 215/RANK 23까지 강화 가능",21
1,"린(할로윈) 전용 스피어 / Lv 215",0,0,0,16,"2023/11/02 15:00:00",21014,999,"2030/08/01 14:59:59","린(할로윈) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 215/RANK 23까지 강화 가능",21
1,"요리(크리스마스) 전용 스피어 / Lv 250",0,0,0,17,"2023/12/28 15:00:00",21015,999,"2030/08/01 14:59:59","요리(크리스마스) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 250/RANK 26까지 강화 가능",21
1,"미츠키(새해) 전용 스피어 / Lv 250",0,0,0,20,"2024/01/30 15:00:00",21016,999,"2030/08/01 14:59:59","미츠키(새해) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 250/RANK 26까지 강화 가능",21
1,"카야(리버레이터) 전용 스피어 / Lv 250",0,0,0,21,"2024/02/29 15:00:00",21017,999,"2030/08/01 14:59:59","카야(리버레이터) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 250/RANK 26까지 강화 가능",21
1,"카린(알케미스트) 전용 스피어 / Lv 250",0,0,0,22,"2024/05/28 15:00:00",21018,999,"2030/08/01 14:59:59","카린(알케미스트) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 250/RANK 26까지 강화 가능",21
1,"아키노(여름) 전용 스피어 / Lv 250",0,0,0,24,"2024/07/31 15:00:00",21019,999,"2030/08/01 14:59:59","아키노(여름) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 250/RANK 26까지 강화 가능",21
1,"쿠우카(여름) 전용 스피어 / Lv250",0,0,0,25,"2024/08/27 15:00:00",21020,999,"2030/08/01 14:59:59","쿠우카(여름) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 250/RANK 26까지 강화 가능",21
1,"이노리(새해) 전용 스피어 / Lv280",0,0,0,27,"2025/01/27 15:00:00",21021,999,"2030/08/01 14:59:59","이노리(새해) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 280/RANK 29까지 강화 가능",21
1,"레이(아스트랄) 전용 스피어 / Lv280",0,0,0,28,"2025/02/27 15:00:00",21022,999,"2030/08/01 14:59:59","레이(아스트랄) 전용 글로우 스피어. 캐릭터 스테이터스를 Lv 280/RANK 29까지 강화 가능",21
1,"글로우 스피어 / Lv 180",0,0,0,4,"2022/03/15 15:00:00",21900,999,"2030/08/01 14:59:59","모든 캐릭터에 사용 가능한 글로우 스피어. 캐릭터 스테이터스를 Lv 180/RANK 19까지 강화 가능",21
1,"글로우 스피어 / Lv 215",0,0,0,11,"2023/03/02 15:00:00",21901,999,"2030/08/01 14:59:59","모든 캐릭터에 사용 가능한 글로우 스피어. 캐릭터 스테이터스를 Lv 215/RANK 23까지 강화 가능",21
1,"글로우 스피어 / Lv 250",0,0,0,18,"2023/12/28 15:00:00",21902,999,"2030/08/01 14:59:59","모든 캐릭터에 사용 가능한 글로우 스피어. 캐릭터 스테이터스를 Lv 250/RANK 26까지 강화 가능",21
1,"글로우 스피어 / Lv 100",0,0,0,19,"2024/01/15 15:00:00",21903,999,"2030/08/01 14:59:59","모든 캐릭터에 사용 가능한 글로우 스피어. 캐릭터 스테이터스를 Lv 100/RANK 12까지 강화 가능",21
1,"글로우 스피어 / Lv 260",0,0,0,23,"2024/05/28 15:00:00",21904,999,"2030/08/01 14:59:59","모든 캐릭터에 사용 가능한 글로우 스피어. 캐릭터 스테이터스를 Lv 260/RANK 28까지 강화 가능",21
1,"글로우 스피어 / Lv 280",0,0,0,26,"2024/12/27 15:00:00",21905,999,"2030/08/01 14:59:59","모든 캐릭터에 사용 가능한 글로우 스피어. 캐릭터 스테이터스를 Lv 280/RANK 29까지 강화 가능",21
1,"전용 장비1 글로우 스피어 / Lv 240",0,0,0,10001,"2023/07/16 15:00:00",21951,999,"2030/08/01 14:59:59","모든 캐릭터에 사용 가능한 전용 장비1의 글로우 스피어. 전용 장비1을 제작하고 Lv 240까지 강화 가능",23
1,"전용 장비1 글로우 스피어 / Lv 270",0,0,0,10002,"2024/06/17 15:00:00",21952,999,"2030/08/01 14:59:59","모든 캐릭터에 사용 가능한 전용 장비1의 글로우 스피어. 전용 장비1을 제작하고 Lv 270까지 강화 가능",23
1,"전용 장비1 글로우 스피어 / Lv 290",0,0,0,10003,"2025/03/13 8:00:00",21953,999,"2030/08/01 14:59:59","모든 캐릭터에 사용 가능한 전용 장비1의 글로우 스피어. 전용 장비1을 제작하고 Lv 290까지 강화 가능",23
1,"정련석",0,0,120,10,"2015/12/17 15:00:00",22001,999999,"2030/08/01 14:59:59","캐릭터 장비 강화에 사용하면 장비 강화 Pt가 10 추가된다",3
2,"고급 정련석",0,0,720,60,"2015/12/17 15:00:00",22002,999999,"2030/08/01 14:59:59","캐릭터 장비 강화에 사용하면 장비 강화 Pt가 60 추가된다",3
3,"정련석 결정",0,0,2400,200,"2015/12/17 15:00:00",22003,999999,"2030/08/01 14:59:59","캐릭터 장비 강화에 사용하면 장비 강화 Pt가 200 추가된다",3
1,"스킵 티켓",0,0,0,0,"2015/12/17 15:00:00",23001,999999,"2030/08/01 14:59:59","클리어 랭크 ★3을 획득한 퀘스트의 플레이 시간을 스킵 하는 티켓",5
1,"패스트 티켓",0,0,0,0,"2023/11/30 15:00:00",23002,999999,"2030/08/01 14:59:59","어드벤처 퀘스트에 걸리는 시간을 단축할 수 있는 티켓.",5
1,"마스터리 티켓",0,0,0,0,"2026/01/15 15:00:00",23003,999999,"2030/08/01 14:59:59","마스터리 뽑기를 1회 이용할 수 있는 티켓.",5
1,"플래티넘 뽑기 티켓",0,0,0,0,"2015/12/17 15:00:00",24001,999,"2030/08/01 14:59:59","플래티넘 뽑기나 픽업 뽑기를 1번 뽑을 수 있는 뽑기 티켓",8
1,"협동전 티켓",0,0,0,0,"2015/12/17 15:00:00",24003,999,"2030/08/01 14:59:59","협동전 시 사용하여 클리어 보상을 강화하는 티켓",10
1,"10회 뽑기 티켓",0,0,0,0,"2021/03/16 15:00:00",24004,999,"2030/08/01 14:59:59","뽑기를 10번 뽑을 수 있는 뽑기 티켓",8
1,"★3 확정 애니 뽑기 티켓(프린세스 커넥트! Re:Dive 1)",0,0,0,0,"2030/08/04 15:00:00",24005,999,"2030/10/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 애니 뽑기 티켓(프린세스 커넥트! Re:Dive 2)",0,0,0,0,"2030/09/03 15:00:00",24006,999,"2030/10/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 애니 뽑기 티켓(프린세스 커넥트! Re:Dive 3)",0,0,0,0,"2029/10/01 17:00:00",24007,999,"2030/08/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 애니 뽑기 티켓(프린세스 커넥트! Re:Dive 4)",0,0,0,0,"2029/11/05 12:00:00",24008,999,"2030/08/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 3주년 기념 뽑기 티켓",0,0,0,0,"2022/03/15 15:00:00",24009,999,"2030/08/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 4주년 기념 뽑기 티켓",0,0,0,0,"2023/03/16 00:00:00",24010,999,"2030/08/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 애니 뽑기 티켓 프린세스 커넥트! Re:Dive Season2 1",0,0,0,0,2029/03/21,24011,999,"2030/08/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 애니 뽑기 티켓 프린세스 커넥트! Re:Dive Season2 2",0,0,0,0,2029/04/18,24012,999,"2030/08/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 애니 뽑기 티켓 프린세스 커넥트! Re:Dive Season2 3",0,0,0,0,2029/05/16,24013,999,"2030/08/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 프리코네 2024 기념 뽑기 티켓",0,0,0,0,"2024/03/14 00:00:00",24014,999,"2030/08/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 5주년 기념 뽑기 티켓",0,0,0,0,"2024/03/28 00:00:00",24015,999,"2030/08/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 S대시 뽑기 티켓",0,0,0,0,"2024/03/14 15:00:00",24016,999,"2030/08/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 프리코네 2025 기념 뽑기 티켓",0,0,0,0,"2025/03/28 00:00:00",24017,999,"2030/08/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"★3 확정 프리코네 2026 기념 뽑기 티켓",0,0,0,0,"2026/03/14 00:00:00",24018,999,"2030/08/01 14:59:59","대상의 ★3 캐릭터 하나를 랜덤으로 동료로 삼을 수 있는 특별한 뽑기 티켓.",17
1,"프린세스 오브",0,0,0,0,"2015/07/17 15:00:00",25001,99999,"2030/08/01 14:59:59","캐릭터의 거대한 힘을 각성하는 아이템",20
1,"아스트랄 스피어(불)",0,0,0,0,"2025/03/13 8:00:00",25011,999999999,"2030/08/01 14:59:59","세계를 구성하는 속성의 힘인 아스트랄 가운데 불 속성이 결정화된 보옥. 사용하면 대응하는 속성을 활성화할 수 있다.",29
1,"아스트랄 스피어(물)",0,0,0,0,"2025/03/13 8:00:00",25012,999999999,"2030/08/01 14:59:59","세계를 구성하는 속성의 힘인 아스트랄 가운데 물 속성이 결정화된 보옥. 사용하면 대응하는 속성을 활성화할 수 있다.",29
1,"아스트랄 스피어(바람)",0,0,0,0,"2025/03/13 8:00:00",25013,999999999,"2030/08/01 14:59:59","세계를 구성하는 속성의 힘인 아스트랄 가운데 바람 속성이 결정화된 보옥. 사용하면 대응하는 속성을 활성화할 수 있다.",29
1,"아스트랄 스피어(빛)",0,0,0,0,"2025/03/13 8:00:00",25014,999999999,"2030/08/01 14:59:59","세계를 구성하는 속성의 힘인 아스트랄 가운데 빛 속성이 결정화된 보옥. 사용하면 대응하는 속성을 활성화할 수 있다.",29
1,"아스트랄 스피어(어둠)",0,0,0,0,"2025/03/13 8:00:00",25015,999999999,"2030/08/01 14:59:59","세계를 구성하는 속성의 힘인 아스트랄 가운데 어둠 속성이 결정화된 보옥. 사용하면 대응하는 속성을 활성화할 수 있다.",29
1,"아스트랄 샤드",0,0,0,0,"2025/03/13 8:00:00",25021,999999999,"2030/08/01 14:59:59","세계를 구성하는 속성의 힘인 아스트랄 결정. 안에 깃든 속성이 미분화된 불안정한 상태이기 때문에 자극받으면 막대한 속성의 힘을 방출한다.",29
1,"마스터 피스",0,0,0,0,"2025/03/13 8:00:00",25101,9999,"2030/08/01 14:59:59","아스트랄의 표면화에 의해 발생한 보주. 미확인 물질로 이루어져 있으며 사용하면 어째서인지 프린세스 나이트의 권능을 강화 확장할 수 있다.",29
1,"마스터 피스(조각)",0,0,0,0,"2025/08/03 12:00:00",25102,99999,"2030/08/01 14:59:59","아스트랄의 표면화로 발생한 마스터 피스 조각. 서로 끌어당기는 성질을 가지며 두 개 이상을 모아 합체하여 마스터 피스가 된다.",29
1,"루나 코인",0,0,0,0,"2015/12/17 15:00:00",26101,999,"2030/08/01 14:59:59","루나의 탑에 도전한 사람만이 얻을 수 있으며 아스트룸의 상점에서는 유통되지 않는 희귀한 동전",9
1,"EX 장비 강화 Pt",0,0,0,0,"2023/11/30 15:00:00",26201,999999999,"2030/08/01 14:59:59","EX 장비 강화에 사용하면, 강화 Pt가 1 추가된다.",25
1,"EX 장비 연성 Pt",0,0,0,0,"2025/11/18 14:00:00",26202,999999999,"2030/08/01 14:59:59","EX 장비 연성에 사용할 수 있다.",25
1,"연성 스피어",0,0,0,0,"2025/11/18 14:00:00",26203,999999999,"2030/08/01 14:59:59","알케스 연금당 최고의 비술인 궁극 연성에 사용되는 보옥. 장비의 효과 자체를 물질화한 것으로 특수한 무구에 부여 가능.",33
1,"스페셜 교환 티켓",0,0,0,0,"2021/03/16 15:00:00",27001,999,"2030/08/01 14:59:59","특정 캐릭터와 교환할 수 있는 티켓",17
1,"스페셜 교환 티켓",0,0,0,0,"2022/03/15 15:00:00",27002,999,"2030/08/01 14:59:59","특정 캐릭터와 교환할 수 있는 티켓",17
