w1_enemy_local_position_y_1,daily_limit,w1_enemy_size_1,w2_enemy_local_position_y_1,start_tp_rate,w2_enemy_position_x_4,wave_bgm,w3_enemy_local_position_y_5,background_1,w2_enemy_size_3,w3_enemy_local_position_y_3,w2_enemy_size_4,w1_enemy_local_position_y_4,limit_time,bg_position,w1_enemy_position_x_4,background_2,w2_enemy_local_position_y_5,w1_enemy_local_position_y_3,w2_enemy_size_5,w2_enemy_position_x_5,w3_enemy_size_3,reward_image_1,w3_enemy_position_x_3,w2_enemy_position_x_1,w3_enemy_position_x_1,w2_enemy_size_1,wave_group_id_2,w3_enemy_size_5,wave_group_id_3,recovery_hp_rate,w1_enemy_size_3,background_3,reward_image_3,reward_image_4,tower_cloister_quest_id,w3_enemy_position_x_4,wave_group_id_1,w1_enemy_local_position_y_2,reward_image_5,w2_enemy_local_position_y_4,w3_enemy_size_2,w2_enemy_position_x_3,w3_enemy_size_4,w3_enemy_position_x_5,w1_enemy_size_2,w2_enemy_local_position_y_3,w1_enemy_position_x_1,w1_enemy_position_x_3,w2_enemy_position_x_2,w3_enemy_size_1,w2_enemy_local_position_y_2,w1_enemy_size_4,w1_enemy_position_x_2,background,w3_enemy_position_x_2,drop_reward_group_id,w3_enemy_local_position_y_4,w1_enemy_position_x_5,w1_enemy_size_5,fix_reward_group_id,w1_enemy_local_position_y_5,w3_enemy_local_position_y_1,w3_enemy_local_position_y_2,recovery_tp_rate,w2_enemy_size_2,reward_image_2
0,5,0.7,20,500,166,bgm_M127,20,102051,0.7,20,0.7,0,90,50,299,102052,20,0,0.7,333,0.7,140001,-1,-335,-335,0.7,731403502,0.7,731403503,50,0.7,102053,0,0,73140350,166,731403501,0,0,20,0.7,-1,0.7,333,0.7,20,-301,99,-168,0.7,20,0.7,-101,102052,-168,7311001,20,0,0.0,2300001,0,20,20,50,0.7,99002
0,5,0.7,20,600,166,bgm_M127,20,102051,0.7,20,0.7,0,90,50,299,102052,20,0,0.7,333,0.7,140001,-1,-335,-335,0.7,731503602,0.7,731503603,50,0.7,102053,0,0,73150360,166,731503601,0,0,20,0.7,-1,0.7,333,0.7,20,-301,99,-168,0.7,20,0.7,-101,102052,-168,7315001,20,0,0.0,2300002,0,20,20,50,0.7,99002
0,5,0.7,20,600,166,bgm_M127,20,102051,0.7,20,0.7,0,90,50,299,102052,20,0,0.7,333,0.7,140001,-1,-335,-335,0.7,731603702,0.7,731603703,50,0.6,102053,0,0,73160370,166,731603701,0,0,20,0.7,-1,0.7,333,0.7,20,-301,99,-168,0.7,20,0.7,-101,102052,-168,7316001,20,0,0.0,2300003,0,20,20,50,0.7,99002
0,5,0.7,20,600,166,bgm_M127,20,102051,0.7,20,0.7,0,90,50,299,102052,20,0,0.7,333,0.7,140001,-1,-335,-335,0.7,731703802,0.7,731703803,50,0.7,102053,0,0,73170380,166,731703801,0,0,20,0.7,-1,0.7,333,0.7,20,-301,99,-168,0.7,20,0.7,-101,102052,-168,7317001,20,0,0.0,2300004,0,20,20,50,0.7,99002
0,5,0.7,20,600,166,bgm_M127,20,102051,0.7,20,0.7,0,90,50,299,102052,20,0,0.7,333,0.7,140001,-1,-335,-335,0.7,731803902,0.7,731803903,50,0.7,102053,0,0,73180390,166,731803901,0,0,20,0.7,-1,0.7,333,0.7,20,-301,99,-168,0.7,20,0.7,-101,102052,-168,7318001,20,0,0.0,2300005,0,20,20,50,0.7,99002
0,5,0.7,20,600,166,bgm_M127,20,102051,0.7,20,0.7,0,90,50,299,102052,20,0,0.7,333,0.6,140001,-1,-335,-335,0.7,731904002,0.7,731904003,50,0.7,102053,0,0,73190400,166,731904001,0,0,20,0.7,-1,0.7,333,0.7,20,-301,99,-168,0.7,20,0.7,-101,102052,-168,7319001,20,0,0.0,2300006,0,20,20,50,0.7,99002
0,5,0.7,20,600,166,bgm_M127,20,102051,0.7,20,0.7,0,90,50,299,102052,20,0,0.7,333,0.7,140001,-1,-335,-335,0.7,732004102,0.7,732004103,50,0.7,102053,0,0,73200410,166,732004101,0,0,20,0.7,-1,0.7,333,0.7,20,-301,99,-168,0.7,20,0.7,-101,102052,-168,7320001,20,0,0.0,2300007,0,20,20,50,0.7,99002
0,5,0.7,20,600,166,bgm_M127,20,102051,0.7,20,0.7,0,90,50,299,102052,20,0,0.7,333,0.7,140001,-1,-335,-335,0.7,732104202,0.7,732104203,50,0.7,102053,0,0,73210420,166,732104201,0,0,20,0.7,-1,0.7,333,0.7,20,-301,99,-168,0.7,20,0.7,-101,102052,-168,7321001,20,0,0.0,2300008,0,20,20,50,0.7,99002
0,5,0.7,20,600,166,bgm_M127,20,102051,0.7,20,0.7,0,90,50,299,102052,20,0,0.7,333,0.7,140001,-1,-335,-335,0.7,732204302,0.7,732204303,50,0.7,102053,0,0,73220430,166,732204301,0,0,20,0.7,-1,0.7,333,0.7,20,-301,99,-168,0.7,20,0.7,-101,102052,-168,7322001,20,0,0.0,2300009,0,20,20,50,0.7,99002
0,5,0.7,20,600,166,bgm_M127,20,102051,0.7,20,0.7,0,90,50,299,102052,20,0,0.7,333,0.7,140001,-1,-335,-335,0.7,732304402,0.7,732304403,50,0.7,102053,0,0,73230440,166,732304401,0,0,20,0.7,-1,0.7,333,0.7,20,-301,99,-168,0.7,20,0.7,-101,102052,-168,7323001,20,0,0.0,2300010,0,20,20,50,0.7,99002
