map_position_x,unit_exp,wave_group_id_1,detail_boss_bg_size,boss_position_x,icon_display_scale,oneblow_count_of_skip_condition,area_id,love,daily_limit,difficulty,team_exp,detail_bg_position,story_id_waveend_1,story_id_wavestart_1,disp_on_bg,map_size,icon_collider_scale,icon_id,wave_bgm_que_id_1,detail_bg_id,result_boss_position_y,map_position_y,limit_time,position_x,td_mode,qd_mode,end_time,map_arrow_offset,use_ticket_num,detail_boss_bg_height,position_y,map_aura_size,boss_position_y,retire_flag,reward_gold_coefficient,event_boss_treasure_box_id_1,event_id,reward_gold_limit,required_skip_ticket_count,clear_reward_group,start_time,quest_name,deatail_aura_size,boss_id,background_1,wave_bgm_sheet_id_1
0.0,0,610001146,1.0,770,1.0,0,10001101,0,0,1,0,0,0,0,0,0.6,1.0,200010,bgm_M47,81000105,270,0.0,90,870,0,0,"2019/05/26 14:59:59",0.0,20,0.0,10,1.0,-40,0,0.03,10001101,10001,100000,0,610001011,"2019/05/01 15:00:00","보스 전투(NORMAL)",1.0,1000101,81000105,bgm_M47
0.0,0,610001216,1.0,450,1.0,0,10001201,0,0,2,0,0,0,0,0,0.6,1.0,200010,bgm_M47,81000106,270,0.0,90,500,0,0,"2019/05/26 14:59:59",0.0,30,0.0,10,1.0,-40,0,0.03,10001201,10001,100000,0,610001021,"2019/05/01 15:00:00","보스 전투(HARD)",1.0,1000102,81000106,bgm_M47
0.0,0,610002001,1.3,770,1.0,0,10002101,0,0,1,0,0,0,5002301,0,0.6,1.0,510021,bgm_M102,81000205,40,0.0,90,870,0,0,"2019/06/23 14:59:59",0.0,20,0.0,10,1.0,-40,0,0.03,10002101,10002,100000,0,610002011,"2019/05/29 15:00:00","보스 전투(NORMAL)",1.0,1000201,81000205,bgm_M102
0.0,0,610002002,1.3,450,1.0,0,10002201,0,0,2,0,0,0,5002302,0,0.6,1.0,510022,bgm_M102,81000207,40,0.0,90,500,0,0,"2019/06/23 14:59:59",0.0,30,0.0,10,1.0,-40,0,0.03,10002201,10002,100000,0,610002021,"2019/05/29 15:00:00","보스 전투(HARD)",1.0,1000202,81000207,bgm_M102
0.0,0,610003001,1.1,770,1.0,0,10003101,0,0,1,0,0,0,5003302,0,0.6,1.0,510031,bgm_M109,81000305,20,0.0,90,870,0,0,"2019/07/22 14:59:59",0.0,20,30.0,10,1.0,-40,0,0.03,10003101,10003,100000,0,610003011,"2019/06/27 15:00:00","보스 전투(NORMAL)",1.0,1000301,81000305,bgm_M109
0.0,0,610003002,1.1,450,1.0,0,10003201,0,0,2,0,0,0,5003301,0,0.6,1.0,510032,bgm_M109,81000306,20,0.0,90,500,0,0,"2019/07/22 14:59:59",0.0,30,30.0,10,1.0,-40,0,0.03,10003201,10003,100000,0,610003021,"2019/06/27 15:00:00","보스 전투(HARD)",1.0,1000302,81000306,bgm_M109
0.0,0,610004001,1.1,770,1.0,0,10004101,0,0,1,0,0,0,5004301,0,0.6,1.0,510041,bgm_M116,81000405,20,0.0,90,870,0,0,"2019/08/24 14:59:59",0.0,20,30.0,10,1.0,-40,0,0.03,10004101,10004,100000,0,610004011,"2019/07/30 15:00:00","보스 전투(NORMAL)",1.0,1000401,81000405,bgm_M116
0.0,0,610004002,1.1,450,1.0,0,10004201,0,0,2,0,0,0,5004302,0,0.6,1.0,510042,bgm_M116,81000406,20,0.0,90,30,0,0,"2019/08/24 14:59:59",0.0,30,30.0,-5,1.0,-40,0,0.03,10004201,10004,100000,0,610004021,"2019/07/30 15:00:00","보스 전투(HARD)",1.0,1000402,81000406,bgm_M116
0.0,0,610004003,1.1,450,1.0,0,10004201,0,1,3,0,0,0,5004308,0,0.6,1.0,510042,bgm_M116,81000406,20,0.0,90,500,0,0,"2019/08/24 14:59:59",0.0,30,30.0,-70,1.0,-40,0,0.03,10004301,10004,100000,0,610004031,"2019/07/30 15:00:00","보스 전투(VERY HARD)",1.0,1000403,81000406,bgm_M116
0.0,0,610005001,1.3,770,1.0,0,10005101,0,0,1,0,0,0,5005301,0,0.6,1.0,510051,bgm_M124,81000505,90,0.0,90,870,0,0,"2019/09/22 14:59:59",0.0,20,90.0,10,1.0,-40,0,0.03,10005101,10005,100000,0,610005011,"2019/08/29 15:00:00","보스 전투(NORMAL)",1.0,1000501,81000505,bgm_M124
0.0,0,610005002,1.3,450,1.0,0,10005201,0,0,2,0,0,0,5005302,0,0.6,1.0,510052,bgm_M124,81000506,90,0.0,90,370,0,0,"2019/09/22 14:59:59",0.0,30,90.0,-115,1.0,-40,0,0.03,10005201,10005,100000,0,610005021,"2019/08/29 15:00:00","보스 전투(HARD)",1.0,1000502,81000506,bgm_M124
0.0,0,610005003,1.3,450,1.0,0,10005201,0,1,3,0,0,0,5005308,0,0.6,1.0,510052,bgm_M124,81000506,90,0.0,90,520,0,0,"2019/09/22 14:59:59",0.0,30,90.0,58,1.0,-40,0,0.03,10005301,10005,100000,0,610005031,"2019/08/29 15:00:00","보스 전투(VERY HARD)",1.0,1000503,81000506,bgm_M124
0.0,0,610006001,1.5,770,1.0,0,10006101,0,0,1,0,0,0,5006301,0,0.6,1.0,510061,bgm_M131,81000605,120,0.0,90,888,0,0,"2019/10/25 14:59:59",0.0,20,0.0,14,1.0,-40,0,0.03,10006101,10006,100000,0,610006011,"2019/10/01 15:00:00","보스 전투(NORMAL)",0.8,1000601,81000605,bgm_M131
0.0,0,610006002,1.5,450,1.0,0,10006201,0,0,2,0,0,0,5006302,0,0.6,1.0,510062,bgm_M131,81000606,120,0.0,90,42,0,0,"2019/10/25 14:59:59",0.0,30,0.0,14,1.0,-40,0,0.03,10006201,10006,100000,0,610006021,"2019/10/01 15:00:00","보스 전투(HARD)",0.8,1000602,81000606,bgm_M131
0.0,0,610006003,1.5,450,1.0,0,10006201,0,1,3,0,0,0,5006308,0,0.6,1.0,510062,bgm_M131,81000606,120,0.0,90,500,0,0,"2019/10/25 14:59:59",0.0,30,0.0,-60,1.0,-40,0,0.03,10006301,10006,100000,0,610006031,"2019/10/01 15:00:00","보스 전투(VERY HARD)",0.8,1000603,81000606,bgm_M131
0.0,0,610007001,1.3,770,1.0,0,10007103,0,0,1,0,0,0,5007301,0,0.6,1.0,510071,bgm_M138,81000705,140,0.0,90,482,0,0,"2019/11/21 14:59:59",0.0,20,-50.0,10,1.0,-40,0,0.03,10007101,10007,100000,0,610007011,"2019/10/30 15:00:00","보스 전투(NORMAL)",1.0,1000701,81000705,bgm_M138
0.0,0,610007002,1.3,450,1.0,0,10007201,0,0,2,0,0,0,5007302,0,0.6,1.0,510072,bgm_M138,81000706,140,0.0,90,-333,0,0,"2019/11/21 14:59:59",0.0,30,-50.0,-186,1.3,-40,0,0.03,10007201,10007,100000,0,610007021,"2019/10/30 15:00:00","보스 전투(HARD)",1.0,1000702,81000706,bgm_M138
0.0,0,610007003,1.3,450,1.0,0,10007201,0,1,3,0,0,0,5007308,0,0.6,1.0,510072,bgm_M138,81000706,140,0.0,90,455,0,0,"2019/11/21 14:59:59",0.0,30,-50.0,-85,1.3,-40,0,0.03,10007301,10007,100000,0,610007031,"2019/10/30 15:00:00","보스 전투(VERY HARD)",1.0,1000703,81000706,bgm_M138
