reward_num_1,reward_type_3,reward_id_4,reward_id_5,reward_num_2,reward_id_2,reward_type_5,reward_num_3,reward_type_1,reward_id_3,reward_type_4,reward_num_5,reward_type_2,reward_num_4,reward_group_id,reward_id_1
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,110001,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,110002,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,110003,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,110004,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,110005,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,120001,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,120002,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,120003,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,120004,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,120005,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,130001,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,130002,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,130003,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,130004,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,130005,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,140001,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,140002,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,140003,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,140004,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,140005,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,150001,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,150002,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,150003,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,150004,91002
30,0,0,0,1,140000,0,0,8,0,0,0,4,0,150005,91002
