e0e2b5a70eb964ed54723ccb566c785363f90aee19e1975636a45f855b45f6fc,release_boss_id_1,condition_quest_id_1,event_id,boss_id,condition_quest_id_2,condition_boss_id_2,force_unlock_time,release_quest_id_1,b8ab70d9c2860909e30b017a9e959d089835b1d87a2ba429623ea2a62abc1cf1,96634a3b54c87031bd0c3ed6f26f3faa258cd065d1a79d5c1e3da35318712bec,condition_boss_id_1
0,1000102,10001115,10001,1000101,0,0,"2019/05/07 15:00:00",10001201,0,0,0
0,0,0,10001,1000102,0,0,0,0,0,0,1000101
0,1000202,10002115,10002,1000201,0,0,"2019/06/04 15:00:00",10002201,0,0,0
0,0,0,10002,1000202,0,0,0,0,0,0,1000201
0,1000302,10003115,10003,1000301,0,0,"2019/07/03 15:00:00",10003201,0,0,0
0,0,0,10003,1000302,0,0,0,0,0,0,1000301
0,1000402,10004115,10004,1000401,0,0,"2019/08/05 15:00:00",10004201,0,0,0
0,1000403,0,10004,1000402,0,0,0,0,0,0,1000401
0,0,0,10004,1000403,0,0,0,0,0,0,1000402
0,1000502,10005115,10005,1000501,0,0,"2019/09/04 15:00:00",10005201,0,0,0
0,1000503,0,10005,1000502,0,0,0,0,0,0,1000501
0,0,0,10005,1000503,0,0,0,0,0,0,1000502
0,1000602,10006115,10006,1000601,0,0,"2019/10/07 15:00:00",10006201,0,0,0
0,1000603,0,10006,1000602,0,0,0,0,0,0,1000601
0,0,0,10006,1000603,0,0,0,0,0,0,1000602
0,1000702,10007115,10007,1000701,0,0,"2019/11/05 15:00:00",10007201,0,0,0
0,1000703,0,10007,1000702,0,0,0,0,0,0,1000701
0,0,0,10007,1000703,0,0,0,0,0,0,1000702
0,1000802,10008115,10008,1000801,0,0,"2019/12/04 15:00:00",10008201,0,0,0
0,1000803,0,10008,1000802,0,0,0,0,0,0,1000801
0,0,0,10008,1000803,0,0,0,0,0,0,1000802
0,1000902,10009115,10009,1000901,0,0,"2020/01/06 15:00:00",10009201,0,0,0
0,1000903,0,10009,1000902,0,0,0,0,0,0,1000901
0,0,0,10009,1000903,0,0,0,0,0,0,1000902
0,1001002,10010115,10010,1001001,0,0,"2020/02/05 15:00:00",10010201,0,0,0
0,1001003,0,10010,1001002,0,0,0,0,0,0,1001001
0,0,0,10010,1001003,0,0,0,0,0,0,1001002
0,0,0,10010,1001004,0,0,0,0,3,0,0
0,1001102,10011115,10011,1001101,0,0,"2020/03/04 15:00:00",10011201,0,0,0
0,1001103,0,10011,1001102,0,0,0,0,0,0,1001101
0,0,0,10011,1001103,0,0,0,0,0,0,1001102
0,0,0,10011,1001104,0,0,0,0,3,0,0
0,1001202,10012115,10012,1001201,0,0,"2020/04/07 15:00:00",10012201,0,0,0
0,1001203,0,10012,1001202,0,0,0,0,0,0,1001201
0,0,0,10012,1001203,0,0,0,0,0,0,1001202
0,0,0,10012,1001204,0,0,0,0,3,0,0
0,1001302,10013115,10013,1001301,0,0,"2020/05/05 15:00:00",10013201,0,0,0
0,1001303,0,10013,1001302,0,0,0,0,0,0,1001301
0,0,0,10013,1001303,0,0,0,0,0,0,1001302
0,0,0,10013,1001304,0,0,0,0,3,0,0
0,1001402,10014115,10014,1001401,0,0,"2020/05/16 15:00:00",10014201,0,0,0
0,1001403,0,10014,1001402,0,0,0,0,0,0,1001401
0,0,0,10014,1001403,0,0,0,0,0,0,1001402
0,1001502,10015115,10015,1001501,0,0,"2020/06/03 15:00:00",10015201,0,0,0
0,1001503,0,10015,1001502,0,0,0,0,0,0,1001501
0,0,0,10015,1001503,0,0,0,0,0,0,1001502
0,0,0,10015,1001504,0,0,0,0,3,0,0
0,1001602,10016115,10016,1001601,0,0,"2020/06/18 15:00:00",10016201,0,0,0
0,1001603,0,10016,1001602,0,0,0,0,0,0,1001601
0,0,0,10016,1001603,0,0,0,0,0,0,1001602
0,1001702,10017115,10017,1001701,0,0,"2020/07/06 15:00:00",10017201,0,0,0
0,1001703,0,10017,1001702,0,0,0,0,0,0,1001701
0,0,0,10017,1001703,0,0,0,0,0,0,1001702
0,0,0,10017,1001704,0,0,0,0,3,0,0
0,0,0,10017,1001705,0,0,0,0,0,0,1001704
0,1001802,10018115,10018,1001801,0,0,"2020/07/18 15:00:00",10018201,0,0,0
0,1001803,0,10018,1001802,0,0,0,0,0,0,1001801
0,0,0,10018,1001803,0,0,0,0,0,0,1001802
0,1001902,10019115,10019,1001901,0,0,"2020/08/05 15:00:00",10019201,0,0,0
0,1001903,0,10019,1001902,0,0,0,0,0,0,1001901
0,1001904,0,10019,1001903,0,0,0,0,0,0,1001902
0,0,0,10019,1001904,0,0,0,0,0,0,1001903
0,0,0,10019,1001905,0,0,0,0,0,0,1001904
0,1002002,10020115,10020,1002001,0,0,"2020/08/17 15:00:00",10020201,0,0,0
0,1002003,0,10020,1002002,0,0,0,0,0,0,1002001
0,0,0,10020,1002003,0,0,0,0,0,0,1002002
0,1002102,10021115,10021,1002101,0,0,"2020/09/06 15:00:00",10021201,0,0,0
0,1002103,0,10021,1002102,0,0,0,0,0,0,1002101
0,1002104,0,10021,1002103,0,0,0,0,0,0,1002102
0,0,0,10021,1002104,0,0,0,0,0,0,1002103
0,0,0,10021,1002105,0,0,0,0,0,0,1002104
0,1002202,10022115,10022,1002201,0,0,"2020/09/17 15:00:00",10022201,0,0,0
0,1002203,0,10022,1002202,0,0,0,0,0,0,1002201
0,0,0,10022,1002203,0,0,0,0,0,0,1002202
0,1002302,10023115,10023,1002301,0,0,"2020/10/05 15:00:00",10023201,0,0,0
0,1002303,0,10023,1002302,0,0,0,0,0,0,1002301
0,1002304,0,10023,1002303,0,0,0,0,0,0,1002302
0,0,0,10023,1002304,0,0,0,0,0,0,1002303
0,0,0,10023,1002305,0,0,0,0,0,0,1002304
0,1002402,10024115,10024,1002401,0,0,"2020/10/18 15:00:00",10024201,0,0,0
0,1002403,0,10024,1002402,0,0,0,0,0,0,1002401
0,0,0,10024,1002403,0,0,0,0,0,0,1002402
0,1002502,10025115,10025,1002501,0,0,"2020/11/04 15:00:00",10025201,0,0,0
0,1002503,0,10025,1002502,0,0,0,0,0,0,1002501
0,1002504,0,10025,1002503,0,0,0,0,0,0,1002502
0,0,0,10025,1002504,0,0,0,0,0,0,1002503
0,0,0,10025,1002505,0,0,0,0,0,0,1002504
0,1002602,10026115,10026,1002601,0,0,"2020/11/19 15:00:00",10026201,0,0,0
0,1002603,0,10026,1002602,0,0,0,0,0,0,1002601
0,0,0,10026,1002603,0,0,0,0,0,0,1002602
0,1002702,10027115,10027,1002701,0,0,"2020/12/06 15:00:00",10027201,0,0,0
0,1002703,0,10027,1002702,0,0,0,0,0,0,1002701
0,1002704,0,10027,1002703,0,0,0,0,0,0,1002702
0,0,0,10027,1002704,0,0,0,0,0,0,1002703
0,0,0,10027,1002705,0,0,0,0,0,0,1002704
0,1002802,10028115,10028,1002801,0,0,"2020/12/18 15:00:00",10028201,0,0,0
0,1002803,0,10028,1002802,0,0,0,0,0,0,1002801
0,0,0,10028,1002803,0,0,0,0,0,0,1002802
0,1002902,10029115,10029,1002901,0,0,"2021/01/04 15:00:00",10029201,0,0,0
0,1002903,0,10029,1002902,0,0,0,0,0,0,1002901
0,1002904,0,10029,1002903,0,0,0,0,0,0,1002902
0,0,0,10029,1002904,0,0,0,0,0,0,1002903
0,0,0,10029,1002905,0,0,0,0,0,0,1002904
0,1003002,10030115,10030,1003001,0,0,"2021/01/17 15:00:00",10030201,0,0,0
0,1003003,0,10030,1003002,0,0,0,0,0,0,1003001
0,0,0,10030,1003003,0,0,0,0,0,0,1003002
0,1003102,10031115,10031,1003101,0,0,"2021/02/03 15:00:00",10031201,0,0,0
0,1003103,0,10031,1003102,0,0,0,0,0,0,1003101
0,1003104,0,10031,1003103,0,0,0,0,0,0,1003102
0,0,0,10031,1003104,0,0,0,0,0,0,1003103
0,0,0,10031,1003105,0,0,0,0,0,0,1003104
0,1003202,10032115,10032,1003201,0,0,"2021/02/17 15:00:00",10032201,0,0,0
0,1003203,0,10032,1003202,0,0,0,0,0,0,1003201
0,0,0,10032,1003203,0,0,0,0,0,0,1003202
0,1003302,10033115,10033,1003301,0,0,"2021/03/08 15:00:00",10033201,0,0,0
0,1003303,0,10033,1003302,0,0,0,0,0,0,1003301
0,1003304,0,10033,1003303,0,0,0,0,0,0,1003302
