pre_2,distance_to_goal,season_id,pre_4,block_id,pre_1,type,next_3,next_2,next_1,reference_id,pre_3,next_4
0,57,1,0,10010001,0,1,0,0,10010484,0,0,0
0,59,1,0,10010099,10010674,2,0,0,10010100,1,0,0
0,58,1,0,10010100,10010099,11,0,0,10010101,10001,0,0
0,57,1,0,10010101,10010100,12,0,0,10010102,0,0,0
0,56,1,0,10010102,10010101,2,0,0,10010103,1,0,0
0,55,1,0,10010103,10010102,2,0,0,10010104,2,0,0
0,54,1,0,10010104,10010103,4,0,0,10010105,0,0,0
0,53,1,0,10010105,10010104,3,0,0,10010106,1,0,0
0,52,1,0,10010106,10010105,12,0,0,10010107,0,0,0
0,51,1,0,10010107,10010106,5,0,0,10010559,0,0,0
0,48,1,0,10010110,10010560,2,0,0,10010111,2,0,0
0,47,1,0,10010111,10010110,6,0,0,10010561,0,0,0
0,45,1,0,10010113,10010561,2,0,0,10010114,3,0,0
0,44,1,0,10010114,10010113,11,0,0,10010562,10001,0,0
0,42,1,0,10010116,10010562,4,0,0,10010117,0,0,0
0,41,1,0,10010117,10010116,6,0,0,10010118,0,0,0
0,40,1,0,10010118,10010117,3,0,0,10010563,3,0,0
0,49,1,0,10010119,10010559,11,0,0,10010120,10001,0,0
0,48,1,0,10010120,10010119,4,0,0,10010121,0,0,0
0,47,1,0,10010121,10010120,2,0,0,10010565,3,0,0
0,45,1,0,10010123,10010565,2,0,0,10010566,2,0,0
0,43,1,0,10010125,10010566,7,0,0,10010126,10003,0,0
0,42,1,0,10010126,10010125,4,0,0,10010127,0,0,0
0,41,1,0,10010127,10010126,7,0,0,10010128,10001,0,0
0,40,1,0,10010128,10010127,2,0,0,10010563,2,0,0
0,38,1,0,10010130,10010563,7,0,0,10010131,10001,0,0
0,37,1,0,10010131,10010130,6,0,0,10010132,0,0,0
0,36,1,0,10010132,10010131,11,0,10010702,10010701,10001,0,0
0,34,1,0,10010153,10010701,12,0,0,10010705,0,0,0
0,29,1,0,10010158,10010708,14,0,0,10010161,5,0,0
0,28,1,0,10010161,10010158,4,0,0,10010162,0,0,0
0,27,1,0,10010162,10010161,2,0,0,10010163,2,0,0
0,26,1,0,10010163,10010162,3,0,0,10010164,1,0,0
0,25,1,0,10010164,10010163,14,0,0,10010165,3,0,0
0,24,1,0,10010165,10010164,11,0,0,10010166,10001,0,0
0,23,1,0,10010166,10010165,12,0,0,10010167,0,0,0
0,22,1,0,10010167,10010166,3,0,0,10010568,2,0,0
0,20,1,0,10010169,10010568,7,0,0,10010570,10002,0,0
0,18,1,0,10010173,10010570,3,0,0,10010174,2,0,0
0,17,1,0,10010174,10010173,7,0,0,10010175,10001,0,0
0,16,1,0,10010175,10010174,4,0,0,10010176,0,0,0
0,15,1,0,10010176,10010175,2,0,0,10010177,1,0,0
0,14,1,0,10010177,10010176,2,0,0,10010178,2,0,0
0,13,1,0,10010178,10010177,3,0,0,10010179,2,0,0
0,12,1,0,10010179,10010178,12,0,0,10010180,0,0,0
0,11,1,0,10010180,10010179,6,0,0,10010181,0,0,0
0,10,1,0,10010181,10010180,4,0,0,10010182,0,0,0
0,9,1,0,10010182,10010181,2,0,0,10010183,2,0,0
0,8,1,0,10010183,10010182,2,0,0,10010184,3,0,0
0,7,1,0,10010184,10010183,14,0,0,10010555,3,0,0
0,3,1,0,10010186,10010558,14,0,0,10010187,1,0,0
0,2,1,0,10010187,10010186,3,0,0,10010188,3,0,0
0,1,1,0,10010188,10010187,2,0,0,10010189,2,0,0
0,0,1,0,10010189,10010188,13,0,0,10010190,0,0,0
0,60,1,0,10010190,10010189,12,0,0,10010191,0,0,0
0,59,1,0,10010191,10010190,6,0,0,10010192,0,0,0
0,58,1,0,10010192,10010191,3,0,0,10010193,1,0,0
0,57,1,0,10010193,10010192,7,0,0,10010194,10001,0,0
0,56,1,0,10010194,10010193,5,0,0,10010195,0,0,0
0,55,1,0,10010195,10010194,3,0,0,10010196,2,0,0
0,54,1,0,10010196,10010195,11,0,0,10010197,10001,0,0
0,53,1,0,10010197,10010196,4,0,0,10010198,0,0,0
0,52,1,0,10010198,10010197,2,0,0,10010199,1,0,0
0,51,1,0,10010199,10010198,14,0,0,10010200,2,0,0
0,50,1,0,10010200,10010199,2,0,0,10010201,1,0,0
0,49,1,0,10010201,10010200,3,0,10010716,10010214,1,0,0
0,48,1,0,10010214,10010201,4,0,0,10010215,0,0,0
0,47,1,0,10010215,10010214,12,0,0,10010710,0,0,0
0,44,1,0,10010218,10010711,11,0,0,10010219,10001,0,0
0,43,1,0,10010219,10010218,2,0,0,10010220,2,0,0
0,42,1,0,10010220,10010219,4,0,0,10010221,0,0,0
0,41,1,0,10010221,10010220,3,0,0,10010222,2,0,0
0,40,1,0,10010222,10010221,2,0,0,10010223,1,0,0
