energy_reset_flag,reward_image_4,reward_image_5,difficulty,dungeon_quest_detail_monster_size,chest_id,wave_bgm_sheet_id_1,quest_detail_monster_scale_1,quest_id,reward_image_1,dungeon_quest_detail_monster_position_x_4,emax,background,dungeon_quest_detail_bg_position,fixed_start_tp_rate,reward_coin,parts_hp_save_flag,quest_detail_monster_scale_4,reward_csc,odds_group_id,dungeon_quest_detail_monster_position_x_5,floor_num,dungeon_quest_detail_monster_position_x_1,reward_image_6,wave_bgm_que_id_1,dungeon_quest_detail_monster_position_x_2,dungeon_quest_detail_bg_id,limit_time,dungeon_quest_detail_monster_position_x_3,quest_detail_monster_scale_5,quest_type,multi_target_effect_time,reward_image_2,wave_group_id,clear_reward_group,quest_detail_monster_scale_3,quest_detail_monster_scale_2,dungeon_area_id,reward_image_3,dungeon_quest_detail_monster_height
0,140001,25001,1,1.2,40004,bgm_M06,0.0,320010101,90002,0.0,0,102841,-50,0,600,0,0.0,20,3200101,0.0,1,0.0,0,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,1,1.2,40004,bgm_M06,0.0,320010102,90002,0.0,0,102842,-50,0,800,0,0.0,20,3200101,0.0,2,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,1,1.2,40004,bgm_M06,0.0,320010103,90002,0.0,0,102843,-50,0,800,0,0.0,20,3200102,0.0,3,0.0,0,bgm_M06,0.0,102843,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,1,1.2,40004,bgm_M06,0.0,320010104,90002,0.0,0,102842,-50,0,1200,0,0.0,20,3200103,0.0,4,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,1,1.2,40004,bgm_M06,0.0,320010105,90002,0.0,0,102841,-50,0,1200,0,0.0,20,3200104,0.0,5,0.0,90005,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
1,140001,25001,1,1.2,40004,bgm_M126,1.2,320010106,90002,0.0,1,102842,-50,0,100,0,1.2,50,3200105,0.0,6,0.0,0,bgm_M126,0.0,102842,90,0.0,1.0,5,0.0,90008,502001111,0,1.0,1.2,32001,94002,0.0
1,140001,25001,1,1.2,40004,bgm_M126,1.2,320010107,90002,0.0,1,102843,-50,0,100,0,1.2,50,3200105,0.0,7,0.0,0,bgm_M126,0.0,102843,90,0.0,1.0,5,0.0,90008,502001121,0,1.0,1.2,32001,94002,0.0
1,140001,25001,1,1.2,40004,bgm_M64,1.0,320010108,90002,0.0,1,102851,-50,0,100,0,0.0,50,3200105,0.0,8,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502001131,0,0.0,0.0,32001,94002,0.0
1,140001,25001,1,1.2,40004,bgm_M64,1.0,320010109,90002,0.0,1,102851,-50,0,100,0,0.0,50,3200105,0.0,9,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502001141,0,0.0,0.0,32001,94002,0.0
1,140001,25001,1,0.5,40004,bgm_M63,1.0,320010110,90002,0.0,1,102852,-50,0,100,1,0.0,50,3200105,0.0,10,0.0,0,bgm_M63,0.0,102852,90,0.0,0.0,3,5.1,90008,502001151,0,0.0,1.0,32001,94002,0.0
0,140001,25001,2,1.2,40004,bgm_M06,0.0,320010201,90002,0.0,0,102841,-50,100,600,0,0.0,20,3200101,0.0,1,0.0,0,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
