room_item_id,end_date,room_announcement_name,start_date,get_date,id
2801,"2030/12/31 23:59:59","","2021/12/01 15:00","",1
2802,"2030/12/31 23:59:59","","2021/12/21 15:00","",2
2307,"2030/12/31 23:59:59","","2022/03/16 15:00","2022/03/16 15:00",3
2308,"2030/12/31 23:59:59","","2022/03/16 15:00","2022/03/16 15:00",4
2806,"2030/12/31 23:59:59","","2022/03/10 15:00","",5
2808,"2030/12/31 23:59:59","","2022/03/28 15:00","2023/04/13 15:00",6
2809,"2030/12/31 23:59:59","","2022/06/30 15:00","",7
2814,"2030/12/31 23:59:59","","2022/08/29 15:00","2022/08/29 15:00",8
2804,"2030/12/31 23:59:59","오마 지역 진흥 포스터\n『새해 툰누스 낚시 도안』","2023/02/17 15:00","2023/02/17 15:00",9
2816,"2030/12/31 23:59:59","","2023/03/16 05:00","",10
2818,"2030/12/31 23:59:59","","2023/03/29 15:00","",11
2805,"2030/12/31 23:59:59","","2023/06/13 15:00","2029/05/15 15:00",12
2828,"2030/12/31 23:59:59","","2023/11/02 15:00","",13
2829,"2030/12/31 23:59:59","","2024/01/30 15:00","",14
2830,"2030/12/31 23:59:59","","2024/03/14 05:00","",15
2833,"2030/12/31 23:59:59","","2024/03/30 15:00","",16
2834,"2030/12/31 23:59:59","","2024/05/28 15:00","",17
2835,"2030/12/31 23:59:59","","2024/05/28 15:00","",18
2836,"2030/12/31 23:59:59","","2024/05/28 15:00","",19
2837,"2030/12/31 23:59:59","","2024/05/28 15:00","",20
2839,"2030/12/31 23:59:59","","2024/09/30 15:00","",21
2840,"2030/12/31 23:59:59","","2024/09/30 15:00","",22
2844,"2030/12/31 23:59:59","","2025/03/09 05:00","",23
2846,"2030/12/31 23:59:59","","2025/03/10 05:00","",24
2845,"2030/12/31 23:59:59","","2025/03/11 05:00","",25
2843,"2025/03/12 23:59:59","","2025/03/12 05:00","",26
2842,"2030/12/31 23:59:59","","2025/03/13 05:00","",27
