action_value_5,target_number,action_value_6,target_count,action_detail_2,action_value_7,action_detail_3,action_id,target_type,target_area,description,level_up_disp,action_detail_1,action_value_2,action_value_3,target_range,action_value_1,target_assignment,action_value_4,class_id,action_type
0.0,0,0.0,1,0,0.0,0,100100101,3,1,"적 1명에게 {0}의 물리 데미지","단일 물리 데미지 +{0}",1,30.0,2.4,-1,30.0,1,0.0,1,1
0.0,0,0.0,99,0,0.0,0,100100102,3,1,"","",3,0.0,500.0,-1,50.0,1,0.0,1,3
0.0,0,0.0,99,0,0.0,0,100100103,3,2,"범위 내 적에게 {0}의 물리 데미지","범위 물리 데미지 +{0}",1,13.5,1.08,400,13.5,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100100201,3,1,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,20.0,1.6,-1,20.0,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100100301,1,1,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,8.0,0.6,0,8.0,1,0.0,1,1
0.0,0,0.0,1,1,1.0,0,100100302,7,1,"자신의 물리 공격력 {0} 증가","물리 공격력 증가 +{0}",10,11.0,11.0,0,1.0,2,12.0,1,10
0.0,0,0.0,1,0,0.0,0,100101101,3,1,"적 1명에게 {0}의 물리 데미지","단일 물리 데미지 +{0}",1,60.0,4.8,-1,60.0,1,0.0,1,1
0.0,0,0.0,99,0,0.0,0,100101102,3,2,"범위 내 적에게 {0}의 물리 데미지","범위 물리 데미지 +{0}",1,45.0,3.6,600,45.0,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100101201,3,1,"적 1명에게 {0}의 물리 데미지","단일 물리 데미지 +{0}",1,20.0,1.6,-1,20.0,1,0.0,1,1
0.0,0,0.0,99,0,0.0,0,100101202,3,2,"범위 내 적에게 {0}의 물리 데미지","범위 물리 데미지 +{0}",1,9.0,0.72,400,9.0,1,0.0,1,1
0.0,0,0.0,0,0,0.0,0,100150101,0,0,"자신의 물리 공격력 {0} 증가","물리 공격력 증가 +{0}",2,15.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100151101,0,0,"자신의 물리 공격력 {0} 증가","물리 공격력 증가 +{0}",2,240.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,99,0,0.0,0,100200101,3,3,"아군 전체의 HP {0} 회복","HP 회복량 +{0}",2,6.0,6.0,2160,1.0,2,0.45,1,4
0.0,0,0.0,1,0,0.0,0,100200201,3,1,"적 1명에게 {0}의 마법 데미지","마법 데미지 +{0}",2,15.0,1.2,-1,15.0,1,0.0,1,1
0.0,0,0.0,99,1,1.0,0,100200301,3,3,"아군 전체의 물리 방어력 {0} 증가","물리 방어력 증가 +{0}",20,0.23,0.23,2160,1.0,2,12.0,1,10
0.0,0,0.0,99,0,0.0,0,100201101,3,3,"아군 전체의 HP {0} 회복","HP 회복량 +{0}",2,8.0,8.0,2160,1.0,2,0.6,1,4
0.0,0,0.0,99,1,1.0,0,100201102,3,3,"아군 전체의 물리 방어력 {0} 증가","물리 방어력 증가 +{0}",20,1.2,1.2,2160,1.0,2,18.0,1,10
