talent_id_2,talent_id_4,talent_id_5,enhance_id,talent_id_1,enhance_value,parameter_type,talent_id_3
2,4,5,111,1,48,1,3
2,4,5,121,1,96,1,3
2,4,5,131,1,144,1,3
2,4,5,141,1,192,1,3
2,4,5,151,1,240,1,3
0,0,0,211,1,84,2,0
0,0,0,221,1,168,2,0
0,0,0,231,1,252,2,0
0,0,0,241,1,336,2,0
0,0,0,251,1,420,2,0
0,0,0,311,3,36,5,0
0,0,0,321,3,72,5,0
0,0,0,331,3,108,5,0
0,0,0,341,3,144,5,0
0,0,0,351,3,180,5,0
0,0,0,411,4,84,4,0
0,0,0,421,4,168,4,0
0,0,0,431,4,252,4,0
0,0,0,441,4,336,4,0
0,0,0,451,4,420,4,0
0,0,0,511,2,84,4,0
0,0,0,521,2,168,4,0
0,0,0,531,2,252,4,0
0,0,0,541,2,336,4,0
0,0,0,551,2,420,4,0
0,0,0,611,4,84,2,0
0,0,0,621,4,168,2,0
0,0,0,631,4,252,2,0
0,0,0,641,4,336,2,0
0,0,0,651,4,420,2,0
0,0,0,711,5,56,1,0
0,0,0,721,5,112,1,0
0,0,0,731,5,168,1,0
0,0,0,741,5,224,1,0
0,0,0,751,5,280,1,0
0,0,0,811,2,1,101,0
0,0,0,911,3,84,2,0
0,0,0,921,3,168,2,0
0,0,0,931,3,252,2,0
0,0,0,941,3,336,2,0
0,0,0,951,3,420,2,0
0,0,0,1011,1,1,101,0
0,0,0,1111,2,36,5,0
0,0,0,1121,2,72,5,0
0,0,0,1131,2,108,5,0
0,0,0,1141,2,144,5,0
0,0,0,1151,2,180,5,0
0,0,0,1211,5,84,4,0
0,0,0,1221,5,168,4,0
0,0,0,1231,5,252,4,0
0,0,0,1241,5,336,4,0
0,0,0,1251,5,420,4,0
0,0,0,1311,1,86,2,0
0,0,0,1321,1,172,2,0
0,0,0,1331,1,258,2,0
0,0,0,1341,1,344,2,0
0,0,0,1351,1,430,2,0
0,0,0,1411,3,44,1,0
