seq_num,end_pos,sheet_name,start_pos,id,command,line_num,story_id,seek_time,cue_name,command_param,type
1,0,0,0,1120001,3,0,12,0.0,0,1.0,4
2,0,vo_nyx,0,1120002,0,0,12,0.0,vo_nyx_0101,0.0,2
3,205,0,0,1120003,0,1,12,2.698,0,0.0,1
4,0,0,0,1120004,1,0,12,0.0,0,3.334,4
5,0,vo_nyx,0,1120005,0,0,12,0.0,vo_nyx_0102,0.0,2
6,295,0,205,1120006,0,1,12,1.055,0,0.0,1
7,0,0,0,1120007,1,0,12,0.0,0,1.055,4
8,90,0,0,1120008,0,2,12,0.732,0,0.0,1
9,0,0,0,1120009,1,0,12,0.0,0,1.05,4
10,365,0,90,1120010,0,2,12,2.42,0,0.0,1
11,0,0,0,1120011,1,0,12,0.0,0,3.5,4
12,0,0,0,1120012,3,0,12,0.0,0,2.0,4
13,0,vo_nyx,0,1120013,0,0,12,0.0,vo_nyx_0103,0.0,2
14,62,0,0,1120014,0,3,12,0.815,0,0.0,1
15,0,0,0,1120015,1,0,12,0.0,0,1.157,4
16,291,0,62,1120016,0,3,12,2.763,0,0.0,1
17,0,0,0,1120017,1,0,12,0.0,0,2.763,4
18,180,0,0,1120018,0,4,12,2.388,0,0.0,1
19,0,0,0,1120019,1,0,12,0.0,0,3.338,4
20,0,vo_nyx,0,1120020,0,0,12,0.0,vo_nyx_0104,0.0,2
21,56,0,0,1120021,0,5,12,0.778,0,0.0,1
22,0,0,0,1120022,1,0,12,0.0,0,1.214,4
23,335,0,56,1120023,0,5,12,3.167,0,0.0,1
24,0,0,0,1120024,1,0,12,0.0,0,3.61,4
25,204,0,0,1120025,0,6,12,2.618,0,0.0,1
26,0,0,0,1120026,1,0,12,0.0,0,3.198,4
27,0,vo_nyx,0,1120027,0,0,12,0.0,vo_nyx_0105,0.0,2
28,350,0,204,1120028,0,6,12,1.4,0,0.0,1
29,0,0,0,1120029,1,0,12,0.0,0,1.448,4
30,296,0,0,1120030,0,7,12,2.927,0,0.0,1
31,0,0,0,1120031,1,0,12,0.0,0,3.811,4
32,0,0,0,1120032,3,0,12,0.0,0,3.0,4
33,0,vo_nyx,0,1120033,0,0,12,0.0,vo_nyx_0106,0.0,2
34,360,0,296,1120034,0,7,12,0.506,0,0.0,1
35,0,0,0,1120035,1,0,12,0.0,0,1.175,4
36,0,0,0,1120036,3,0,12,0.0,0,3.0,4
37,0,vo_nyx,0,1120037,0,0,12,0.0,vo_nyx_0107,0.0,2
38,159,0,0,1120038,0,8,12,1.439,0,0.0,1
39,0,0,0,1120039,1,0,12,0.0,0,1.439,4
40,315,0,159,1120040,0,8,12,1.462,0,0.0,1
41,0,0,0,1120041,1,0,12,0.0,0,2.178,4
42,0,vo_nyx,0,1120042,0,0,12,0.0,vo_nyx_0108,0.0,2
43,400,0,0,1120043,0,9,12,3.765,0,0.0,1
44,0,0,0,1120044,1,0,12,0.0,0,4.495,4
45,0,vo_nyx,0,1120045,0,0,12,0.0,vo_nyx_0109,0.0,2
46,124,0,0,1120046,0,10,12,1.137,0,0.0,1
47,0,0,0,1120047,1,0,12,0.0,0,1.484,4
48,395,0,124,1120048,0,10,12,2.686,0,0.0,1
49,0,0,0,1120049,1,0,12,0.0,0,2.686,4
50,94,0,0,1120050,0,11,12,0.736,0,0.0,1
51,0,0,0,1120051,1,0,12,0.0,0,1.06,4
52,0,vo_nyx,0,1120052,0,0,12,0.0,vo_nyx_0110,0.0,2
53,150,0,94,1120053,0,11,12,0.353,0,0.0,1
54,0,0,0,1120054,1,0,12,0.0,0,1.137,4
55,0,vo_nyx,0,1120055,0,0,12,0.0,vo_nyx_0111,0.0,2
56,333,0,0,1120056,0,12,12,2.51,0,0.0,1
57,0,0,0,1120057,1,0,12,0.0,0,3.164,4
58,0,vo_nyx,0,1120058,0,0,12,0.0,vo_nyx_0112,0.0,2
59,145,0,0,1120059,0,13,12,1.532,0,0.0,1
60,0,0,0,1120060,1,0,12,0.0,0,1.62,4
61,336,0,145,1120061,0,13,12,1.367,0,0.0,1
62,0,0,0,1120062,1,0,12,0.0,0,2.245,4
63,0,vo_nyx,0,1120063,0,0,12,0.0,vo_nyx_0113,0.0,2
64,116,0,0,1120064,0,14,12,1.116,0,0.0,1
65,0,0,0,1120065,1,0,12,0.0,0,1.735,4
66,205,0,116,1120066,0,14,12,1.048,0,0.0,1
67,0,0,0,1120067,1,0,12,0.0,0,2.848,4
1,0,0,0,1130001,3,0,13,0.0,0,1.0,4
2,0,vo_nyx,0,1130002,0,0,13,0.0,vo_nyx_0201,0.0,2
3,34,0,0,1130003,0,1,13,0.382,0,0.0,1
4,0,0,0,1130004,1,0,13,0.0,0,0.672,4
5,68,0,34,1130005,0,1,13,0.65,0,0.0,1
6,0,0,0,1130006,1,0,13,0.0,0,1.115,4
7,233,0,68,1130007,0,1,13,2.158,0,0.0,1
8,0,0,0,1130008,1,0,13,0.0,0,2.541,4
9,310,0,233,1130009,0,1,13,0.914,0,0.0,1
10,0,0,0,1130010,1,0,13,0.0,0,0.914,4
11,220,0,0,1130011,0,2,13,1.72,0,0.0,1
12,0,0,0,1130012,1,0,13,0.0,0,1.5,4
13,0,0,0,1130013,3,0,13,0.0,0,2.0,4
14,0,0,0,1130014,1,0,13,0.0,0,1.726,4
15,0,vo_nyx,0,1130015,0,0,13,0.0,vo_nyx_0202,0.0,2
16,335,0,0,1130016,0,3,13,2.838,0,0.0,1
17,0,0,0,1130017,1,0,13,0.0,0,3.334,4
18,316,0,0,1130018,0,4,13,2.491,0,0.0,1
19,0,0,0,1130019,1,0,13,0.0,0,3.427,4
20,0,0,0,1130020,3,0,13,0.0,0,3.0,4
21,0,vo_nyx,0,1130021,0,0,13,0.0,vo_nyx_0203,0.0,2
22,42,0,0,1130022,0,5,13,0.475,0,0.0,1
23,0,0,0,1130023,1,0,13,0.0,0,0.872,4
24,116,0,42,1130024,0,5,13,1.001,0,0.0,1
25,0,0,0,1130025,1,0,13,0.0,0,1.492,4
26,251,0,116,1130026,0,5,13,1.73,0,0.0,1
27,0,0,0,1130027,1,0,13,0.0,0,2.045,4
