auto_value_5,auto_value_1,auto_value_3,auto_detail_4,auto_value_4,auto_detail_2,ub_auto_id,auto_value_2,auto_detail_5,auto_detail_1,auto_detail_3,auto_type
0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,3,11002,800,0,2,0,1
0,1,0,0,0,1,12001,500,0,1,0,1
0,1,0,0,0,1,12002,700,0,1,0,1
0,1,0,0,0,1,13001,600,0,2,0,1
0,1,0,0,0,1,13002,700,0,2,0,1
0,1,0,0,0,1,14002,600,0,2,0,1
0,2,0,0,0,3,21001,900,0,2,0,1
0,8000,0,0,0,0,22001,0,0,0,0,2
0,5,0,0,1,99,23001,1,0,1,0,3
0,7,0,0,1,99,23002,1,0,1,0,3
0,0,0,0,1,0,25001,3,0,4,0,5
0,0,1,0,0,0,25002,0,0,1,0,5
0,1,0,0,1,0,25003,3,0,4,0,5
0,1,1,0,0,0,25004,0,0,1,0,5
0,76,40,0,0,0,26001,37,0,0,0,6
0,2,1,0,0,0,27001,1,0,0,0,7
0,3,1,0,0,0,27002,1,0,0,0,7
0,0,0,0,0,0,28001,0,0,0,0,8
