end_time,voice_id,change_face_type,start_time,character_id,where_type,character_name,description,pos_x,comment_id,season_id,pos_y,change_face_time,face_type
"2024/10/23 14:59:59",1,1,"2024/07/31 15:00:00",126401,2002,"클로체","어서 오세요♪\n캐러밴 코인을 사용해서\n쇼핑할 수 있답니다!",-470.0,10001,1,0.0,1.47,2
"2024/10/23 14:59:59",2,2,"2024/07/31 15:00:00",126401,2002,"클로체","멋진 상품을 준비해 두었으니\n많~이 구매해\n주세요♪",-470.0,10002,1,0.0,2.15,1
"2024/10/23 14:59:59",1,2,"2024/07/31 15:00:00",126501,2002,"라이라엘","상점에 잘 오셨습니다\n캐러밴 코인은 이쪽에서\n쇼핑에 사용할 수 있습니다",-470.0,10003,1,0.0,0.0,2
"2024/10/23 14:59:59",2,1,"2024/07/31 15:00:00",126501,2002,"라이라엘","이곳 상점에서\n쇼핑을 하며 멋진\n여행을 즐겨 주세요",-470.0,10004,1,0.0,0.0,1
"2025/01/23 14:59:59",1,2,"2024/10/16 15:00:00",127702,2002,"린드","어서 오세요\n캐러밴 코인을 사용해서\n상품을 구입할 수 있어요",-470.0,10005,2,0.0,0.0,2
"2025/01/23 14:59:59",2,2,"2024/10/16 15:00:00",127702,2002,"린드","상점 청소는 완벽해요\n공주님 직영의 상점으로서\n당연한 일이니까요",-470.0,10006,2,0.0,0.0,2
"2025/01/23 14:59:59",1,1,"2024/10/16 15:00:00",127802,2002,"블룸","상점에 어서 오세요\n캐러밴 코인과 상품을\n교환할 수 있으니, 괜찮으시다면",-470.0,10007,2,0.0,0.0,1
"2025/01/23 14:59:59",2,2,"2024/10/16 15:00:00",127802,2002,"블룸","왜 내가 가게나 보고 있는 거지…\n뭐, 할 거지만요\n맘에 드는 상품을 골라 보세요",-470.0,10008,2,0.0,6.5,1
"2025/04/22 14:59:59",1,2,"2025/01/16 15:00:00",129602,2002,"아네모네","……어서 오세요\n뭔가 사셔도, 좋아요\n캐러밴 코인이 있다면",-470.0,10009,3,0.0,0.0,1
"2025/04/22 14:59:59",2,2,"2025/01/16 15:00:00",129602,2002,"아네모네","……더 웃었으면 좋겠다고요?\n코인이 아무리 많다고 해도\n팔 수 없는 게 있는 법이죠",-470.0,10010,3,0.0,0.0,1
"2025/04/22 14:59:59",1,1,"2025/01/16 15:00:00",129701,2002,"네피＝네라","걸음해 주시어 감사드리옵니다\n캐러밴 코인은 이쪽에서\n교환해 드리지요",-470.0,10011,3,0.0,0.0,1
"2025/04/22 14:59:59",2,2,"2025/01/16 15:00:00",129701,2002,"네피＝네라","그러한데, 너는\n얼마에 거둬들일 수 있지?\n……후후, 농담이어요",-470.0,10012,3,0.0,6.2,1
"2025/07/22 14:59:59",1,3,"2025/04/15 15:00:00",130301,2002,"카논","어, 어서 오세요!\n…큭… 내가 이런\n가게나 보고 있다니… 굴욕적이에요",-470.0,10013,4,0.0,3.1,5
"2025/07/22 14:59:59",2,3,"2025/04/15 15:00:00",130301,2002,"카논","어머, 나를 희망하신다고요?\n애송이 님, 그런 동전 몇푼으로\n…살 수 있는 건가요!?",-470.0,10014,4,0.0,6.15,2
"2025/07/22 14:59:59",1,2,"2025/04/15 15:00:00",130401,2002,"나나","어서 오세요~♪\n캐애러밴코이인? 을\n교환할 수 있대~",-470.0,10015,4,0.0,0.0,2
"2025/07/22 14:59:59",2,2,"2025/04/15 15:00:00",130401,2002,"나나","달콤한 걸 주면,\n보답으로 나나가 주운\n솔방울을 줄게!",-470.0,10016,4,0.0,3.35,1
"2025/10/21 14:59:59",1,1,"2025/07/15 15:00:00",130502,2002,"봉황","상점에 어서 오세요\n이 봉황이, 여러분에게\n행복을 내려 드리죠",-470.0,10017,5,0.0,0.0,1
"2025/10/21 14:59:59",2,2,"2025/07/15 15:00:00",130502,2002,"봉황","황이라고 부를 권리는\n안 판다고요?\n기사님에게만 허락한, 특별한 거니까!",-470.0,10018,5,0.0,3.18,1
