map_position_y,map_size,clear_reward_group,disp_on_bg,icon_display_scale,event_id,story_id_waveend_1,position_y,wave_bgm_que_id_1,detail_bg_position,icon_collider_scale,background_1,boss_position_y,detail_boss_bg_height,position_x,limit_time,td_mode,map_arrow_offset,quest_name,detail_bg_id,story_id_wavestart_1,detail_boss_bg_size,deatail_aura_size,area_id,map_aura_size,result_boss_position_y,wave_group_id_1,wave_bgm_sheet_id_1,map_position_x,icon_id,boss_id,qd_mode,boss_position_x,difficulty
0.0,0.6,650001011,0,1.0,20001,0,-76,bgm_M47,0,1.0,81000105,-40,-50.0,796,90,0,0.0,"보스 전투(NORMAL)",81000105,340,1.5,1.0,20001101,1.0,270,660001001,bgm_M47,0.0,200010,2000101,0,770,1
0.0,0.6,650001021,0,1.0,20001,0,-180,bgm_M47,0,1.0,81000106,-210,-50.0,70,90,0,0.0,"보스 전투(HARD)",81000106,341,1.5,1.0,20001201,1.0,270,660001002,bgm_M47,0.0,200010,2000102,0,60,2
0.0,0.6,650001031,0,1.0,20001,0,10,bgm_M47,0,1.0,81000106,-40,-50.0,520,90,0,0.0,"보스 전투(VERY HARD)",81000106,344,1.5,1.0,20001201,1.0,270,660001003,bgm_M47,0.0,200010,2000103,0,470,3
0.0,0.6,650002011,0,1.0,20002,0,20,bgm_M102,0,1.0,81000205,-30,0.0,850,90,0,0.0,"보스 전투(NORMAL)",81000205,5002301,1.3,1.0,20002101,1.0,40,660002001,bgm_M102,0.0,510021,2000201,0,750,1
0.0,0.6,650002021,0,1.0,20002,0,125,bgm_M102,0,1.0,81000207,20,0.0,-250,90,0,0.0,"보스 전투(HARD)",81000207,5002302,1.3,1.0,20002201,1.0,40,660002002,bgm_M102,0.0,510022,2000202,0,140,2
0.0,0.6,650002031,0,1.0,20002,345,10,bgm_M102,0,1.0,81000207,-40,0.0,500,90,0,0.0,"보스 전투(VERY HARD)",81000207,344,1.3,1.0,20002201,1.0,40,660002003,bgm_M102,0.0,510022,2000203,0,450,3
0.0,0.6,650003011,0,1.0,20003,0,10,bgm_M109,0,1.0,81000305,-40,30.0,830,90,0,0.0,"보스 전투(NORMAL)",81000305,5003302,1.1,1.0,20003101,1.0,20,660003001,bgm_M109,0.0,510031,2000301,0,730,1
0.0,0.6,650003021,0,1.0,20003,0,90,bgm_M109,0,1.0,81000306,20,30.0,210,90,0,0.0,"보스 전투(HARD)",81000306,5003301,1.1,1.0,20003201,1.0,20,660003002,bgm_M109,0.0,510032,2000302,0,180,2
0.0,0.6,650003031,0,1.0,20003,345,10,bgm_M109,0,1.0,81000306,-40,30.0,500,90,0,0.0,"보스 전투(VERY HARD)",81000306,344,1.1,1.0,20003201,1.0,20,660003003,bgm_M109,0.0,510032,2000303,0,450,3
0.0,0.6,650004011,0,1.0,20004,0,10,bgm_M116,0,1.0,81000405,-40,30.0,870,90,0,0.0,"보스 전투(NORMAL)",81000405,5004301,1.1,1.0,20004101,1.0,20,660004001,bgm_M116,0.0,510041,2000401,0,770,1
