background_2,icon_offset_x,clear_reward_group,unit_exp,drop_reward_num,quest_detail_bg_position,position_x,story_id_waveend_1,wave_bgm_sheet_id_2,team_exp,wave_group_id_3,stamina,story_id_wavestart_1,quest_name,daily_limit,quest_id,icon_id,icon_scale,wave_bgm_que_id_2,wave_group_id_1,quest_seq,wave_bgm_sheet_id_1,wave_bgm_que_id_1,position_y,event_id,story_id_waveend_2,wave_bgm_que_id_3,stamina_start,icon_offset_y,story_id_wavestart_2,story_id_waveend_3,area_id,quest_detail_bg_id,wave_group_id_2,story_id_wavestart_3,background_3,rank_reward_group,wave_bgm_sheet_id_3,limit_time,drop_reward_odds,love,drop_reward_id,drop_reward_type,background_1
100015,0.0,650001101,120,0,0,-820,0,bgm_M41,8,650130013,8,0,"타르굼 지방 1-1",0,20001101,100020,1.0,bgm_M41,650130011,1,bgm_M41,bgm_M41,-50,20001,0,bgm_M41,1,0.0,0,0,20001101,100014,650130012,0,100016,650001124,bgm_M41,90,0,8,0,0,100014
100015,0.0,650001102,120,0,0,-710,0,bgm_M41,8,650140013,8,0,"타르굼 지방 1-2",0,20001102,100020,1.0,bgm_M41,650140011,2,bgm_M41,bgm_M41,-140,20001,0,bgm_M41,1,0.0,0,0,20001101,100014,650140012,0,100016,650001125,bgm_M41,90,0,8,0,0,100014
100092,0.0,650001103,120,0,0,-620,0,bgm_M41,8,650150013,8,0,"타르굼 지방 1-3",0,20001103,100030,1.0,bgm_M41,650150011,3,bgm_M41,bgm_M41,0,20001,0,bgm_M41,1,0.0,0,0,20001101,100091,650150012,0,100093,650001126,bgm_M41,90,0,8,0,0,100091
100042,0.0,650001104,120,0,0,-500,0,bgm_M41,8,650160013,8,0,"타르굼 지방 1-4",0,20001104,100040,1.0,bgm_M41,650160011,4,bgm_M41,bgm_M41,-90,20001,0,bgm_M41,1,0.0,0,0,20001101,100041,650160012,0,100043,650001127,bgm_M41,90,0,8,0,0,100041
100092,0.0,650001105,120,0,0,-425,0,bgm_M41,8,650170013,8,0,"타르굼 지방 1-5",0,20001105,100030,1.0,bgm_M41,650170011,5,bgm_M41,bgm_M41,45,20001,0,bgm_M41,1,0.0,0,0,20001101,100091,650170012,0,100093,650001123,bgm_M41,90,0,8,0,0,100091
100062,0.0,650001106,135,0,0,-280,0,bgm_M41,9,650180013,9,0,"타르굼 지방 1-6",0,20001106,100010,1.0,bgm_M41,650180011,6,bgm_M41,bgm_M41,0,20001,0,bgm_M41,1,0.0,0,0,20001101,100061,650180012,0,100063,650001124,bgm_M41,90,0,9,0,0,100061
100022,0.0,650001107,135,0,0,-220,0,bgm_M41,9,650190013,9,0,"타르굼 지방 1-7",0,20001107,100050,1.0,bgm_M41,650190011,7,bgm_M41,bgm_M41,-160,20001,0,bgm_M41,1,0.0,0,0,20001101,100021,650190012,0,100023,650001125,bgm_M41,90,0,9,0,0,100021
100042,0.0,650001108,135,0,0,-100,0,bgm_M41,9,650200013,9,0,"타르굼 지방 1-8",0,20001108,100040,1.0,bgm_M41,650200011,8,bgm_M41,bgm_M41,-10,20001,0,bgm_M41,1,0.0,0,0,20001101,100041,650200012,0,100043,650001126,bgm_M41,90,0,9,0,0,100041
100015,0.0,650001109,135,0,0,30,0,bgm_M41,9,650210013,9,0,"타르굼 지방 1-9",0,20001109,100020,1.0,bgm_M41,650210011,9,bgm_M41,bgm_M41,30,20001,0,bgm_M41,1,0.0,0,0,20001101,100014,650210012,0,100016,650001127,bgm_M41,90,0,9,0,0,100014
100092,0.0,650001110,135,0,0,140,0,bgm_M41,9,650220013,9,0,"타르굼 지방 1-10",0,20001110,100030,1.0,bgm_M41,650220011,10,bgm_M41,bgm_M41,-80,20001,0,bgm_M41,1,0.0,0,0,20001101,100091,650220012,0,100093,650001122,bgm_M41,90,0,9,0,0,100091
