challenge_condition,challenge_id,condition_value,description
1001,100101,0,"전투 불능 캐릭터가 0명 이하인 상태로 승리"
1001,100102,1,"전투 불능 캐릭터가 1명 이하인 상태로 승리"
1001,100103,2,"전투 불능 캐릭터가 2명 이하인 상태로 승리"
1002,100201,74001,"남은 전투 시간이 1:15 이상인 상태로 승리"
1002,100202,69001,"남은 전투 시간이 1:10 이상인 상태로 승리"
1002,100203,59001,"남은 전투 시간이 1:00 이상인 상태로 승리"
1002,100204,49001,"남은 전투 시간이 0:50 이상인 상태로 승리"
1002,100205,44001,"남은 전투 시간이 0:45 이상인 상태로 승리"
1002,100206,39001,"남은 전투 시간이 0:40 이상인 상태로 승리"
1002,100207,29001,"남은 전투 시간이 0:30 이상인 상태로 승리"
1003,100301,1000,"아군의 Total HP가 100% 이상인 상태로 승리"
1003,100302,900,"아군의 Total HP가 90% 이상인 상태로 승리"
1003,100303,800,"아군의 Total HP가 80% 이상인 상태로 승리"
1003,100304,700,"아군의 Total HP가 70% 이상인 상태로 승리"
1003,100305,600,"아군의 Total HP가 60% 이상인 상태로 승리"
1003,100306,500,"아군의 Total HP가 50% 이상인 상태로 승리"
1003,100307,990,"아군의 Total HP가 99% 이상인 상태로 승리"
