reward_num_1,reward_type_4,reward_id_1,reward_type_1,reward_type_2,reward_type_5,reward_num_5,reward_num_3,reward_type_3,reward_id_3,reward_num_4,reward_num_2,quest_id,reward_id_5,reward_id_2,reward_id_4
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001001,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001002,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001003,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001004,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001005,25015,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001006,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001007,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001008,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001009,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,10,500000,1001010,25015,94002,25001
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001011,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001012,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001013,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001014,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1001015,25015,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1001016,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1001017,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1001018,0,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002001,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002002,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002003,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002004,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002005,25015,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002006,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002007,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002008,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002009,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,10,500000,1002010,25015,94002,25001
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002011,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002012,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002013,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002014,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1002015,25015,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1002016,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1002017,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1002018,0,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003001,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003002,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003003,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003004,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003005,25015,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003006,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003007,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003008,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003009,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,10,500000,1003010,25015,94002,25001
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003011,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003012,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003013,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003014,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1003015,25015,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1003016,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1003017,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1003018,0,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004001,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004002,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004003,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004004,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004005,25015,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004006,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004007,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004008,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004009,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,10,500000,1004010,25015,94002,25001
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004011,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004012,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004013,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004014,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1004015,25015,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1004016,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1004017,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1004018,0,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005001,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005002,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005003,25013,94002,25021
