reward_id_5,reward_id_2,reward_type_4,reward_type_2,reward_num_2,reward_num_4,reward_id_3,reward_id_4,fix_reward_id,reward_type_3,reward_type_1,reward_num_5,reward_id_1,reward_num_1,reward_type_5,reward_num_3
0,90006,0,2,40,0,22002,0,1001101,2,8,0,91002,40,0,1
0,90006,0,2,50,0,22002,0,1001102,2,8,0,91002,60,0,2
0,90006,0,2,60,0,22002,0,1001103,2,8,0,91002,80,0,3
0,90006,0,2,80,0,22002,0,1001104,2,8,0,91002,100,0,4
0,90006,0,2,150,0,22003,0,1001105,2,8,0,91002,200,0,2
0,22002,0,2,1,0,0,0,1001106,0,2,0,90006,20,0,0
0,22002,0,2,1,0,0,0,1001107,0,2,0,90006,20,0,0
0,22002,0,2,1,0,0,0,1001108,0,2,0,90006,20,0,0
0,22002,0,2,1,0,0,0,1001109,0,2,0,90006,20,0,0
0,22003,0,2,1,0,0,0,1001110,0,2,0,90006,20,0,0
0,90006,0,2,40,0,22002,0,1002101,2,8,0,91002,40,0,1
0,90006,0,2,50,0,22002,0,1002102,2,8,0,91002,60,0,2
0,90006,0,2,60,0,22002,0,1002103,2,8,0,91002,80,0,3
0,90006,0,2,80,0,22002,0,1002104,2,8,0,91002,100,0,4
0,90006,0,2,150,0,22003,0,1002105,2,8,0,91002,200,0,2
0,22002,0,2,1,0,0,0,1002106,0,2,0,90006,40,0,0
0,22002,0,2,1,0,0,0,1002107,0,2,0,90006,40,0,0
0,22002,0,2,1,0,0,0,1002108,0,2,0,90006,40,0,0
0,22002,0,2,1,0,0,0,1002109,0,2,0,90006,40,0,0
0,22003,0,2,1,0,0,0,1002110,0,2,0,90006,40,0,0
0,90006,0,2,40,0,22002,0,1003101,2,8,0,91002,40,0,1
0,90006,0,2,50,0,22002,0,1003102,2,8,0,91002,60,0,2
0,90006,0,2,60,0,22002,0,1003103,2,8,0,91002,80,0,3
0,90006,0,2,80,0,22002,0,1003104,2,8,0,91002,100,0,4
0,90006,0,2,150,0,22003,0,1003105,2,8,0,91002,200,0,2
0,22002,0,2,1,0,0,0,1003106,0,2,0,90006,40,0,0
0,22002,0,2,1,0,0,0,1003107,0,2,0,90006,40,0,0
0,22002,0,2,1,0,0,0,1003108,0,2,0,90006,40,0,0
0,22002,0,2,1,0,0,0,1003109,0,2,0,90006,40,0,0
0,22003,0,2,1,0,0,0,1003110,0,2,0,90006,40,0,0
0,90006,0,2,40,0,22002,0,1004101,2,8,0,91002,40,0,1
0,90006,0,2,50,0,22002,0,1004102,2,8,0,91002,60,0,2
0,90006,0,2,60,0,22002,0,1004103,2,8,0,91002,80,0,3
0,90006,0,2,80,0,22002,0,1004104,2,8,0,91002,100,0,4
0,90006,0,2,150,0,22003,0,1004105,2,8,0,91002,200,0,2
0,22002,0,2,1,0,0,0,1004106,0,2,0,90006,40,0,0
0,22002,0,2,1,0,0,0,1004107,0,2,0,90006,40,0,0
0,22002,0,2,1,0,0,0,1004108,0,2,0,90006,40,0,0
0,22002,0,2,1,0,0,0,1004109,0,2,0,90006,40,0,0
0,22003,0,2,1,0,0,0,1004110,0,2,0,90006,40,0,0
