face_type,unit_id,bg_id,position,bg_name,unit_name
9,100101,500040,0.0,"랜드솔 길드 하우스","하루사키 히요리"
4,100201,500040,0.0,"랜드솔 길드 하우스","쿠사노 유이"
3,100301,500040,0.0,"랜드솔 길드 하우스","시죠 레이"
4,100401,500140,0.0,"프라노 평원","호다카 미소기"
4,100501,500090,0.0,"랜드솔 성 입구","오리하라 마츠리"
4,100601,500260,0.0,"고성","카제미야 아카리"
4,100701,500260,0.0,"고성","이즈모 미야코"
4,100801,500140,0.0,"프라노 평원","니지무라 유키"
3,100901,500050,0.0,"랜드솔 식당 내부","히이라기 안나"
4,101001,500060,0.0,"자경단 거점","히메미야 마호"
4,101101,500030,0.0,"랜드솔 번화가","이노사키 리노"
3,101201,500180,0.0,"엘프의 숲","카시와자키 하츠네"
2,101301,500050,0.0,"랜드솔 식당 내부","탄노 나나카"
4,101401,500060,0.0,"자경단 거점","키리하라 카스미"
4,101501,500180,0.0,"엘프의 숲","아이카와 미사토"
9,101601,500080,0.0,"루센트 학원","미나미 스즈나"
4,101701,500060,0.0,"자경단 거점","컁 카오리"
4,101801,500080,0.0,"루센트 학원","하세쿠라 이오"
2,102001,500140,0.0,"프라노 평원","아카네 미미"
5,102101,500110,0.0,"사렌디아 구호원 홀","쿠리바야시 쿠루미"
4,102201,500260,0.0,"고성","카제미야 요리"
4,102301,500110,0.0,"사렌디아 구호원 홀","호죠 아야네"
10,102501,500110,0.0,"사렌디아 구호원 홀","아마노 스즈메"
3,102601,500150,0.0,"목장 거점","모리치카 린"
4,102701,500050,0.0,"랜드솔 식당 내부","쿠라이시 에리코"
4,102801,500110,0.0,"사렌디아 구호원 홀","사사키 사렌"
1,102901,500010,0.0,"랜드솔 시가지","사쿠라이 노조미"
4,103001,500140,0.0,"프라노 평원","니논 쥬베르"
4,103101,500260,0.0,"고성","카미키 시노부"
4,103201,500070,0.0,"메르쿠리우스 재단 거점","토도 아키노"
9,103301,500150,0.0,"목장 거점","노토 마히루"
