start_area_id,que_id,course_id,map_id,end_area_id,name,sheet_id,event_id
10001101,bgm_M32,10001,10001,10001101,"타르굼 지방",bgm_M32,10001
10002101,bgm_M98_2,10002,10002,10002101,"마시나 지방",bgm_M98,10002
10003101,bgm_M106,10003,10003,10003101,"랜드솔 교외",bgm_M106,10003
10004101,bgm_M112,10004,10004,10004101,"타파스 해변 주변",bgm_M112,10004
10005101,bgm_M121,10005,10005,10005101,"일시온의 외딴섬",bgm_M121,10005
10006101,bgm_M128,10006,10006,10006101,"왕도 랜드솔",bgm_M128,10006
10007101,bgm_M135,10007,10007,10007101,"랜드솔 근교",bgm_M135,10007
10008101,bgm_M121,10008,10008,10008101,"랜드솔 근교",bgm_M121,10008
10009101,bgm_M171,10009,10009,10009101,"크리스마스",bgm_M171,10009
10010101,bgm_M121,10010,10010,10010101,"신전으로 가는 길",bgm_M121,10010
10011101,bgm_M189,10011,10011,10011101,"발렌타인",bgm_M189,10011
10012101,bgm_M206,10012,10012,10012101,"왕도 랜드솔",bgm_M206,10012
10013101,bgm_M215,10013,10013,10013101,"마나리아",bgm_M215,10013
10014101,bgm_M32,10014,10014,10014101,"타르굼 지방",bgm_M32,10014
