collide_type,timing,collider_id,collide_target,condition_id
1,1,0,3,111011101
1,1,0,3,111021101
1,1,0,3,133011101
1,1,0,5,133011201
1,1,0,3,133020101
1,1,1,3,133020201
1,1,0,3,133030101
1,2,0,3,133030201
1,3,0,3,133030301
1,1,1,3,133030401
1,2,1,3,133030501
1,3,1,3,133030601
1,1,0,3,133040101
1,1,1,3,133040201
1,1,2,3,133040301
1,1,3,3,133040401
1,1,0,3,133051101
1,1,0,5,133051201
2,1,0,3,134010101
2,3,0,3,134010201
1,1,0,3,134021101
1,1,0,5,134021201
2,1,0,4,140010101
2,1,1,1,140010201
2,1,0,1,140010301
1,3,0,1,140020101
