id,icon_image,lv_to,level_id,lv_from,system_id,end_time,value,campaign_type,campaign_category,beginner_id,shiori_group_id,duplication_order,start_time
1,30,-1,0,1,103,"2018/03/13 4:59:59",2000.0,1,34,0,0,0,"2018/03/06 5:00:00"
2,40,-1,0,1,103,"2018/03/13 4:59:59",2000.0,1,44,0,0,0,"2018/03/06 5:00:00"
3,40,-1,0,1,104,"2018/03/20 4:59:59",2000.0,1,45,0,0,0,"2018/03/13 5:00:00"
4,30,-1,0,1,101,"2018/03/26 4:59:59",2000.0,1,31,0,0,0,"2018/03/20 5:00:00"
5,40,-1,0,1,101,"2018/03/26 4:59:59",2000.0,1,41,0,0,0,"2018/03/20 5:00:00"
6,30,-1,0,1,102,"2018/03/31 4:59:59",2000.0,1,32,0,0,0,"2018/03/26 5:00:00"
7,40,-1,0,1,102,"2018/03/31 4:59:59",2000.0,1,42,0,0,0,"2018/03/26 5:00:00"
8,30,-1,0,1,103,"2018/04/10 4:59:59",2000.0,1,34,0,0,0,"2018/03/31 5:00:00"
9,40,-1,0,1,103,"2018/04/10 4:59:59",2000.0,1,44,0,0,0,"2018/03/31 5:00:00"
10,40,-1,0,1,104,"2018/04/20 4:59:59",2000.0,1,45,0,0,0,"2018/04/10 5:00:00"
11,30,-1,0,1,101,"2018/04/25 4:59:59",2000.0,1,31,0,0,0,"2018/04/20 5:00:00"
12,40,-1,0,1,101,"2018/04/25 4:59:59",2000.0,1,41,0,0,0,"2018/04/20 5:00:00"
13,30,-1,0,1,102,"2018/04/30 4:59:59",2000.0,1,32,0,0,0,"2018/04/25 5:00:00"
14,40,-1,0,1,102,"2018/04/30 4:59:59",2000.0,1,42,0,0,0,"2018/04/25 5:00:00"
15,30,-1,0,1,103,"2018/05/11 4:59:59",2000.0,1,34,0,0,0,"2018/04/30 5:00:00"
16,40,-1,0,1,103,"2018/05/11 4:59:59",2000.0,1,44,0,0,0,"2018/04/30 5:00:00"
17,40,-1,0,1,104,"2018/05/22 4:59:59",2000.0,1,45,0,0,0,"2018/05/11 5:00:00"
18,30,-1,0,1,101,"2018/05/28 4:59:59",2000.0,1,31,0,0,0,"2018/05/22 5:00:00"
19,40,-1,0,1,101,"2018/05/28 4:59:59",2000.0,1,41,0,0,0,"2018/05/22 5:00:00"
20,30,-1,0,1,102,"2018/05/31 4:59:59",2000.0,1,32,0,0,0,"2018/05/28 5:00:00"
21,40,-1,0,1,102,"2018/05/31 4:59:59",2000.0,1,42,0,0,0,"2018/05/28 5:00:00"
22,30,-1,0,1,103,"2018/06/10 4:59:59",2000.0,1,34,0,0,0,"2018/05/31 5:00:00"
23,40,-1,0,1,103,"2018/06/10 4:59:59",2000.0,1,44,0,0,0,"2018/05/31 5:00:00"
24,40,-1,0,1,104,"2018/06/20 4:59:59",2000.0,1,45,0,0,0,"2018/06/10 5:00:00"
25,30,-1,0,1,101,"2018/06/25 4:59:59",2000.0,1,31,0,0,0,"2018/06/20 5:00:00"
26,40,-1,0,1,101,"2018/06/25 4:59:59",2000.0,1,41,0,0,0,"2018/06/20 5:00:00"
27,30,-1,0,1,102,"2018/06/30 4:59:59",2000.0,1,32,0,0,0,"2018/06/25 5:00:00"
28,40,-1,0,1,102,"2018/06/30 4:59:59",2000.0,1,42,0,0,0,"2018/06/25 5:00:00"
29,30,-1,0,1,103,"2018/07/10 4:59:59",2000.0,1,34,0,0,0,"2018/06/30 5:00:00"
30,40,-1,0,1,103,"2018/07/10 4:59:59",2000.0,1,44,0,0,0,"2018/06/30 5:00:00"
31,40,-1,0,1,104,"2018/07/20 4:59:59",2000.0,1,45,0,0,0,"2018/07/10 5:00:00"
32,30,-1,0,1,101,"2018/07/25 4:59:59",2000.0,1,31,0,0,0,"2018/07/20 5:00:00"
33,40,-1,0,1,101,"2018/07/25 4:59:59",2000.0,1,41,0,0,0,"2018/07/20 5:00:00"
34,30,-1,0,1,102,"2018/07/31 4:59:59",2000.0,1,32,0,0,0,"2018/07/25 5:00:00"
35,40,-1,0,1,102,"2018/07/31 4:59:59",2000.0,1,42,0,0,0,"2018/07/25 5:00:00"
