enemy_size_5,reward_count_5,wave_bgm,reward_count_1,enemy_size_2,enemy_local_position_y_1,reward_image_4,tower_area_id,enemy_size_1,background,enemy_position_x_1,floor_image_add_type,chest_id,enemy_local_position_y_2,floor_num,enemy_position_x_5,reward_count_4,wave_group_id,stamina,enemy_size_4,bg_position,tower_quest_id,additional_reward_type,enemy_position_x_3,boss_floor_flg,reward_image_3,stamina_start,reward_count_2,open_tower_ex_quest_id,odds_group_id,enemy_local_position_y_3,reward_image_2,limit_time,start_tp_rate,fix_reward_group_id,clp_flag,skip_level,team_exp,enemy_local_position_y_4,enemy_size_3,reward_image_1,floor_image_type,enemy_local_position_y_5,enemy_position_x_4,reward_image_5,recovery_tp_rate,additional_reward_id,recovery_hp_rate,reward_count_3,enemy_position_x_2
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-301,1,40001,0,1,0,0,710100011,0,0.7,-100,71010001,0,99,0,94002,0,5,0,0,0,113011,90,500,2100101,1,0,0,0,0.7,91002,1,0,299,0,100,0,100,12000,-101
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-301,3,40001,0,2,0,0,710100021,0,0.7,-100,71010002,0,99,0,94002,0,5,0,0,0,123042,90,500,2100102,1,1,0,0,0.7,91002,1,0,299,0,100,0,100,12100,-101
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-301,4,40004,0,3,0,0,710100031,0,0.7,-100,71010003,0,99,0,94002,0,5,0,0,0,113071,90,500,2100103,1,1,0,0,0.7,91002,1,0,299,0,100,0,100,12200,-101
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-301,2,40001,0,4,0,0,710100041,0,0.7,-100,71010004,0,99,0,94002,0,5,0,0,0,123072,90,500,2100104,1,1,0,0,0.7,91002,1,0,299,0,100,0,100,12300,-101
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-301,1,40001,0,5,0,0,710100051,0,0.7,-100,71010005,0,99,0,94002,0,5,0,0,0,113012,90,500,2100105,1,1,0,0,0.7,91002,1,0,299,0,100,0,100,12400,-101
0.7,0,bgm_M127,30,0.7,0,0,1,0.9,101181,-335,3,40004,0,6,333,0,710100061,0,0.7,-100,71010006,0,-1,0,94002,0,5,0,0,0,113013,90,500,2100106,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,12500,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,4,40004,0,7,333,0,710100071,0,0.7,-100,71010007,0,-1,0,94002,0,5,0,0,0,123041,90,500,2100107,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,12600,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,2,40004,0,8,333,0,710100081,0,0.7,-100,71010008,0,-1,0,94002,0,5,0,0,0,123161,90,500,2100108,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,12700,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,1,40004,0,9,333,0,710100091,0,0.7,-100,71010009,0,-1,0,94002,0,5,0,0,0,113162,90,500,2100109,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,12800,-168
0.7,0,bgm_M126,1,0.7,-20,94002,1,1.0,101183,-1,3,40004,0,10,0,12900,710100101,0,0.7,-100,71010010,0,0,1,113191,0,100,0,0,0,91002,90,500,2100110,1,-1,0,0,0.7,140000,1,0,0,0,100,0,100,5,0
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,4,40004,0,11,333,0,710100111,0,0.7,-100,71010011,0,-1,0,94002,0,5,0,0,0,123192,90,500,2100111,1,1,0,0,0.9,91002,1,0,166,0,100,0,100,13000,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,2,40004,0,12,333,0,710100121,0,0.7,-100,71010012,0,-1,0,94002,0,5,0,0,0,123193,90,500,2100112,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,13100,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,1,40004,0,13,333,0,710100131,0,0.7,-100,71010013,0,-1,0,94002,0,5,0,0,0,113221,90,500,2100113,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,13200,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,3,40004,0,14,333,0,710100141,0,0.7,-100,71010014,0,-1,0,94002,0,5,0,0,0,113222,90,500,2100114,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,13300,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,4,40004,0,15,333,0,710100151,0,0.7,-100,71010015,0,-1,0,94002,0,5,0,0,0,123251,90,500,2100115,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,13400,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,2,40004,0,16,333,0,710100161,0,0.7,-100,71010016,0,-1,0,94002,0,5,0,0,0,113252,90,500,2100116,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,13500,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,1,40004,0,17,333,0,710100171,0,0.7,-100,71010017,0,-1,0,94002,0,5,0,0,0,123281,90,500,2100117,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,13600,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,3,40004,0,18,333,0,710100181,0,0.7,-100,71010018,0,-1,0,94002,0,5,0,0,0,123282,90,500,2100118,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,13700,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,4,40004,0,19,333,0,710100191,0,0.7,-100,71010019,0,-1,0,94002,0,5,0,0,0,113283,90,500,2100119,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,13800,-168
0.7,0,bgm_M126,1,0.7,0,94002,1,0.7,101183,-240,2,40004,0,20,0,13900,710100201,0,0.7,-100,71010020,0,248,1,123311,0,100,0,0,-20,91002,90,500,2100120,1,-1,0,0,1.0,140000,1,0,0,0,100,0,100,5,-1
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,1,40004,0,21,333,0,710100211,0,0.7,-100,71010021,0,-1,0,94002,0,5,0,0,0,123341,90,500,2100121,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,14000,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,3,40004,0,22,333,0,710100221,0,0.7,-100,71010022,0,-1,0,94002,0,5,0,0,0,113342,90,500,2100122,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,14100,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,4,40004,0,23,333,0,710100231,0,0.7,-100,71010023,0,-1,0,94002,0,5,0,0,0,123343,90,500,2100123,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,14200,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,2,40004,0,24,333,0,710100241,0,0.7,-100,71010024,0,-1,0,94002,0,5,0,0,0,123371,90,500,2100124,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,14300,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,1,40004,0,25,333,0,710100251,0,0.7,-100,71010025,0,-1,0,94002,0,5,0,0,0,113372,90,500,2100125,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,14400,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,3,40004,0,26,333,0,710100261,0,0.7,-100,71010026,0,-1,0,94002,0,5,0,0,0,113401,90,500,2100126,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,14500,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,4,40004,0,27,333,0,710100271,0,0.7,-100,71010027,0,-1,0,94002,0,5,0,0,0,113431,90,500,2100127,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,14600,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,2,40004,0,28,333,0,710100281,0,0.7,-100,71010028,0,-1,0,94002,0,5,0,0,0,123432,90,500,2100128,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,14700,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,1,40004,0,29,333,0,710100291,0,0.7,-100,71010029,0,-1,0,94002,0,5,0,0,0,123461,90,500,2100129,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,14800,-168
0.7,0,bgm_M126,1,0.7,0,94002,1,0.7,101183,-301,3,40004,0,30,0,14900,710100301,0,1.0,-100,71010030,0,99,1,31032,0,100,0,0,0,91002,90,500,2100130,1,-1,0,-20,0.7,140000,1,0,299,0,100,0,100,2,-101
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,4,40004,0,31,333,0,710100311,0,0.7,-100,71010031,0,-1,0,94002,0,5,0,0,0,123491,90,500,2100131,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,15000,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,2,40004,0,32,333,0,710100321,0,0.7,-100,71010032,0,-1,0,94002,0,5,0,0,0,113521,90,500,2100132,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,15100,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,1,40004,0,33,333,0,710100331,0,0.7,-100,71010033,0,-1,0,94002,0,5,0,0,0,113522,90,500,2100133,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,15200,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,3,40004,0,34,333,0,710100341,0,0.7,-100,71010034,0,-1,0,94002,0,5,0,0,0,113551,90,500,2100134,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,15300,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,4,40004,0,35,333,0,710100351,0,0.7,-100,71010035,0,-1,0,94002,0,5,0,0,0,113552,90,500,2100135,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,15400,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,2,40004,0,36,333,0,710100361,0,0.7,-100,71010036,0,-1,0,94002,0,5,0,0,0,113553,90,500,2100136,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,15500,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,1,40004,0,37,333,0,710100371,0,0.7,-100,71010037,0,-1,0,94002,0,5,0,0,0,113581,90,500,2100137,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,15600,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,3,40004,0,38,333,0,710100381,0,0.7,-100,71010038,0,-1,0,94002,0,5,0,0,0,123582,90,500,2100138,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,15700,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,4,40004,0,39,333,0,710100391,0,0.7,-100,71010039,0,-1,0,94002,0,5,0,0,0,113611,90,500,2100139,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,15800,-168
0.7,0,bgm_M126,1,0.7,0,94002,1,0.7,101183,-301,2,40004,0,40,0,15900,710100401,0,1.0,-100,71010040,0,99,1,31023,0,100,0,0,0,91002,90,500,2100140,1,-1,0,-20,0.7,140000,1,0,299,0,100,0,100,2,-101
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,1,40004,0,41,333,0,710100411,0,0.7,-100,71010041,0,-1,0,94002,0,5,0,0,0,123583,90,500,2100141,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,16000,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,3,40004,0,42,333,0,710100421,0,0.7,-100,71010042,0,-1,0,94002,0,5,0,0,0,123612,90,500,2100142,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,16100,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,4,40004,0,43,333,0,710100431,0,0.7,-100,71010043,0,-1,0,94002,0,5,0,0,0,113614,90,500,2100143,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,16200,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,2,40004,0,44,333,0,710100441,0,0.7,-100,71010044,0,-1,0,94002,0,5,0,0,0,114222,90,500,2100144,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,16300,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,1,40004,0,45,333,0,710100451,0,0.7,-100,71010045,0,-1,0,94002,0,5,0,0,0,124251,90,500,2100145,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,16400,-168
0.7,0,bgm_M127,30,0.7,0,0,1,0.7,101181,-335,3,40004,0,46,333,0,710100461,0,0.7,-100,71010046,0,-1,0,94002,0,5,0,0,0,114252,90,500,2100146,1,1,0,0,0.7,91002,1,0,166,0,100,0,100,16500,-168
