condition_id,area_id,bg_after_change_id,id,target_type,condition_type
10009106,10009101,0,1,1,1
10009112,10009101,0,2,1,1
10010110,10010101,0,3,1,1
1001901,10019101,0,4,1,2
10021112,10021101,0,5,1,1
10025109,10025101,0,6,1,1
5025001,10025,500810,7,2,3
20009106,20009101,0,8,1,1
20009112,20009101,0,9,1,1
20010110,20010101,0,10,1,1
5042001,10042,501001,12,2,3
2001501,20015101,0,13,1,2
5044001,10044,501031,14,2,3
20016112,20016101,0,15,1,1
5046002,10046,501103,16,2,3
10049109,10049101,0,17,1,1
10066112,10066101,0,19,1,1
5066005,10066,501291,20,2,3
5042001,10069,501001,21,2,3
5044001,10071,501031,22,2,3
5068001,10068,501341,23,2,3
5070004,10070,501353,24,2,3
5070005,10070,500016,25,2,3
5072004,10072,501364,26,2,3
5072006,10072,501365,27,2,3
5046002,10073,501103,28,2,3
5074001,10074,501383,29,2,3
10076112,10076101,0,30,1,1
5076005,10076,505036,31,2,3
5078004,10078,501451,32,2,3
5080005,10080,501463,33,2,3
10082105,10082101,0,34,1,1
10082108,10082102,0,35,1,1
10082111,10082103,0,36,1,1
5082002,10082,501160,37,2,3
5082004,10082,501031,38,2,3
5082005,10082,501483,39,2,3
5084001,10084,500368,40,2,3
5084002,10084,510306,41,2,3
5084003,10084,500039,42,2,3
5085002,10085,500368,43,2,3
5085003,10085,510203,44,2,3
5085004,10085,500272,45,2,3
5085005,10085,501501,46,2,3
5088005,10088,501810,47,2,3
5042001,20025,501001,50,2,3
5090002,10090,501541,51,2,3
5044001,20026,501031,55,2,3
10093112,10093101,0,56,1,1
5066005,10093,501291,57,2,3
5046002,20027,501103,58,2,3
5092001,10092,501031,59,2,3
5092004,10092,501551,60,2,3
5094001,10094,501593,61,2,3
5068001,10095,501341,62,2,3
5025001,20018,500810,67,2,3
5096002,10096,501613,68,2,3
5070004,10097,501353,73,2,3
5070005,10097,500016,74,2,3
5098000,10098,501031,75,2,3
10098104,10098101,0,76,1,1
10098111,10098102,0,77,1,1
5072004,10099,501364,78,2,3
5072006,10099,501365,79,2,3
5100003,10100,500837,80,2,3
5074001,10101,501383,82,2,3
5074001,10101,501383,83,2,3
5102002,10102,501873,84,2,3
10103112,10103101,0,85,1,1
5076005,10103,505036,86,2,3
5108002,10108,501911,88,2,3
5104003,10104,500133,89,2,3
5078004,10105,501451,90,2,3
5110005,10110,501931,93,2,3
5111005,10111,500013,94,2,3
5080005,10107,501463,95,2,3
10109105,10109101,0,96,1,1
10109108,10109102,0,97,1,1
10109111,10109103,0,98,1,1
5082002,10109,501160,99,2,3
5082004,10109,501031,100,2,3
5082005,10109,501483,101,2,3
5084001,10112,500368,103,2,3
5084002,10112,510306,104,2,3
5084003,10112,500039,105,2,3
5085002,10113,500368,106,2,3
5085003,10113,510203,107,2,3
5085004,10113,500272,108,2,3
