param_04,param_01,drama_id,command_id,param_02,param_07,param_03,param_06,command_type,param_05,param_08
-273,1,111,111001,118511,0,202,2,1,-345,wac_215_karin_idle_normal
170,1,111,111002,105811,1,205,2,1,-355,wac_215_idle_joy1
50,1,111,111003,105911,1,202,2,1,-325,wac_215_idle_normal_joy
300,1,111,111004,106011,1,203,2,1,-330,wac_215_idle_arm_crossed
450,1,111,111005,106431,1,204,2,1,-360,wac_215_idle_normal2
"",1,111,111006,"","","","",131,"",""
"",1,112,112001,0,"","","",93,"",""
"",118511,112,112002,wac_215_karin_talk_normal,"",1,0.2,3,"",""
0,vo_wac_220215,112,112003,vo_wac_220215_000,"",0,"",21,"",""
1,118511,112,112004,"【미식전】 여러분,\n와 주셔서 고맙습니다!",0,10,0,11,1,0.5
"",112004,112,112005,"","","","",91,"",""
"",118511,112,112006,wac_215_karin_idle_normal,"",1,0.2,3,"",""
wac_215_talk_normal,105811,112,112007,wac_215_peko_oissu,0.2,0,0.2,3,1,""
0,vo_wac_220215,112,112008,vo_wac_220215_001,"",0,"",21,"",""
1,105811,112,112009,"카린 씨, 안뇽~!\n무슨 일인가요?\n랜드솔 구석으로\n불러내다니.",0,10,0,11,1,0.5
"",112009,112,112010,"","","","",91,"",""
"",105811,112,112011,wac_215_idle_normal,"",1,0.2,3,"",""
"",118511,112,112012,wac_215_karin_talk_normal,"",1,0.2,3,"",""
0,vo_wac_220215,112,112013,vo_wac_220215_002,"",0,"",21,"",""
1,118511,112,112014,"오늘은 여러분에게 부탁하고 싶은\n중요한 의뢰가 있어요.",0,10,0,11,1,0.5
"",112014,112,112015,"","","","",91,"",""
"",118511,112,112016,wac_215_karin_idle_normal,"",1,0.2,3,"",""
wac_215_talk_arm_crossed_loop,106011,112,112017,wac_215_talk_arm_crossed,0,0,0.2,3,1,""
0,vo_wac_220215,112,112018,vo_wac_220215_003,"",0,"",21,"",""
1,106011,112,112019,"중요한 의뢰?\n또 귀찮은 일을 떠넘기려고\n하는 건 아니겠지……",0,10,0,11,1,0.5
"",112019,112,112020,"","","","",91,"",""
"",106011,112,112021,wac_215_idle_arm_crossed,"",1,0.2,3,"",""
"",118511,112,112022,wac_215_karin_talk_normal,"",1,0.2,3,"",""
0,vo_wac_220215,112,112023,vo_wac_220215_004,"",0,"",21,"",""
1,118511,112,112024,"실은 이번에 경관 향상 사업으로\n랜드솔을 둘러싼 벽에\n그림을 그려, 마을을 화려하게 만든다는\n계획을 추진하게 되어서요.",0,10,0,11,1,0.5
"",112024,112,112025,"","","","",91,"",""
"",118511,112,112026,wac_215_karin_idle_normal,"",1,0.2,3,"",""
wac_215_talk_normal,106431,112,112027,wac_215_shefy_humu,0.2,0,0.2,3,1,""
0,vo_wac_220215,112,112028,vo_wac_220215_005,"",0,"",21,"",""
1,106431,112,112029,"랜드솔을 둘러싼 벽에 그림을?\n흐응, 재밌겠네.\n여기에 그리면 되는 걸까?",0,10,0,11,1,0.5
"",112029,112,112030,"","","","",91,"",""
"",106431,112,112031,wac_215_idle_normal2_joy,"",1,0.2,3,"",""
"",118511,112,112032,wac_215_karin_talk_normal,"",1,0.2,3,"",""
0,vo_wac_220215,112,112033,vo_wac_220215_006,"",0,"",21,"",""
1,118511,112,112034,"네. 여기서부터 시작해서,\n랜드솔 벽을 한 바퀴 빙 돌아\n그림으로 가득 채우고 싶어요.",0,10,0,11,1,0.5
"",112034,112,112035,"","","","",91,"",""
"",118511,112,112036,wac_215_karin_idle_normal,"",1,0.2,3,"",""
"",106431,112,112037,wac_215_talk_sad,"",1,0.2,3,"",""
0,vo_wac_220215,112,112038,vo_wac_220215_007,"",0,"",21,"",""
1,106431,112,112039,"뭐? 랜드솔 벽을……\n한 바퀴 빙 돌아?",0,10,0,11,1,0.5
"",112039,112,112040,"","","","",91,"",""
"",106431,112,112041,wac_215_idle_sad,"",1,0.2,3,"",""
"",118511,112,112042,wac_215_karin_talk_wish,"",1,0.2,3,"",""
0,vo_wac_220215,112,112043,vo_wac_220215_008,"",0,"",21,"",""
1,118511,112,112044,"네♪ 랜드솔 전체를\n멋진 그림으로 꾸민다면\n매우 매력적인 마을이 될 것 같지\n않나요?",0,10,0,11,1,0.5
"",112044,112,112045,"","","","",91,"",""
"",118511,112,112046,wac_215_karin_idle_normal,"",1,0.2,3,"",""
"",105911,112,112047,wac_215_coccoro_talk_wish,"",1,0.2,3,"",""
0,vo_wac_220215,112,112048,vo_wac_220215_009,"",0,"",21,"",""
1,105911,112,112049,"그건…… 장대한 계획이군요.\n카린 님.",0,10,0,11,1,0.5
"",112049,112,112050,"","","","",91,"",""
"",105911,112,112051,wac_215_coccoro_idle_wish,"",1,0.2,3,"",""
wac_215_peko_talk_guts2_loop,105811,112,112052,wac_215_peko_talk_guts2,0,0,0.2,3,1,""
0,vo_wac_220215,112,112053,vo_wac_220215_010,"",0,"",21,"",""
1,105811,112,112054,"두근두근해요! 장난 아니네요☆\n그럼, 왕궁에서 근무하는 화가에게\n그림 그리는 법을 가르쳐 달라고 해요♪",0,10,0,11,1,0.5
"",112054,112,112055,"","","","",91,"",""
"",105811,112,112056,wac_215_peko_idle_guts2,"",1,0.2,3,"",""
