command_type,param_01,param_03,command_id,param_08,param_05,param_06,param_04,param_07,drama_id,param_02
1,1,100,1001,taq_karin_idle,-194,1.65,72,1,1,118511
21,vo_minigame_1009,0,1002,"","","",0,"",1,vo_minigame_1009_top_001
11,118511,8,1003,0,0,0,0,0,1,"상품도 준비되어\n있으니 힘내\n주세요♪"
3,118511,1,1004,"","",0.2,"","",1,taq_karin_talk_normal
91,1003,"",1005,"","","","","",1,""
3,118511,1,1006,"","",0.2,"","",1,taq_karin_idle
1,1,100,2001,taq_karin_idle,-194,1.65,72,1,2,118511
21,vo_minigame_1009,0,2002,"","","",0,"",2,vo_minigame_1009_top_002
11,118511,8,2003,0,0,0,0,0,2,"여러분의 지식을\n시험합니다"
3,118511,1,2004,"","",0.2,"","",2,taq_karin_talk_thinking
91,2003,"",2005,"","","","","",2,""
3,118511,1,2006,"","",0.2,"","",2,taq_karin_idle
1,1,100,3001,taq_karin_idle,-194,1.65,72,1,3,118511
21,vo_minigame_1009,0,3002,"","","",0,"",3,vo_minigame_1009_top_003
11,118511,8,3003,0,0,0,0,0,3,"세상에는 아직도\n모르는 것이\n잔뜩 있군요"
3,118511,1,3004,"","",0.2,"","",3,taq_karin_talk_surprise
91,3003,"",3005,"","","","","",3,""
3,118511,1,3006,"","",0.2,"","",3,taq_karin_idle
1,1,100,4001,taq_karin_idle,-194,1.65,72,1,4,118511
21,vo_minigame_1009,0,4002,"","","",0,"",4,vo_minigame_1009_top_004
11,118511,8,4003,0,0,0,0,0,4,"모를 때는\n감에 의지해 봐도\n좋아요"
3,118511,1,4004,"","",0.2,"","",4,taq_karin_talk_normal2
91,4003,"",4005,"","","","","",4,""
3,118511,1,4006,"","",0.2,"","",4,taq_karin_idle
1,1,100,5001,taq_karin_idle,-194,1.65,72,1,5,118511
21,vo_minigame_1009,0,5002,"","","",0,"",5,vo_minigame_1009_top_005
11,118511,7,5003,0,0,0,0,0,5,"사이좋게 힘을 모아서\n모든 문제의 정답을\n목표로 해 주세요♪"
3,118511,1,5004,"","",0.2,"","",5,taq_karin_talk_joy3
91,5003,"",5005,"","","","","",5,""
3,118511,1,5006,"","",0.2,"","",5,taq_karin_idle
