child_enemy_parameter_1,name,child_enemy_parameter_5,child_enemy_parameter_4,child_enemy_parameter_2,child_enemy_parameter_3,enemy_id
401021506,"트윈 피그즈 1단계",0,0,401021507,0,401021505
401021906,"글러튼 1단계",0,0,401021907,401021908,401021905
401022106,"사지타리우스 1단계",0,0,401022107,0,401022105
401022306,"아쿠아 리오스 1단계",0,0,401022307,0,401022305
401025906,"글러튼 1단계 싱글 모드",0,0,401025907,401025908,401025905
401026106,"사지타리우스 1단계 싱글 모드",0,0,401026107,0,401026105
401026306,"아쿠아 리오스 1단계 싱글 모드",0,0,401026307,0,401026305
401031506,"트윈 피그즈 2단계",0,0,401031507,0,401031505
401031906,"글러튼 2단계",0,0,401031907,401031908,401031905
401032106,"사지타리우스 2단계",0,0,401032107,0,401032105
401032306,"아쿠아 리오스 2단계",0,0,401032307,0,401032305
401035906,"글러튼 2단계 싱글 모드",0,0,401035907,401035908,401035905
401036106,"사지타리우스 2단계 싱글 모드",0,0,401036107,0,401036105
401036306,"아쿠아 리오스 2단계 싱글 모드",0,0,401036307,0,401036305
401041506,"트윈 피그즈 3단계",0,0,401041507,0,401041505
401041906,"글러튼 3단계",0,0,401041907,401041908,401041905
401042106,"사지타리우스 3단계",0,0,401042107,0,401042105
401042306,"아쿠아 리오스 3단계",0,0,401042307,0,401042305
401045906,"글러튼 3단계 싱글 모드",0,0,401045907,401045908,401045905
401046106,"사지타리우스 3단계 싱글 모드",0,0,401046107,0,401046105
401046306,"아쿠아 리오스 3단계 싱글 모드",0,0,401046307,0,401046305
401304106,"트라이 로커 1단계",0,0,401304107,401304108,401304104
401304206,"트라이 로커 2단계",0,0,401304207,401304208,401304204
401304306,"트라이 로커 3단계",0,0,401304307,401304308,401304304
401304406,"트라이 로커 4단계",0,0,401304407,401304408,401304404
401304506,"트라이 로커 1단계 싱글 모드",0,0,401304507,401304508,401304504
401304606,"트라이 로커 2단계 싱글 모드",0,0,401304607,401304608,401304604
401304706,"트라이 로커 3단계 싱글 모드",0,0,401304707,401304708,401304704
401305106,"트윈 피그즈 1단계",0,0,401305107,0,401305105
401305206,"트윈 피그즈 2단계",0,0,401305207,0,401305205
401305306,"트윈 피그즈 3단계",0,0,401305307,0,401305305
401305406,"트윈 피그즈 4단계",0,0,401305407,0,401305405
401305506,"트윈 피그즈 1단계 싱글 모드",0,0,401305507,0,401305505
401305606,"트윈 피그즈 2단계 싱글 모드",0,0,401305607,0,401305605
401305706,"트윈 피그즈 3단계 싱글 모드",0,0,401305707,0,401305705
401307106,"타이탄 터틀 1단계",0,0,401307107,0,401307104
401307206,"타이탄 터틀 2단계",0,0,401307207,0,401307204
401307306,"타이탄 터틀 3단계",0,0,401307307,0,401307304
401307406,"타이탄 터틀 4단계",0,0,401307407,0,401307404
401307506,"타이탄 터틀 1단계 싱글 모드",0,0,401307507,0,401307504
401307606,"타이탄 터틀 2단계 싱글 모드",0,0,401307607,0,401307604
401307706,"타이탄 터틀 3단계 싱글 모드",0,0,401307707,0,401307704
401309106,"글러튼 1단계",0,0,401309107,401309108,401309105
401309206,"글러튼 2단계",0,0,401309207,401309208,401309205
401309306,"글러튼 3단계",0,0,401309307,401309308,401309305
401309406,"글러튼 4단계",0,0,401309407,401309408,401309405
401309506,"글러튼 1단계 싱글 모드",0,0,401309507,401309508,401309505
401309606,"글러튼 2단계 싱글 모드",0,0,401309607,401309608,401309605
401309706,"글러튼 3단계 싱글 모드",0,0,401309707,401309708,401309705
401310105,"옵시디언 와이번 1단계",0,0,401310106,401310107,401310104
401310205,"옵시디언 와이번 2단계",0,0,401310206,401310207,401310204
401310305,"옵시디언 와이번 3단계",0,0,401310306,401310307,401310304
401310405,"옵시디언 와이번 4단계",0,0,401310406,401310407,401310404
401310505,"옵시디언 와이번 1단계 싱글 모드",0,0,401310506,401310507,401310504
401310605,"옵시디언 와이번 2단계 싱글 모드",0,0,401310606,401310607,401310604
401310705,"옵시디언 와이번 3단계 싱글 모드",0,0,401310706,401310707,401310704
401311106,"사지타리우스 1단계",0,0,401311107,0,401311105
401311206,"사지타리우스 2단계",0,0,401311207,0,401311205
401311306,"사지타리우스 3단계",0,0,401311307,0,401311305
401311406,"사지타리우스 4단계",0,0,401311407,0,401311405
401311506,"사지타리우스 1단계 싱글 모드",0,0,401311507,0,401311505
401311606,"사지타리우스 2단계 싱글 모드",0,0,401311607,0,401311605
401311706,"사지타리우스 3단계 싱글 모드",0,0,401311707,0,401311705
401312105,"트라이 로커 1단계",0,0,401312106,401312107,401312104
401312205,"트라이 로커 2단계",0,0,401312206,401312207,401312204
401312305,"트라이 로커 3단계",0,0,401312306,401312307,401312304
401312405,"트라이 로커 4단계",0,0,401312406,401312407,401312404
401312505,"트라이 로커 5단계",0,0,401312506,401312507,401312504
401312605,"트라이 로커 1단계 싱글 모드",0,0,401312606,401312607,401312604
401312705,"트라이 로커 2단계 싱글 모드",0,0,401312706,401312707,401312704
401312805,"트라이 로커 3단계 싱글 모드",0,0,401312806,401312807,401312804
401401106,"아쿠아 리오스 1단계",0,0,401401107,0,401401105
401401206,"아쿠아 리오스 2단계",0,0,401401207,0,401401205
401401306,"아쿠아 리오스 3단계",0,0,401401307,0,401401305
401401406,"아쿠아 리오스 4단계",0,0,401401407,0,401401405
401401506,"아쿠아 리오스 5단계",0,0,401401507,0,401401505
401401606,"아쿠아 리오스 1단계 싱글 모드",0,0,401401607,0,401401605
401401706,"아쿠아 리오스 2단계 싱글 모드",0,0,401401707,0,401401705
401401806,"아쿠아 리오스 3단계 싱글 모드",0,0,401401807,0,401401805
401403105,"옵시디언 와이번 1단계",0,0,401403106,401403107,401403104
401403205,"옵시디언 와이번 2단계",0,0,401403206,401403207,401403204
401403305,"옵시디언 와이번 3단계",0,0,401403306,401403307,401403304
401403405,"옵시디언 와이번 4단계",0,0,401403406,401403407,401403404
401403505,"옵시디언 와이번 5단계",0,0,401403506,401403507,401403504
401403605,"옵시디언 와이번 1단계 싱글 모드",0,0,401403606,401403607,401403604
401403705,"옵시디언 와이번 2단계 싱글 모드",0,0,401403706,401403707,401403704
401403805,"옵시디언 와이번 3단계 싱글 모드",0,0,401403806,401403807,401403804
401404105,"타이탄 터틀 1단계",0,0,401404106,0,401404104
401404205,"타이탄 터틀 2단계",0,0,401404206,0,401404204
401404305,"타이탄 터틀 3단계",0,0,401404306,0,401404304
401404405,"타이탄 터틀 4단계",0,0,401404406,0,401404404
401404505,"타이탄 터틀 5단계",0,0,401404506,0,401404504
401404605,"타이탄 터틀 1단계 싱글 모드",0,0,401404606,0,401404604
401404705,"타이탄 터틀 2단계 싱글 모드",0,0,401404706,0,401404704
401404805,"타이탄 터틀 3단계 싱글 모드",0,0,401404806,0,401404804
401405106,"트윈 피그즈 1단계",0,401405109,401405107,401405108,401405105
401405206,"트윈 피그즈 2단계",0,401405209,401405207,401405208,401405205
401405306,"트윈 피그즈 3단계",0,401405309,401405307,401405308,401405305
401405406,"트윈 피그즈 4단계",0,401405409,401405407,401405408,401405405
401405506,"트윈 피그즈 5단계",0,401405509,401405507,401405508,401405505
401405606,"트윈 피그즈 1단계 싱글 모드",0,401405609,401405607,401405608,401405605
401405706,"트윈 피그즈 2단계 싱글 모드",0,401405709,401405707,401405708,401405705
401405806,"트윈 피그즈 3단계 싱글 모드",0,401405809,401405807,401405808,401405805
401406105,"트라이 로커 1단계",0,0,401406106,401406107,401406104
401406205,"트라이 로커 2단계",0,0,401406206,401406207,401406204
401406305,"트라이 로커 3단계",0,0,401406306,401406307,401406304
401406405,"트라이 로커 4단계",0,0,401406406,401406407,401406404
401406505,"트라이 로커 5단계",0,0,401406506,401406507,401406504
401406605,"트라이 로커 1단계 싱글 모드",0,0,401406606,401406607,401406604
401406705,"트라이 로커 2단계 싱글 모드",0,0,401406706,401406707,401406704
401406805,"트라이 로커 3단계 싱글 모드",0,0,401406806,401406807,401406804
401407106,"오를레온 1단계",0,0,401407107,401407108,401407105
401407206,"오를레온 2단계",0,0,401407207,401407208,401407205
401407306,"오를레온 3단계",0,0,401407307,401407308,401407305
401407406,"오를레온 4단계",0,0,401407407,401407408,401407405
401407506,"오를레온 5단계",0,0,401407507,401407508,401407505
401407606,"오를레온 1단계 싱글 모드",0,0,401407607,401407608,401407605
401407706,"오를레온 2단계 싱글 모드",0,0,401407707,401407708,401407705
401407806,"오를레온 3단계 싱글 모드",0,0,401407807,401407808,401407805
401408105,"소드 코브라 1단계",0,0,401408106,401408107,401408104
