id,play_time,text_2,voice_cue_1,face_icon_type,voice_cue_2,action_param,action_type,text_1,priority
1,3000,"컨디션이\n좋아졌어",vo_minigame_1013_icon_1_002_001,2,vo_minigame_1013_icon_2_002_001,1000,2,"훈련은 이제부터\n시작이에요",2
2,3000,"자자,\n아직 더 할 수 있지?",vo_minigame_1013_icon_1_003_001,2,vo_minigame_1013_icon_2_003_001,5000,2,"쿡쿡, 나쁘지 않은\n흐름이네요",2
3,3000,"헤헷, 너희들\n꽤 하잖아!",vo_minigame_1013_icon_1_004_001,3,vo_minigame_1013_icon_2_004_001,10000,2,"훌륭한\n기록이에요",2
4,3000,"우리는 아직\n멈추지 않아!",vo_minigame_1013_icon_1_005_001,3,vo_minigame_1013_icon_2_005_001,10000,3,"아주\n기세가 올랐네요",2
5,3000,"잘 보라고!\n마코토 부대의 쾌진격이다!",vo_minigame_1013_icon_1_005_002,3,vo_minigame_1013_icon_2_005_002,10000,3,"아직 더 갈 수 있어요\n따라오세요",2
6,3000,"우오오옷!\n컨디션 최상이야!",vo_minigame_1013_icon_1_005_003,3,vo_minigame_1013_icon_2_005_003,10000,3,"에리코 부대의\n진가를 발휘하겠어요!",2
7,3000,"어디까지 갈 수 있을지\n기대되네!",vo_minigame_1013_icon_1_006_001,3,vo_minigame_1013_icon_2_006_001,0,4,"여기서부터는\n전인미답의 영역이에요!",2
8,1000,"아직 포기하지 마",vo_minigame_1013_icon_1_007_001,4,vo_minigame_1013_icon_2_007_001,1,5,"성가셨어요…",3
9,1000,"아찔했어…!",vo_minigame_1013_icon_1_007_002,4,vo_minigame_1013_icon_2_007_002,1,5,"방심은 금물이에요",3
10,1000,"약한 소리 하지 마",vo_minigame_1013_icon_1_007_003,4,vo_minigame_1013_icon_2_007_003,1,5,"분해…",3
11,1500,"마코토 부대 집합!",vo_minigame_1013_icon_1_008_001,3,vo_minigame_1013_icon_2_008_001,99,6,"대 인원이네요",4
12,1500,"연계해서 가자!",vo_minigame_1013_icon_1_008_002,3,vo_minigame_1013_icon_2_008_002,99,6,"에리코 부대에 오신 걸 환영해요",4
13,3000,"모두에게 힘을!",vo_minigame_1013_icon_1_020_001,6,vo_minigame_1013_icon_2_020_001,0,8,"나나카에게\n맡기시라",1
14,3000,"맡겨 주게",vo_minigame_1013_icon_1_022_001,7,vo_minigame_1013_icon_2_022_001,0,9,"핫핫하!\n맡겨 줘!",1
15,3000,"그럼, 가실까요",vo_minigame_1013_icon_1_023_001,8,vo_minigame_1013_icon_2_023_001,0,10,"쭉쭉 간다",1
