magic_def,magic_penetrate,resist_variation_id,physical_penetrate,wave_hp_recovery,main_skill_lv_4,unit_id,dodge,magic_str,main_skill_lv_6,energy_reduce_rate,ex_skill_lv_3,energy_recovery_rate,main_skill_lv_3,physical_critical,life_steal,magic_critical,level,enemy_id,main_skill_lv_10,main_skill_lv_9,atk,ex_skill_lv_1,def,hp_recovery_rate,ex_skill_lv_4,union_burst_level,resist_status_id,wave_energy_recovery,main_skill_lv_1,rarity,accuracy,ex_skill_lv_5,main_skill_lv_8,main_skill_lv_5,main_skill_lv_7,hp,main_skill_lv_2,ex_skill_lv_2,promotion_level
3,0,0,0,0,1,200100,1,0,1,0,1,30,1,10,0,10,1,620010001,1,1,24,1,4,0,1,1,200000006,0,1,1,0,1,1,1,1,329,1,1,1
3,0,0,0,0,2,200100,1,0,2,0,2,30,2,10,0,10,2,620010002,2,2,28,2,9,0,2,2,200000006,0,2,1,0,2,2,2,2,338,2,2,1
4,0,0,0,0,3,200100,1,0,3,0,3,30,3,10,0,10,3,620010003,3,3,32,3,5,0,3,3,200000006,0,3,1,0,3,3,3,3,347,3,3,1
4,0,0,0,0,4,200100,1,0,4,0,4,30,4,10,0,10,4,620010004,4,4,32,4,5,0,4,4,200000006,0,4,1,0,4,4,4,4,347,4,4,1
4,0,0,0,0,5,200100,1,0,5,0,5,30,5,10,0,10,5,620010005,5,5,35,5,5,0,5,5,200000006,0,5,1,0,5,5,5,5,349,5,5,1
6,0,0,0,0,6,200100,1,0,6,0,6,30,6,10,0,10,6,620010006,6,6,48,6,7,0,6,6,200000006,0,6,1,0,6,6,6,6,367,6,6,1
7,0,0,0,0,7,200100,1,0,7,0,7,30,7,10,0,10,7,620010007,7,7,55,7,8,0,7,7,200000006,0,7,1,0,7,7,7,7,413,7,7,1
7,0,0,0,0,8,200100,1,0,8,0,8,30,8,10,0,10,8,620010008,8,8,62,8,9,0,8,8,200000006,0,8,1,0,8,8,8,8,459,8,8,1
8,0,0,0,0,9,200100,1,0,9,0,9,30,9,10,0,10,9,620010009,9,9,68,9,9,0,9,9,200000006,0,9,1,0,9,9,9,9,505,9,9,1
9,0,0,0,0,10,200100,1,0,10,0,10,30,10,10,0,10,10,620010010,10,10,75,10,10,0,10,10,200000006,0,10,1,0,10,10,10,10,551,10,10,1
9,0,0,0,0,11,200100,1,0,11,0,11,30,11,10,0,10,11,620010011,11,11,82,11,11,0,11,11,200000006,0,11,1,0,11,11,11,11,598,11,11,1
10,0,0,0,0,12,200100,1,0,12,0,12,30,12,10,0,10,12,620010012,12,12,89,12,12,0,12,12,200000006,0,12,1,0,12,12,12,12,644,12,12,1
11,0,0,0,0,13,200100,1,0,13,0,13,30,13,10,0,10,13,620010013,13,13,95,13,12,0,13,13,200000006,0,13,1,0,13,13,13,13,690,13,13,1
11,0,0,0,0,14,200100,1,0,14,0,14,30,14,10,0,10,14,620010014,14,14,102,14,13,0,14,14,200000006,0,14,1,0,14,14,14,14,736,14,14,1
12,0,0,0,0,15,200100,1,0,15,0,15,30,15,10,0,10,15,620010015,15,15,109,15,14,0,15,15,200000006,0,15,1,0,15,15,15,15,782,15,15,1
12,0,0,0,0,16,200100,1,0,16,0,16,30,16,10,0,10,16,620010016,16,16,123,16,15,0,16,16,200000006,0,16,1,0,16,16,16,16,851,16,16,1
12,0,0,0,0,17,200100,1,0,17,0,17,30,17,10,0,10,17,620010017,17,17,136,17,15,0,17,17,200000006,0,17,1,0,17,17,17,17,919,17,17,1
13,0,0,0,0,18,200100,1,0,18,0,18,30,18,10,0,10,18,620010018,18,18,164,18,15,0,18,18,200000006,0,18,1,0,18,18,18,18,1296,18,18,1
13,0,0,0,0,19,200100,1,0,19,0,19,30,19,10,0,10,19,620010019,19,19,177,19,15,0,19,19,200000006,0,19,1,0,19,19,19,19,1482,19,19,1
13,0,0,0,0,20,200100,1,0,20,0,20,30,20,10,0,10,20,620010020,20,20,186,20,16,0,20,20,200000006,0,20,1,0,20,20,20,20,1563,20,20,1
15,0,0,0,0,21,200100,1,0,21,0,21,30,21,10,0,10,21,620010021,21,21,206,21,18,0,21,21,200000006,0,21,1,0,21,21,21,21,1784,21,21,1
17,0,0,0,0,22,200100,1,0,22,0,22,30,22,10,0,10,22,620010022,22,22,225,22,20,0,22,22,200000006,0,22,1,0,22,22,22,22,2005,22,22,1
18,0,0,0,0,23,200100,1,0,23,0,23,30,23,10,0,10,23,620010023,23,23,245,23,21,0,23,23,200000006,0,23,1,0,23,23,23,23,2225,23,23,1
20,0,0,0,0,24,200100,1,0,24,0,24,30,24,10,0,10,24,620010024,24,24,264,24,23,0,24,24,200000006,0,24,1,0,24,24,24,24,2446,24,24,1
21,0,0,0,0,25,200100,1,0,25,0,25,30,25,10,0,10,25,620010025,25,25,267,25,24,0,25,25,200000006,0,25,1,0,25,25,25,25,2701,25,25,1
21,0,0,0,0,26,200100,1,0,26,0,26,30,26,10,0,10,26,620010026,26,26,269,26,24,0,26,26,200000006,0,26,1,0,26,26,26,26,2956,26,26,1
21,0,0,0,0,27,200100,1,0,27,0,27,30,27,10,0,10,27,620010027,27,27,289,27,24,0,27,27,200000006,0,27,1,0,27,27,27,27,3211,27,27,1
21,0,0,0,0,28,200100,1,0,28,0,28,30,28,10,0,10,28,620010028,28,28,309,28,25,0,28,28,200000006,0,28,1,0,28,28,28,28,3466,28,28,1
22,0,0,0,0,29,200100,1,0,29,0,29,30,29,10,0,10,29,620010029,29,29,330,29,25,0,29,29,200000006,0,29,1,0,29,29,29,29,3721,29,29,1
22,0,0,0,0,30,200100,1,0,30,0,30,30,30,10,0,10,30,620010030,30,30,350,30,25,0,30,30,200000006,0,30,1,0,30,30,30,30,3976,30,30,1
22,0,0,0,0,31,200100,1,0,31,0,31,30,31,10,0,10,31,620010031,31,31,370,31,26,0,31,31,200000006,0,31,1,0,31,31,31,31,4232,31,31,1
22,0,0,0,0,32,200100,1,0,32,0,32,30,32,10,0,10,32,620010032,32,32,390,32,26,0,32,32,200000006,0,32,1,0,32,32,32,32,4487,32,32,1
22,0,0,0,0,33,200100,1,0,33,0,33,30,33,10,0,10,33,620010033,33,33,410,33,26,0,33,33,200000006,0,33,1,0,33,33,33,33,4742,33,33,1
23,0,0,0,0,34,200100,1,0,34,0,34,30,34,10,0,10,34,620010034,34,34,431,34,26,0,34,34,200000006,0,34,1,0,34,34,34,34,4997,34,34,1
23,0,0,0,0,35,200100,1,0,35,0,35,30,35,10,0,10,35,620010035,35,35,451,35,27,0,35,35,200000006,0,35,1,0,35,35,35,35,5252,35,35,1
23,0,0,0,0,36,200100,1,0,36,0,36,30,36,10,0,10,36,620010036,36,36,471,36,27,0,36,36,200000006,0,36,1,0,36,36,36,36,5507,36,36,1
27,0,0,0,0,37,200100,1,0,37,0,37,30,37,10,0,10,37,620010037,37,37,516,37,31,0,37,37,200000006,0,37,1,0,37,37,37,37,5667,37,37,1
31,0,0,0,0,38,200100,1,0,38,0,38,30,38,10,0,10,38,620010038,38,38,562,38,35,0,38,38,200000006,0,38,1,0,38,38,38,38,5826,38,38,1
35,0,0,0,0,39,200100,1,0,39,0,39,30,39,10,0,10,39,620010039,39,39,607,39,39,0,39,39,200000006,0,39,1,0,39,39,39,39,5986,39,39,1
36,0,0,0,0,40,200100,1,0,40,0,40,30,40,10,0,10,40,620010040,40,40,712,40,40,0,40,40,200000006,0,40,1,0,40,40,40,40,7437,40,40,1
36,0,0,0,0,41,200100,1,0,41,0,41,30,41,10,0,10,41,620010041,41,41,816,41,40,0,41,41,200000006,0,41,1,0,41,41,41,41,8888,41,41,1
36,0,0,0,0,42,200100,1,0,42,0,42,30,42,10,0,10,42,620010042,42,42,913,42,41,0,42,42,200000006,0,42,1,0,42,42,42,42,9321,42,42,1
36,0,0,0,0,43,200100,1,0,43,0,43,30,43,10,0,10,43,620010043,43,43,1010,43,41,0,43,43,200000006,0,43,1,0,43,43,43,43,9754,43,43,1
38,0,0,0,0,44,200100,1,0,44,0,44,30,44,10,0,10,44,620010044,44,44,1079,44,45,0,44,44,200000006,0,44,1,0,44,44,44,44,10008,44,44,1
41,0,0,0,0,45,200100,1,0,45,0,45,30,45,10,0,10,45,620010045,45,45,1148,45,49,0,45,45,200000006,0,45,1,0,45,45,45,45,10263,45,45,1
43,0,0,0,0,46,200100,1,0,46,0,46,30,46,10,0,10,46,620010046,46,46,1217,46,53,0,46,46,200000006,0,46,1,0,46,46,46,46,10517,46,46,1
45,0,0,0,0,47,200100,1,0,47,0,47,30,47,10,0,10,47,620010047,47,47,1286,47,57,0,47,47,200000006,0,47,1,0,47,47,47,47,10771,47,47,1
48,0,0,0,0,48,200100,1,0,48,0,48,30,48,10,0,10,48,620010048,48,48,1355,48,61,0,48,48,200000006,0,48,1,0,48,48,48,48,11026,48,48,1
50,0,0,0,0,49,200100,1,0,49,0,49,30,49,10,0,10,49,620010049,49,49,1424,49,65,0,49,49,200000006,0,49,1,0,49,49,49,49,11280,49,49,1
52,0,0,0,0,50,200100,1,0,50,0,50,30,50,10,0,10,50,620010050,50,50,1493,50,69,0,50,50,200000006,0,50,1,0,50,50,50,50,11534,50,50,1
