get_gold_count,goldset_odds_3,use_jewel_count,additional_gold_max_rate,id,goldset_odds_2,goldset_odds_1,additional_gold_min_rate,buy_count
12000,90043,10,30000,1,0,90001,10000,1
24000,90047,20,30000,2,0,90002,10000,2
24000,90047,20,30000,3,0,90002,10000,3
24000,90047,20,30000,4,0,90002,10000,4
24000,90047,20,30000,5,0,90002,10000,5
24000,90047,20,30000,6,0,90002,10000,6
24000,90047,20,30000,7,0,90002,10000,7
24000,90047,20,30000,8,0,90002,10000,8
24000,90047,20,30000,9,0,90002,10000,9
24000,90047,20,30000,10,0,90002,10000,10
48000,90051,40,30000,11,90011,90003,10000,11
48000,90051,40,30000,12,90011,90003,10000,12
48000,90051,40,30000,13,90011,90003,10000,13
48000,90051,40,30000,14,90011,90003,10000,14
48000,90051,40,30000,15,90011,90003,10000,15
48000,90051,40,30000,16,90011,90003,10000,16
48000,90051,40,30000,17,90011,90003,10000,17
48000,90051,40,30000,18,90011,90003,10000,18
48000,90051,40,30000,19,90011,90003,10000,19
48000,90051,40,30000,20,90011,90003,10000,20
72000,90055,60,30000,21,90015,90004,10000,21
72000,90055,60,30000,22,90015,90004,10000,22
72000,90055,60,30000,23,90015,90004,10000,23
72000,90055,60,30000,24,90015,90004,10000,24
72000,90055,60,30000,25,90015,90004,10000,25
72000,90055,60,30000,26,90015,90004,10000,26
72000,90055,60,30000,27,90015,90004,10000,27
72000,90055,60,30000,28,90015,90004,10000,28
72000,90055,60,30000,29,90015,90004,10000,29
72000,90055,60,30000,30,90015,90004,10000,30
96000,90059,80,30000,31,90015,90005,10000,31
96000,90059,80,30000,32,90015,90005,10000,32
96000,90059,80,30000,33,90015,90005,10000,33
96000,90059,80,30000,34,90015,90005,10000,34
96000,90059,80,30000,35,90015,90005,10000,35
96000,90059,80,30000,36,90015,90005,10000,36
96000,90059,80,30000,37,90015,90005,10000,37
96000,90059,80,30000,38,90015,90005,10000,38
96000,90059,80,30000,39,90015,90005,10000,39
96000,90059,80,30000,40,90015,90005,10000,40
144000,90063,120,30000,41,90017,90005,10000,41
144000,90063,120,30000,42,90017,90005,10000,42
144000,90063,120,30000,43,90017,90005,10000,43
144000,90063,120,30000,44,90017,90005,10000,44
144000,90063,120,30000,45,90017,90005,10000,45
144000,90063,120,30000,46,90017,90005,10000,46
144000,90063,120,30000,47,90017,90005,10000,47
144000,90063,120,30000,48,90017,90005,10000,48
144000,90063,120,30000,49,90017,90005,10000,49
144000,90063,120,30000,50,90017,90005,10000,50
180000,90067,150,30000,51,90019,90006,10000,51
180000,90067,150,30000,52,90019,90006,10000,52
180000,90067,150,30000,53,90019,90006,10000,53
180000,90067,150,30000,54,90019,90006,10000,54
180000,90067,150,30000,55,90019,90006,10000,55
180000,90067,150,30000,56,90019,90006,10000,56
180000,90067,150,30000,57,90019,90006,10000,57
180000,90067,150,30000,58,90019,90006,10000,58
180000,90067,150,30000,59,90019,90006,10000,59
180000,90067,150,30000,60,90019,90006,10000,60
216000,90071,180,30000,61,90021,90007,10000,61
216000,90071,180,30000,62,90021,90007,10000,62
216000,90071,180,30000,63,90021,90007,10000,63
216000,90071,180,30000,64,90021,90007,10000,64
216000,90071,180,30000,65,90021,90007,10000,65
216000,90071,180,30000,66,90021,90007,10000,66
216000,90071,180,30000,67,90021,90007,10000,67
216000,90071,180,30000,68,90021,90007,10000,68
216000,90071,180,30000,69,90021,90007,10000,69
216000,90071,180,30000,70,90021,90007,10000,70
