sub_title,arcade_id,story_id
"카오리와 해변에서 대특훈!",1003,5021700
"인사로 시작해 인사로 끝난다",1003,5021701
"자신의 한계에 도전하라",1003,5021710
"진짜가 제일",1003,5021711
"다시 한번, 엘피스 섬으로!",1004,5027700
"격렬해지는 싸움",1004,5027701
"비장의 인물 등장",1004,5027702
"싸움의 결과……",1004,5027703
"더 높은 곳으로!",1004,5027704
"치즈를 지키자!",1005,5040700
"조그만 적과의 공방",1005,5040701
"치즈의 유혹",1005,5040702
"움트는 애정?",1005,5040703
"노동은 계속된다 어디까지나",1005,5040704
"궁극으로의 길",1008,5080700
"푸딩은 계속된다, 어디까지나",1008,5080701
"바캉스는 끝나지 않아",1010,5096700
"경쟁하고, 서로 이해하는 인연",1010,5096701
"가르쳐 줘, 캬루 선생님",1012,5126700
"새콤달콤한 건 누구 탓?",1012,5126701
"공부 따위 정말 싫어…?",1012,5126702
"연필 100자루분의 청춘",1012,5126703
"공부할 줄 아는 부류의 여자!",1012,5126710
"효과 너무 대박이라 웃겨",1012,5126711
"좋아하는 일은 잘하기 마련?",1012,5126712
"풀리지 않는 이상함",1012,5126713
"더 높은 곳을 향해",1013,5142700
"한계에 대한 도전",1013,5142701
"멋진 우정",1013,5142702
"전차 배틀 대회, 개막!",1014,5156700
"끝없이 이어지는 투쟁의 주로",1014,5156701
"정답을 목표로 일치단결!",1009,9004201
