condition_boss_id,reward_count,omp_story_id,is_readable_on_result,story_seq,sub_title,condition_quest_id,event_id,reward_type,reward_id
0,0,7001,0,1,"우즈키와 린의 메모리",10062103,10062,0,0
0,0,7002,0,2,"뉴 제네레이션즈의 메모리",10062107,10062,0,0
0,0,7003,0,4,"우즈키와 미오의 메모리",10062107,10062,0,0
0,0,7004,0,6,"미식전의 메모리",10062111,10062,0,0
0,0,7005,0,7,"린과 미오의 메모리",10062111,10062,0,0
0,0,7006,0,8,"뉴 제네레이션즈의 메모리",10062111,10062,0,0
0,0,7007,0,9,"뉴 제네레이션즈와 미식전의 메모리",10062115,10062,0,0
0,0,7008,0,10,"미식전의 메모리",10062115,10062,0,0
0,0,7009,0,14,"뉴 제네레이션즈와 미식전의 메모리",10063111,10063,0,0
0,0,7102,0,3,"뉴 제네레이션즈의 메모리",10062107,10062,0,0
0,0,7103,0,5,"미식전의 메모리",10062107,10062,0,0
0,0,7104,0,11,"뉴 제네레이션즈와 미식전의 메모리",10062115,10062,0,0
0,0,7105,0,12,"뉴 제네레이션즈와 미식전의 메모리",10063111,10063,0,0
0,0,7106,0,13,"뉴 제네레이션즈와 미식전의 메모리",10063111,10063,0,0
0,1,7201,1,15,"",10062103,10062,7,2405
