fix_reward_id_2,damage_rank_id_5,damage_rank_id_4,wave_group_id_1,score_coefficient_3,map_bg,fix_reward_id_4,score_coefficient_4,wave_group_id_5,lap_num_from,damage_rank_id_3,score_coefficient_2,lap_num_to,score_coefficient_1,id,score_coefficient_5,boss_id_1,param_adjust_id,damage_rank_id_2,limited_mana,difficulty,aura_effect,rsl_unlock_lap,boss_id_2,boss_id_3,wave_group_id_3,wave_group_id_4,reward_gold_coefficient,boss_id_4,phase,fix_reward_id_3,param_adjust_interval,fix_reward_id_5,fix_reward_id_1,clan_battle_id,damage_rank_id_1,last_attack_reward_id,wave_group_id_2,boss_id_5
1001102,1001205,1001204,401010011,1.1,710011,1001104,1.1,401010051,1,1001203,1.0,1,1.0,1,1.2,10010101,0,1001202,100000,1,1,1,10010102,10010103,401010031,401010041,0.03,10010104,1,1001103,0,1001105,1001101,1001,1001201,1001301,401010021,10010105
1001107,1001210,1001209,401010011,1.5,710011,1001109,1.7,401010051,2,1001208,1.2,-1,1.2,2,2.0,10010101,0,1001207,100000,1,2,1,10010102,10010103,401010031,401010041,0.06,10010104,1,1001108,0,1001110,1001106,1001,1001206,1001303,401010021,10010105
1002102,1002205,1002204,401020011,1.1,710021,1002104,1.1,401020051,1,1002203,1.0,1,1.0,3,1.2,10020101,0,1002202,100000,1,1,1,10020102,10020103,401020031,401020041,0.03,10020104,1,1002103,0,1002105,1002101,1002,1002201,1001301,401020021,10020105
1002107,1002210,1002209,401020061,1.5,710021,1002109,1.7,401020101,2,1002208,1.2,-1,1.2,4,2.0,10020101,0,1002207,100000,1,2,1,10020102,10020103,401020081,401020091,0.06,10020104,1,1002108,0,1002110,1002106,1002,1002206,1001303,401020071,10020105
1003102,1003205,1003204,401030011,1.1,710031,1003104,1.1,401030051,1,1003203,1.0,1,1.0,5,1.2,10030101,0,1003202,100000,1,1,1,10030102,10030103,401030031,401030041,0.03,10030104,1,1003103,0,1003105,1003101,1003,1003201,1001301,401030021,10030105
1003107,1003210,1003209,401030061,1.5,710031,1003109,1.7,401030101,2,1003208,1.2,-1,1.2,6,2.0,10030101,0,1003207,100000,1,2,1,10030102,10030103,401030081,401030091,0.06,10030104,1,1003108,0,1003110,1003106,1003,1003206,1001303,401030071,10030105
1004102,1004205,1004204,401040011,1.1,710041,1004104,1.1,401040051,1,1004203,1.0,1,1.0,7,1.2,10040101,0,1004202,100000,1,1,1,10040102,10040103,401040031,401040041,0.03,10040104,1,1004103,0,1004105,1004101,1004,1004201,1001301,401040021,10040105
1004107,1004210,1004209,401040061,1.5,710041,1004109,1.7,401040101,2,1004208,1.2,-1,1.2,8,2.0,10040101,0,1004207,100000,1,2,1,10040102,10040103,401040081,401040091,0.06,10040104,1,1004108,0,1004110,1004106,1004,1004206,1001303,401040071,10040105
1004102,1004205,1004204,401040111,1.1,710051,1004104,1.1,401040151,1,1004203,1.0,1,1.0,9,1.2,10050101,0,1004202,100000,1,1,1,10050102,10050103,401040131,401040141,0.03,10050104,1,1004103,0,1004105,1004101,1005,1004201,1001301,401040121,10050105
1004107,1004210,1004209,401040161,1.5,710051,1004109,1.7,401040201,2,1004208,1.2,-1,1.2,10,2.0,10050101,0,1004207,100000,1,2,1,10050102,10050103,401040181,401040191,0.06,10050104,1,1004108,0,1004110,1004106,1005,1004206,1001303,401040171,10050105
1004102,1004205,1004204,401040211,1.3,710061,1004104,1.3,401040251,1,1004203,1.0,1,1.0,11,1.5,10060101,0,1004202,100000,1,1,1,10060102,10060103,401040231,401040241,0.03,10060104,1,1004103,0,1004105,1004101,1006,1004201,1001301,401040221,10060105
1004107,1004210,1004209,401040261,1.8,710061,1004109,1.8,401040301,2,1004208,1.3,-1,1.3,12,2.0,10060101,0,1004207,100000,1,2,1,10060102,10060103,401040281,401040291,0.06,10060104,1,1004108,0,1004110,1004106,1006,1004206,1001303,401040271,10060105
1004102,1004205,1004204,401040311,1.3,710071,1004104,1.3,401040351,1,1004203,1.0,1,1.0,13,1.5,10070101,0,1004202,100000,1,1,1,10070102,10070103,401040331,401040341,0.03,10070104,1,1004103,0,1004105,1004101,1007,1004201,1001301,401040321,10070105
1004107,1004210,1004209,401040361,1.8,710071,1004109,1.8,401040401,2,1004208,1.3,-1,1.3,14,2.0,10070101,0,1004207,100000,1,2,1,10070102,10070103,401040381,401040391,0.06,10070104,1,1004108,0,1004110,1004106,1007,1004206,1001303,401040371,10070105
1004102,1004205,1004204,401040411,1.3,710081,1004104,1.3,401040451,1,1004203,1.0,1,1.0,15,1.5,10080101,0,1004202,100000,1,1,1,10080102,10080103,401040431,401040441,0.03,10080104,1,1004103,0,1004105,1004101,1008,1004201,1001301,401040421,10080105
1004107,1004210,1004209,401040461,1.8,710081,1004109,1.8,401040501,2,1004208,1.3,-1,1.3,16,2.0,10080101,0,1004207,100000,1,2,1,10080102,10080103,401040481,401040491,0.06,10080104,1,1004108,0,1004110,1004106,1008,1004206,1001303,401040471,10080105
1004102,1004205,1004204,401040511,1.3,710091,1004104,1.3,401040551,1,1004203,1.0,1,1.0,17,1.5,10090101,0,1004202,100000,1,1,1,10090102,10090103,401040531,401040541,0.03,10090104,1,1004103,0,1004105,1004101,1009,1004201,1001301,401040521,10090105
1004107,1004210,1004209,401040561,1.8,710091,1004109,1.8,401040601,2,1004208,1.4,5,1.4,18,2.0,10090101,0,1004207,100000,1,2,1,10090102,10090103,401040581,401040591,0.06,10090104,1,1004108,0,1004110,1004106,1009,1004206,1001303,401040571,10090105
1004102,1004205,1004204,401040611,2.5,710091,1004104,2.5,401040651,6,1004203,2.0,-1,2.0,19,3.0,10090101,0,1004202,100000,1,2,1,10090102,10090103,401040631,401040641,0.06,10090104,1,1004103,0,1004105,1004101,1009,1004201,1001303,401040621,10090105
1004107,1004210,1004209,401011001,1.3,710101,1004109,1.3,401011005,1,1004208,1.0,3,1.0,20,1.5,10100101,0,1004207,100000,1,1,1,10100102,10100103,401011003,401011004,0.03,10100104,1,1004108,0,1004110,1004106,1010,1004206,1001301,401011002,10100105
1004102,1004205,1004204,401021001,1.8,710101,1004104,1.8,401021005,4,1004203,1.4,10,1.4,21,2.0,10100101,0,1004202,100000,1,2,1,10100102,10100103,401021003,401021004,0.06,10100104,1,1004103,0,1004105,1004101,1010,1004201,1001303,401021002,10100105
1004107,1004210,1004209,401031001,2.5,710101,1004109,2.5,401031005,11,1004208,2.0,-1,2.0,22,3.0,10100101,0,1004207,100000,1,2,1,10100102,10100103,401031003,401031004,0.06,10100104,1,1004108,0,1004110,1004106,1010,1004206,1001303,401031002,10100105
1004102,1004205,1004204,401040661,1.3,710111,1004104,1.3,401040701,1,1004203,1.0,1,1.0,23,1.5,10110101,0,1004202,100000,1,1,2,10110102,10110103,401040681,401040691,0.03,10110104,1,1004103,0,1004105,1004101,1011,1004201,1001301,401040671,10110105
1004107,1004210,1004209,401040661,1.3,710111,1004109,1.3,401040701,2,1004208,1.0,3,1.0,24,1.5,10110101,0,1004207,100000,1,1,2,10110102,10110103,401040681,401040691,0.03,10110104,1,1004108,0,1004110,1004106,1011,1004206,1001303,401040671,10110105
1004102,1004205,1004204,401040711,1.8,710111,1004104,1.8,401040751,4,1004203,1.4,10,1.4,25,2.0,10110101,0,1004202,100000,1,2,5,10110102,10110103,401040731,401040741,0.06,10110104,2,1004103,0,1004105,1004101,1011,1004201,1001303,401040721,10110105
1004107,1004210,1004209,401040761,2.5,710111,1004109,2.5,401040801,11,1004208,2.0,-1,2.0,26,3.0,10110101,0,1004207,100000,1,2,12,10110102,10110103,401040781,401040791,0.06,10110104,3,1004108,0,1004110,1004106,1011,1004206,1001303,401040771,10110105
1004102,1004205,1004204,401040811,1.3,710121,1004104,1.3,401040851,1,1004203,1.0,1,1.0,27,1.5,10120101,0,1004202,100000,1,1,2,10120102,10120103,401040831,401040841,0.03,10120104,1,1004103,0,1004105,1004101,1012,1004201,1001301,401040821,10120105
1004107,1004210,1004209,401040811,1.3,710121,1004109,1.3,401040851,2,1004208,1.0,3,1.0,28,1.5,10120101,0,1004207,100000,1,1,2,10120102,10120103,401040831,401040841,0.03,10120104,1,1004108,0,1004110,1004106,1012,1004206,1001303,401040821,10120105
1004102,1004205,1004204,401040861,1.8,710121,1004104,1.8,401040901,4,1004203,1.4,10,1.4,29,2.0,10120101,0,1004202,100000,1,2,5,10120102,10120103,401040881,401040891,0.06,10120104,2,1004103,0,1004105,1004101,1012,1004201,1001303,401040871,10120105
1004107,1004210,1004209,401040911,2.5,710121,1004109,2.5,401040951,11,1004208,2.0,-1,2.0,30,3.0,10120101,0,1004207,100000,1,2,12,10120102,10120103,401040931,401040941,0.06,10120104,3,1004108,0,1004110,1004106,1012,1004206,1001303,401040921,10120105
1004102,1004205,1004204,401040961,1.3,710011,1004104,1.3,401041001,1,1004203,1.0,1,1.0,31,1.5,10130101,0,1004202,100000,1,1,2,10130102,10130103,401040981,401040991,0.03,10130104,1,1004103,0,1004105,1004101,1013,1004201,1001301,401040971,10130105
1004107,1004210,1004209,401040961,1.3,710011,1004109,1.3,401041001,2,1004208,1.0,3,1.0,32,1.5,10130101,0,1004207,100000,1,1,2,10130102,10130103,401040981,401040991,0.03,10130104,1,1004108,0,1004110,1004106,1013,1004206,1001303,401040971,10130105
1004102,1004205,1004204,401041011,1.8,710011,1004104,1.8,401041051,4,1004203,1.4,10,1.4,33,2.0,10130101,0,1004202,100000,1,2,5,10130102,10130103,401041031,401041041,0.06,10130104,2,1004103,0,1004105,1004101,1013,1004201,1001303,401041021,10130105
1004107,1004210,1004209,401041061,2.5,710011,1004109,2.5,401041101,11,1004208,2.0,-1,2.0,34,3.0,10130101,0,1004207,100000,1,2,12,10130102,10130103,401041081,401041091,0.06,10130104,3,1004108,0,1004110,1004106,1013,1004206,1001303,401041071,10130105
1004102,1004205,1004204,401041061,1.3,710021,1004104,1.3,401041101,1,1004203,1.0,1,1.0,35,1.5,10140101,0,1004202,100000,1,1,2,10140102,10140103,401041081,401041091,0.03,10140104,1,1004103,0,1004105,1004101,1014,1004201,1001301,401041071,10140105
1004107,1004210,1004209,401041111,1.3,710021,1004109,1.3,401041151,2,1004208,1.0,3,1.0,36,1.5,10140101,0,1004207,100000,1,1,2,10140102,10140103,401041131,401041141,0.03,10140104,1,1004108,0,1004110,1004106,1014,1004206,1001303,401041121,10140105
1004102,1004205,1004204,401041161,1.8,710021,1004104,1.8,401041201,4,1004203,1.4,10,1.4,37,2.0,10140101,0,1004202,100000,1,2,5,10140102,10140103,401041181,401041191,0.06,10140104,2,1004103,0,1004105,1004101,1014,1004201,1001303,401041171,10140105
1004107,1004210,1004209,401041211,2.5,710021,1004109,2.5,401041251,11,1004208,2.0,-1,2.0,38,3.0,10140101,0,1004207,100000,1,2,12,10140102,10140103,401041231,401041241,0.06,10140104,3,1004108,0,1004110,1004106,1014,1004206,1001303,401041221,10140105
