command_type,param_02,param_07,param_08,param_06,command_id,param_05,param_03,drama_id,param_01,param_04
1,129811,1,drama_idle,1.65,1001,-224,100,1,1,167
1,129911,0,drama_idle,1.65,1002,-224,100,1,1,-49
3,drama_idle,"","",0.2,1003,"",1,1,129811,""
3,drama_talk_arm_crossed_in,0,"",0.2,1004,1,0,1,129911,drama_talk_arm_crossed_loop
21,vo_minigame_1013_top_talk_1_000,"","","",1005,"",0,1,vo_minigame_1013,0
11,"마물이 끝없이\n솟아난다면,\n싸울 상대가 끊이지 않겠어요\n오히려 안성맞춤이네요",0,0,0,1006,0,6,1,129911,1
91,"","","","",1007,"","",1,0,""
3,drama_idle_arm_crossed,"","",0.2,1008,"",1,1,129911,""
3,drama_talk_doya_in_smile,0,"",0.2,1009,1,0,1,129811,drama_talk_doya_loop_smile
21,vo_minigame_1013_top_talk_1_001,"","","",1010,"",0,1,vo_minigame_1013,0
11,"하핫…\n그런 취급을 당한다면\n마물도 조금 불쌍하게\n느껴지네~",0,0.3,0,1011,0,6,1,129811,1
91,"","","","",1012,"","",1,0,""
3,drama_idle_arm_crossed,"","",0.2,1013,"",1,1,129811,""
3,drama_talk_smile_in,0,"",0.2,1014,1,0,1,129911,drama_talk_smile_loop
21,vo_minigame_1013_top_talk_1_002,"","","",1015,"",0,1,vo_minigame_1013,0
11,"훈련의 양식이 될 수 있다면\n그들도 영광이겠죠\n쿡쿡… 기쁨의 목소리가\n들려오는 것 같아요",0,0.5,0,1016,0,5,1,129911,1
91,"","","","",1017,"","",1,0,""
3,drama_idle,"","",0.2,1018,"",1,1,129911,""
3,drama_idle,"","",0.2,1019,"",1,1,129811,""
1,129811,1,drama_idle,1.65,2001,-224,100,2,1,167
1,129911,0,drama_idle,1.65,2002,-224,100,2,1,-49
3,drama_idle,"","",0.2,2003,"",1,2,129911,""
3,drama_talk_admire_in,"","",0.2,2004,1,0,2,129811,drama_talk_admire_loop
21,vo_minigame_1013_top_talk_2_000,"","","",2005,"",0,2,vo_minigame_1013,0
11,"이렇게 병사가 많이\n모여 있으니 장관인걸\n훈련병이라고는 생각할 수 없는\n박력이 있어",0,0.5,0,2006,0,7,2,129811,1
91,"","","","",2007,"","",2,0,""
3,drama_idle_admire,"","",0.2,2008,"",1,2,129811,""
3,drama_talk_arm_crossed_in,"","",0.2,2009,1,0,2,129911,drama_talk_arm_crossed_loop
21,vo_minigame_1013_top_talk_2_001,"","","",2010,"",0,2,vo_minigame_1013,0
11,"그런 그들을 복종시키고\n교육하는 것이 바로 저희…\n기대에 부응해, 전력으로\n가르쳐 주죠",0,0.3,0,2011,0,5,2,129911,1
91,"","","","",2012,"","",2,0,""
3,drama_idle_arm_crossed,"","",0.2,2013,"",1,2,129911,""
3,drama_talk_guts2_in,"","",0.2,2014,1,0,2,129811,drama_talk_guts2_loop
21,vo_minigame_1013_top_talk_2_002,"","","",2015,"",0,2,vo_minigame_1013,0
11,"에리코의 교관 차림도\n정말 찰떡같이 어울리네\n좋~았어, 나도\n지고 있을 수 없지!",0,0.3,0,2016,0,8,2,129811,1
91,"","","","",2017,"","",2,0,""
3,drama_idle,"","",0.2,2018,"",1,2,129811,""
3,drama_idle,"","",0.2,2019,"",1,2,129911,""
1,129811,1,drama_idle,1.65,3001,-224,100,3,1,167
