param_05,drama_id,param_04,param_01,param_06,command_id,command_type,param_07,param_02,param_03,param_08
-175,1,64,1,1.65,1010001,1,1,113511,100,pkb_idle_normal
"",1,"",113511,0.2,1010002,3,"",pkb_talk_wish,1,""
"",1,0,vo_minigame_1006,"",1010003,21,"",vo_minigame_1006_top_101,0,""
0,1,0,113511,0,1010004,11,0,"오늘도 선생님과 함께\n힘내자~",8,0
"",1,"",0,"",1010005,91,"","","",""
"",1,"",113511,0.2,1010006,3,"",pkb_idle_normal,1,""
-175,2,64,1,1.65,1020001,1,1,113511,100,pkb_idle_normal
"",2,"",113511,0.2,1020002,3,"",pkb_talk_wish,1,""
"",2,0,vo_minigame_1006,"",1020003,21,"",vo_minigame_1006_top_102,0,""
0,2,0,113511,0,1020004,11,0,"모두의 힘, 선생님은\n믿고 있으니까~!\n파이팅이에요~♪",6,0.5
"",2,"",6,"",1020005,93,"","","",""
1,2,pkb_idle_normal,113511,0.2,1020006,3,"",pkb_talk_fun,0,""
"",2,"",1020004,"",1020007,91,"","","",""
"",2,"",113511,0.2,1020008,3,"",pkb_idle_normal,1,""
-175,3,64,1,1.65,1030001,1,1,113511,100,pkb_idle_normal
1,3,pkb_idle_normal,113511,0.2,1030002,3,0.2,pkb_smile,0,""
"",3,0,vo_minigame_1006,"",1030003,21,"",vo_minigame_1006_top_103,0,""
0,3,0,113511,0,1030004,11,0,"부상은 조심하렴\n무리는 금물이에요~♪",6,0
"",3,"",2,"",1030005,93,"","","",""
"",3,"",113511,0.2,1030006,3,"",pkb_talk_wish,1,""
"",3,"",1030004,"",1030007,91,"","","",""
"",3,"",113511,0.2,1030008,3,"",pkb_idle_normal,1,""
-155,4,64,3,57,1040001,5,1,3,100,pkb_idle_normal_l
1,4,pkb_idle_arm_crossed_l,3,0.2,1040002,3,0.2,pkb_talk_arm_crossed_l,0,""
"",4,0,vo_minigame_1006,"",1040003,21,"",vo_minigame_1006_top_601,0,""
0,4,0,3,0,1040004,11,"","오늘 연습도\n안 봐줘!\n제대로 쫓아와!",8,0
"",4,"",0,"",1040005,91,"","","",""
"",4,"",3,0.2,1040006,3,"",pkb_idle_normal_l,1,""
-155,5,64,3,57,1050001,5,1,3,100,pkb_idle_normal_l
1,5,pkb_idle_arm_crossed_l,3,0.2,1050002,3,0.2,pkb_talk_arm_crossed_l,0,""
"",5,0,vo_minigame_1006,"",1050003,21,"",vo_minigame_1006_top_602,0,""
0,5,0,3,0,1050004,11,"","좋았어~!\n정신 차리고\n연습하는 거다~!",8,0
"",5,"",2,"",1050005,93,"","","",""
1,5,pkb_idle_normal_l,3,0.2,1050006,3,0.2,pkb_talk_handsup_l,0,""
"",5,"",1050004,"",1050007,91,"","","",""
"",5,"",3,0.2,1050008,3,"",pkb_idle_normal_l,1,""
-155,6,64,3,57,1060001,5,1,3,100,pkb_idle_normal_l
1,6,pkb_idle_arm_crossed_l,3,0.2,1060002,3,0.2,pkb_talk_arm_crossed_l,0,""
"",6,0,vo_minigame_1006,"",1060003,21,"",vo_minigame_1006_top_603,0,""
0,6,0,3,0,1060004,11,"","연습이라고\n꼴사나운 모습\n보여주지 말라고?",8,0
"",6,"",3,"",1060005,93,"","","",""
1,6,pkb_idle_guts_l,3,0.2,1060006,3,"",pkb_talk_guts_l,0,""
"",6,"",1060004,"",1060007,91,"","","",""
"",6,"",3,0.2,1060008,3,"",pkb_idle_normal_l,1,""
-175,7,64,1,1.65,1070001,1,1,113411,100,pkb_idle_normal
1,7,pkb_talk_joy1,113411,0.2,1070002,3,0.2,pkb_talk_fun,0,""
"",7,0,vo_minigame_1006,"",1070003,21,"",vo_minigame_1006_top_201,0,""
0,7,0,113411,0,1070004,11,0,"이겨라, 이겨라!\n오늘도 파이팅이야!\n힘내서 가자!",8,0
"",7,"",3.4,"",1070005,93,"","","",""
1,7,pkb_idle_normal,113411,0.2,1070006,3,0.2,pkb_talk_handsup,0,""
"",7,"",1070004,"",1070007,91,"","","",""
"",7,"",113411,0.2,1070008,3,"",pkb_idle_normal,1,""
-175,8,64,1,1.65,1080001,1,1,113411,100,pkb_idle_normal
"",8,"",113411,0.2,1080002,3,"",pkb_talk_joy2,1,""
"",8,0,vo_minigame_1006,"",1080003,21,"",vo_minigame_1006_top_202,0,""
0,8,0,113411,0,1080004,11,0,"하츠네도\n연습을 도울\n거야~!\n반~짝☆",8,-1
"",8,"",3.6,"",1080005,93,"","","",""
"",8,"",113411,0.2,1080006,3,"",pkb_hatsune_kiran,0,""
"",8,"",1080004,"",1080007,91,"","","",""
"",8,"",113411,0.2,1080008,3,"",pkb_idle_normal,1,""
-175,9,64,1,1.65,1090001,1,1,113411,100,pkb_idle_normal
"",9,"",113411,0.2,1090002,3,"",pkb_talk_joy2,1,""
"",9,0,vo_minigame_1006,"",1090003,21,"",vo_minigame_1006_top_203,0,""
0,9,0,113411,0,1090004,11,0,"나도 던져보고 싶다!\n초능…이 아니라\n마법으로 굉장한 볼을\n던질 거야!",6,0
