promotion_level,needed_point,equipment_enhance_level,total_point
2,20,1,20
3,30,1,30
3,50,2,80
3,80,3,160
4,60,1,60
4,100,2,160
4,180,3,340
4,360,4,700
4,500,5,1200
5,100,1,100
5,160,2,260
5,280,3,540
5,480,4,1020
5,780,5,1800
6,100,1,100
6,160,2,260
6,280,3,540
6,480,4,1020
6,780,5,1800
7,100,1,100
7,160,2,260
7,280,3,540
7,480,4,1020
7,780,5,1800
8,100,1,100
8,160,2,260
8,280,3,540
8,480,4,1020
8,780,5,1800
9,100,1,100
9,160,2,260
9,280,3,540
9,480,4,1020
9,780,5,1800
10,100,1,100
10,160,2,260
10,280,3,540
10,480,4,1020
10,780,5,1800
