threshold_5,value_2,threshold_3,threshold_2,threshold_4,id,value_4,border,value_5,value_3,threshold_1,value_1
0,0.025,23,27,0,1,0.0,288,0.0,0.0,31,0.05
0,0.025,22,26,0,2,0.0,279,0.0,0.0,30,0.05
0,0.025,21,25,0,3,0.0,270,0.0,0.0,29,0.05
0,0.025,20,24,0,4,0.0,261,0.0,0.0,28,0.05
0,0.025,19,23,0,5,0.0,252,0.0,0.0,27,0.05
0,0.025,18,22,0,6,0.0,243,0.0,0.0,26,0.05
0,0.025,17,21,0,7,0.0,234,0.0,0.0,25,0.05
0,0.025,16,20,0,8,0.0,225,0.0,0.0,24,0.05
0,0.025,15,19,0,9,0.0,216,0.0,0.0,23,0.05
0,0.025,14,18,0,10,0.0,207,0.0,0.0,22,0.05
0,0.025,13,17,0,11,0.0,198,0.0,0.0,21,0.05
0,0.025,12,16,0,12,0.0,189,0.0,0.0,20,0.05
0,0.025,11,15,0,13,0.0,180,0.0,0.0,19,0.05
0,0.025,10,14,0,14,0.0,171,0.0,0.0,18,0.05
0,0.025,9,13,0,15,0.0,161,0.0,0.0,17,0.05
0,0.025,8,12,0,16,0.0,152,0.0,0.0,16,0.05
0,0.025,7,11,0,17,0.0,143,0.0,0.0,15,0.05
0,0.025,6,10,0,18,0.0,134,0.0,0.0,14,0.05
0,0.025,5,9,0,19,0.0,125,0.0,0.0,13,0.05
0,0.025,4,8,0,20,0.0,116,0.0,0.0,12,0.05
0,0.025,3,7,0,21,0.0,107,0.0,0.0,11,0.05
0,0.025,2,6,0,22,0.0,101,0.0,0.0,10,0.05
0,0.0,0,0,0,23,0.0,1,0.0,0.0,0,0.0
